FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1023926,"","","Y","","","","","","","",
1024380,"","","","","","Y","","","","",2016
1026722,"","","","Y","","","","","","",
1026862,"","","Y","","","","","","","",
1026985,"","","","","","","Y","","","",
1027474,"","","Y","","","","","","","",
1027696,"Y","","","","","","","","","",
1027745,"","","Y","","","","","","","",
1027772,"","","Y","","","","","","","",
1028010,"","","Y","","","","","","","",
1028314,"","","Y","","","","","","","",
1028685,"","","Y","","","","","","","",
1029168,"Y","","","","","","","","","",
1030038,"","","Y","","","","","","","",
1030386,"","","Y","","","","","","","",
1030630,"","","","","Y","","","","","",
1030634,"","","Y","","","","","","","",
1030850,"","","Y","","","","","","","",
1030958,"","","Y","","","","","","","",
1031059,"Y","","","","","","","","","",
1031079,"","","Y","","","","","","","",
1031135,"","","Y","","","","","","","",
1031275,"","","Y","","","","","","","",
1031422,"Y","","","","","","","","","Y",
1031673,"","","Y","","","","","","","",
1031730,"","","Y","","","","","","","",
1031869,"","","Y","","","","","","","",
1031881,"","","Y","","","","","","","",
1032011,"Y","","","","","","","","","",
1032026,"","","","","Y","","","","","",
1032407,"","","Y","","","","","","","",
1032417,"Y","","","","","","","","","",
1032462,"","","","","Y","","","","","",
1032663,"","","Y","","","","","","","",
1032688,"","","Y","","","","","","","",
1032705,"","","Y","","","","","","","",
1032721,"Y","","","","","","","","","",
1032975,"Y","","","","","","","","","",
1033122,"","","Y","","","","","","","",
1033197,"","","Y","","","","","","","",
1033252,"","","Y","","","","","","","",
1033357,"","","Y","","","","","","","",
1033374,"Y","","","","","","","","","",
1033556,"","","Y","","","","","","","",
1033592,"Y","","","","","","","","","",
1033801,"Y","","","","","","","","","",
1033831,"","","Y","","","","","","","",
1033957,"","","","","Y","","","","","",
1034091,"Y","","","","","","","","","",
1034223,"","","Y","","","","","","","",
1034227,"","","Y","","","","","","","",
1034234,"Y","","","","","","","","","",
1034609,"","","Y","","","","","","","",
1034761,"","","Y","","","","","","","",
1034789,"","","Y","","","","","","","",
1034843,"","","Y","","","","","","","",
1034968,"","","Y","","","","","","","",
1035065,"Y","","","","","","","","","",
1035099,"","","Y","","","","","","","",
1035136,"","","Y","","","","","","","",
1035411,"","","Y","","","","","","","",
1035454,"Y","","","","","","","","","",
1035483,"","","Y","","","","","","","",
1035638,"","","Y","","","","","","","",
1035661,"","","Y","","","","","","","",
1035701,"","","Y","","","","","","","",
1035814,"","","Y","","","","","","","",
1035816,"","","Y","","","","","","","",
1035892,"Y","","","","","","","","","",
1035894,"","","Y","","","","","","","",
1036018,"","","","","Y","","","","","",
1036044,"Y","","","","","","","","","",
