"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number"
"871933","42 VIA MANZONI","","MILANO","","Italy","20121","N","0039027626191",""
"871933","1 ALMAGRO","","MADRID","","Spain","28010","N","0034913102748",""
"891310","48C PARK TOWERS I","1 KING'S ROAD","HONG KONG","","Hong kong","","Y","852229790388","85225228886"
"891318","SENTIENT ASSET MANAGEMENT CANADA LTD","MONTREAL HERALD BUILDING - 1001 SQ VICTORIA S 450","MONTREAL","","Canada","H2Z 2B1","N","1(514) 2232574","1(514) 2232575"
"891318","SENTIENT ASSET MANAGEMENT AUSTRALIA PTY LTD","LEVEL 44 GROSVENOR PLACE - 225 GEORGE STREET","SYDNEY","","Australia","NSW 2000","N","61 2 8243 2900","61 2 8243 2990"
"891438","2033 GATEWAY PLACE","SUITE 600","SAN JOSE","CA","United States","95110","N","408 382 9790",""
"883675","60 AVENUE HOCHE","","PARIS","","France","75008","N","+33 1 56 68 55",""
"883675","C/SERRANO, 26","","MADRID","","Spain","28001","N","+34 91 436 442",""
"883675","PLATZ DER EINHEIT 2","","FRANKFURT AM MAIN","","Germany","D-60327","N","+49 69 97 12 0",""
"883675","VIA DEI BOSSI 4","","MILAN","","Italy","20121","N","+39 02 806 068",""
"883675","BIBLIOTEKSGATAN 8","","STOCKHOLM","","Sweden","S-111 46","N","+46 8 545 0603",""
"889235","ARROYO 880, 6TH FLOOR, OF. 11-12","CAPITAL FEDERAL (1007)","BUENOS AIRES","","Argentina","","N","541143280758","541143280758"
"889235","CARRERA 9, Nº 80-45, OF. 801","","BOGOTÁ","","Colombia","110221","N","571-530-5177","571-530-5175"
"889235","GUILLERMO GONZÁLEZ CAMARENA 1600, OF. 4B","COL. CENTRO SANTA FE","MÉXICO 01210 DF","","Mexico","","N","5255-5292-6348","5255-5292-6316"
"890262","ARROYO 880, 6TH FLOOR , OF. 11-12","CAPITAL FEDERAL (1007)","BUENOS AIRES","","Argentina","","N","5411-4328-0758","5411-4328-0758"
"867728","250 NORTH BRIDGE ROAD, STE. #32-03A","RAFFLES CITY TOWER","SINGAPORE","","Singapore","179101","N","656311 5154","656311 5160"
"875960","1700 MONTGOMERY STREET","SUITE 440","SAN FRANCISCO","CA","United States","94111-1021","N","4159895100","4159895105"
"892302","1414 RALEIGH ROAD","STE. 415","CHAPEL HILL","NC","United States","27517-8834","N","919-883-3220","919-541-9978"
"892485","326 WHITE OAK RIDGE RD.","","SHORT HILLS","NJ","United States","07078","Y","212-317-2400","212-317-0684"
"892538","177 SABBADAY LANE","","WASHINGTON DEPOT","CT","United States","06794","Y","8608680585","86008682779"
"889060","2000 MCKINNEY AVENUE","STE 1200","DALLAS","TX","United States","75201-2013","N","(972) 630-6303","(214) 954-9995"
"889060","ONE WESTMINSTER PLACE","STE 108","LAKE FOREST","IL","United States","60045-5511","N","(847) 295-4214","(847) 574-5850"
"889264","ONE WESTMINSTER PLACE","STE 108","LAKE FOREST","IL","United States","60045-5511","N","(847) 295-4214","(847) 574-5850"
"889264","9225 LAKE HEFNER PARKWAY","STE 200","OKLAHOMA CITY","OK","United States","73120-2061","N","(405) 231-2400","(405) 231-2406"
"891982","1539 NANJING ROAD WEST, KERRY CENTER","TOWER 2, SUITE 1801","SHANGHAI","","China","200040","N","862162887757","862162887797"
"891982","11150 SANTA MONICA BOULEVARD","","LOS ANGELES","CA","United States","90025","N","(310) 477-7678","(310) 312-1868"
"888920","UNIT 3301, KERRY PARKSIDE OFFICE","1155 FANGDIAN ROAD, PUDONG DISTRICT","SHANGHAI","","China","201204","N","+862120281659","+862120281678"
"888920","UNIT 2005, AGRICULTURAL BANK OF CHINA TOWER","50 CONNAUGHT ROAD","CENTRAL","","Hong kong","","N","+852-36283298","+852-36283295"
"883221","500 LOVELL AVENUE","","MILL VALLEY","CA","United States","94941","N","212.608.3300","212.608.3307"
"892185","5410 MARDEN DRIVE","","DAVIS","CA","United States","95618","Y","530-759-9918","530-759-9918"
"893297","5410 MARDEN DRIVE","","DAVIS","CA","United States","95618","Y","530-759-9918","530-759-9918"
"865137","2080 NORTHWEST BOCA RATON BLVD.","SUITE 4","BOCA RATON","FL","United States","33431","N","(561) 287-4650","(561) 287-4651"
"875349","151 TREMONT STREET","SUITE 12F","BOSTON","MA","United States","02111","N","516-603-9357",""
"884088","2120 EAST GALBRAITH ROAD","BUILDING A, ROOM 161","CINCINNATI","OH","United States","45237-0507","N","513-558-6324","513-558-6364"
"890518","27/F KERRY PARKSIDE OFFICE","1155 FANGDIAN ROAD, PUDONG","SHANGHAI","","China","201204","N","86 21 68548938","86 21 61049577"
"872988","228 HAMILTON AVENUE","3RD FLOOR","PALO ALTO","CA","United States","94301","N","+1 650 7985352",""
"893663","9606 N. MOPAC EXPRESS WAY","","AUSTIN","TX","United States","78759","N","512-459-7100","512-451-4008"
"893663","841 GREENWAY DRIVE","","BEVERLY HILLS","CA","United States","90210","Y","415-385-9575",""
"894287","151 TREMONT STREET","SUITE 12F","BOSTON","MA","United States","02111","N","516-603-9357",""
"885217","DARLING PARK TOWER 2 LEVEL 21","201 SUSSEX STREET","SYDNEY","","Australia","2000","N","+33172283536",""
"891923","505 HAMILTON AVENUE","SUITE 330","PALO ALTO","CA","United States","94301","N","415-362-4022",""
"884367","505 HAMILTON AVENUE","SUITE 330","PALO ALTO","CA","United States","94301","N","415-362-4022",""
"891940","505 HAMILTON AVENUE","SUITE 330","PALO ALTO","CA","United States","94301","N","415-362-4022",""
"885974","1600 EL CAMINO REAL","SUITE 290","MENLO PARK","CA","United States","94025","N","650-681-0183",""
"894297","720 UNIVERSITY AVENUE","SUITE 200","PALO ALTO","CA","United States","94301","N","6502340400","6502340401"
"888111","MHC CORPORATE SERVICES","UGLAND HOUSE, CHURCH STREET","GEORGE TOWN, GRAND CAYMAN","","Cayman Islands","","N","1-345-814-5468",""
"888109","32F-1, INTERNATIONAL TRADE BUILDING","333 KEELUNG ROAD, SECTION 1","TAIPEI 110","","Taiwan,  Republic of China","","N","886-22720-9855","886-22722-2106"
"888109","3F WONSEO BUILDING","171 WONSEO-DONG, JONGNO-GU","SEOUL","","Korea, South","110-280","N","82-2-782-2288","82-2-741-0238"
"888109","SUITE 2011, CITIGROUP TOWER","33 HUA YUAN SHI QIAO ROAD","PUDONG, SHANGHAI","","China","200120","N","86-216887-8080","86-216887-8011"
"888110","SUITE 2011, CITICGROUP TOWER","33 HUA YUAN SHI QIAO ROAD","PUDONG, SHANGHAI","","China","200120","N","86-216887-8080","86-216887-8011"
"888110","32F-1, INTERNATIONAL TRADE BUILDING","333 KEELUNG ROAD, SECTION 1","TAIPEI, 110","","Taiwan,  Republic of China","","N","886-22720-9855","886-22722-2106"
"888110","3F WONSEO BUILDING","171 WONSEO-DONG, JONGNO-GU","SEOUL","","Korea, South","110-280","N","82-2-782-2288","82-2-741-0238"
"888535","KAISERSTRAßE 7","","FRANKFURT","","Germany","60311","N","496921087687","496921087689"
"888156","MENARA KARYA 15TH FLOOR,","JL HR RASUNA SAID KAV 1-2 BLOCK X-5","JAKARTA","","Indonesia","12950","N","62 21 57944355","62 21 57944356"
"873331","30 WEST 21ST STREET","FLOOR 2","NEW YORK","NY","United States","10010","N","646-374-1792",""
"892259","PARK HOUSE, 16-18 FINSBURY CIRCUS","6TH FLOOR","LONDON","","United Kingdom","EC2M 7EB","N","44 20 7256 430","44 7256 4450"
"878832","950 THIRD AVENUE","SUITE 3101","NEW YORK","NY","United States","10022","N","212-980-4200","212-371-3215"
"894110","4750 OWINGS MILLS BOULEVARD","","OWINGS MILLS","MD","United States","21117","N","(301) 913-0213","(301) 913-0434"
"885704","421 KIPLING STREET","","PALO ALTO","CA","United States","94301","N","650.326.0550",""
"890761","88 CENTURY BOULEVARD","ROOM 3906, JINMAO TOWER","SHANGHAI","","China","200121","N","8621-6101-6522","8621-6101-6512"
"890761","1904, 19/F, GLOUCESTER TOWER","THE LANDMARK","HONG KONG","","Hong kong","","N","852-28556901","852-2855 6800"
"890761","NO. 1 JIANGUOMENWAI STREET","CWTC TOWER 1","BEIJING","","China","100004","N","8621-6101-6522",""
"893436","800 OAK GROVE AVE","","MENLO PARK","CA","United States","94025","N","6508541200","6508541202"
"893902","950 TOWER LANE","SUITE 1150","FOSTER CITY","CA","United States","94404","N","650-238-5000",""
"895537","14 GOLDEN SQUARE","","LONDON","","United Kingdom","W1F 9JF","N","44 20 71834327",""
"893342","1370 AVENUE OF THE AMERICAS","#2915","NEW YORK","NY","United States","10019","N","6465025750",""
"884518","450 SANSOME STREET","SUITE 1005","SAN FRANCISCO","CA","United States","94111","N","203-769-2345","201-402-1086"
"884518","222 EL BRILLO WAY","","PALM BEACH","FL","United States","33480","Y","203-769-2345","201-402-1086"
"887706","412 MT.KEMBLE AVENUE","SUITE 120C, BOX 4","MORRISTOWN","NJ","United States","07960","N","973-984-1233","973-984-5818"
"892285","201 MISSION STREET","SUITE 2240","SAN FRANCISCO","CA","United States","94105","N","415-814-6110","415-986-3050"
"871350","9 KEREN HA'YESOD ST.","","HERZELIA","","Israel","46105","N","+97299577227","+97299577228"
"871350","1050 WINTER ST.","","WALTHAM","MA","United States","02451","N","7818959090","7818959099"
"894215","890 WINTER STREET","SUITE 140","WALTHAM","MA","United States","02451","N","781-890-4480","781-890-3565"
"894215","1 LETTERMAN DRIVE","BLDG. D, SUITE D4900","SAN FRANCISCO","CA","United States","94129","N","(650)233-8600","(650)233-8923"
"885610","12100 WILSHIRE BOULEVARD","SUITE 520","LOS ANGELES","CA","United States","90025","N","310-843-0044",""
"894679","4801B-4802, TOWER 2, PLAZA 66, 1366 NANJING ROAD","WEST","SHANGHAI","","China","200040","N","8621-62884566","8621-62887455"
"891254","5TH FLOOR, YOUNG POONG BUILDING","41 CHEONGGYECHEON-RO, JONGRO-KU","SEOUL","","Korea, South","110-752","N","82 2 399 7773","82 2 399 7771"
"891254","SUITE 4002, 40TH FLOOR, ONE EXCHANGE SQUARE","8 CONNAUGHT PLACE","CENTRAL","","Hong kong","","N","852 3102 8329","852 3102 8321"
"891254","LEVEL 30, 363 GEORGE STREET","","SYDNEY","","Australia","2000","N","612 9299 0889","612 9299 0809"
