"FilingID","Country/Authority"
"965043","Hong Kong - Securities and Futures Commission"
"965037","United Kingdom - Financial Conduct Authority"
"965097","United Kingdom - Financial Conduct Authority"
"966134","Jersey - Jersey Financial Services Commission"
"966134","South Africa - Financial Services Board"
"966526","United Kingdom - Financial Conduct Authority"
"955851","Mauritius, Republic of - Financial Services Commission"
"967824","Bermuda - Bermuda Monetary Authority"
"962075","United Kingdom - Financial Conduct Authority"
"968305","France - Financial Markets Authority"
"969673","Hong Kong - Securities and Futures Commission"
"966897","United Kingdom - Financial Conduct Authority"
"958467","Australia - Australian Securities and Investments Commission"
"964876","Singapore - Monetary Authority of Singapore"
"964447","Canada - British Columbia Securities Commission"
"964447","Canada - Alberta Securities Commission"
"964447","Canada - Ontario Securities Commission"
"962894","Hong Kong - Securities and Futures Commission"
"962894","Canada - Ontario Securities Commission"
"962894","Canada - Quebec, Financial Markets Authority"
"948386","United Kingdom - Financial Conduct Authority"
"959332","United Kingdom - Financial Conduct Authority"
"962290","United Kingdom - Financial Conduct Authority"
"967013","Hong Kong - Securities and Futures Commission"
"969114","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"968336","United Kingdom - Financial Conduct Authority"
"969148","South Africa - Financial Services Board"
"970390","Canada - British Columbia Securities Commission"
"970390","Canada - Alberta Securities Commission"
"970390","Canada - New Brunswick Securities Commission"
"970390","Canada - Manitoba Securities Commission"
"970390","Canada - Saskatchewan Financial Services Commission"
"970390","Canada - Ontario Securities Commission"
"970390","Canada - Prince Edward Island, Securities Office"
"970390","Canada - Nova Scotia Securities Commission"
"970390","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"970390","Canada - Quebec, Financial Markets Authority"
"969617","Canada - Ontario Securities Commission"
"971096","United Kingdom - Financial Conduct Authority"
"968591","United Kingdom - Financial Conduct Authority"
"965045","Hong Kong - Securities and Futures Commission"
"957540","Hong Kong - Securities and Futures Commission"
"967864","France - Financial Markets Authority"
"966982","United Kingdom - Financial Conduct Authority"
"968285","France - Financial Markets Authority"
"967466","United Kingdom - Financial Conduct Authority"
"971728","United Kingdom - Financial Conduct Authority"
"972259","United Kingdom - Financial Conduct Authority"
"963547","United Kingdom - Financial Conduct Authority"
"970675","Switzerland - Swiss Financial Market Supervisory Authority"
"968105","Canada - Ontario Securities Commission"
"970680","United Kingdom - Financial Conduct Authority"
"960965","United Kingdom - Financial Conduct Authority"
"974281","United Kingdom - Financial Conduct Authority"
"974117","Hong Kong - Securities and Futures Commission"
"974758","United Kingdom - Financial Conduct Authority"
"975316","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"975483","United Kingdom - Financial Conduct Authority"
"975344","Singapore - Monetary Authority of Singapore"
"963609","United Kingdom - Financial Conduct Authority"
"976335","Other: COMMISSION DE CONTROLE DE ACTIVIES FINANCIERES (CCAF)"
"975943","United Kingdom - Financial Conduct Authority"
