"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
"968435","JPB REAL ESTATE SERVICES","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"974171","JPB REAL ESTATE SERVICES","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"975186","JRJV, LLC","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"968268","STERLING BAY REALTY, LLC","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"975467","TRILLIUM TRADING, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","PROPRIETARY TRADING FIRM"
"975467","TRILLIUM LABS, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","TECHNOLOGY DEVELOPMENT FIRM"
"979571","ASIA FRONTER CAPITAL (VIETNAM) LIMITED","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","INVESTMENT MANAGER"
"979571","ASIA FRONTIER INVESTMENTS LIMITED","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","INVESTMENT ADVISER"
"979571","ASIA FRONTIER CAPITAL (IRAQ) LTD.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","FUND INVESTMENT"
"972100","SIMPLEX GLOBAL INVESTMENTS LIMITED","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"986338","EDL CAPITAL (UK) LTD","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"988938","GRAIL SECURITIES LLC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"972100","SIMPLEX ASSET MANAGEMENT (HK) COMPANY LTD","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"982939","WEST FACE CAPITAL INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"987957","EDL CAPITAL (UK) LTD","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"985108","SPOONHILL ASSET MANAGEMENT","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"986451","LEVERPOINT MANAGEMENT, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","FUND ADMINISTRATOR"
"997544","HD SPECIAL-SITUATIONS III, LP","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","FUND MANAGEMENT"
"997544","HD SPECIAL-SITUATIONS II, LP","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","FUND MANAGEMENT"
"989261","TRIVIUM INVESTMENT MANAGEMENT COMPANY","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"984854","C&G SAVINGS","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
"984854","WORLDWIDE SERVICE","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
"986653","B. R. E. PARTNERS GP LTD, B. R. E. PARTNERS GP LTD II LTD, B. R E MANAGER LTD, B. R E MANAGER II LTD, B. R.E. MANAGER III LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF  THE US"
