"FilingID","Primary Business","Business Name"
"871933","MANAGEMENT OF PRIVATE EQUITY FUNDS.",""
"892162","PROVIDE MANAGEMENT AND OTHER SERVICES TO THE FUNDS",""
"887825","VENTURE CAPITAL INVESTMENTS",""
"894537","PLACEMENT AGENT",""
"893077","RESEARCH CONSULTANT FOR UNIVERSITY OF NORTH FLORIDA RENEWABLE ENERGY PROJECT","FOURTH PARTY AFFILIATES,  LLC"
"895641","MUTUAL CAPITAL PARTNERS FUNDS ARE GROWTH-STAGE VENTURE FUNDS INVESTING IN POST-REVENUE, LIQUIDITY-CHALLENGED BUSINESSES GENERALLY LOCATED IN THE MIDWEST.",""
"889628","PROVISION OF DIRECTORS, STRATEGIC PLANNING SERVICES AND CONSULTING SERVICES RELATING TO CAPITAL EXPENDITURE, FINANCINGS AND REFINANCINGS.",""
"895916","MANAGEMENT OF PROPRIETARY TRADING FIRM","TRILLIUM TRADING, LLC"
"896649","RESEARCH CONSULTANT FOR UNIVERSITY OF NORTH FLORIDA RENEWABLE ENERGY PROJECT","FOURTH PARTY AFFILIATES,  LLC"
"896429","VENTURE CAPITAL INVESTING",""
"898434","MANAGER VENTURE CAPITAL FUND",""
"898133","GENERAL PARTNER TO A VENTURE CAPITAL FUND",""
"872022","GENERAL PARTNER TO A VENTURE CAPITAL FIRM.",""
"879007","PILOT GROUP MANAGER LLC PERFORMS INVESTMENT ADVISORY AND PORTFOLIO MANAGEMENT SERVICES FOR TWO PRIVATE EQUITY FUNDS (PILOT GROUP LP AND PILOT GROUP II LP) PURSUANT TO INVESTMENT MANAGEMENT AGREEMENTS, WITH EACH OF THESE FUNDS.",""
"896893","REAL ESTATE INVESTMENT, MANAGEMENT, DEVELOPMENT AND BROKERAGE.","STERLING BAY COMPANIES, LLC; STERLING BAY PROPERTY MANAGEMENT, LLC; STERLING BAY DEVELOPMENT MGMT, LLC; STERLING BAY REALTY, LLC"
"889146","GOLDEN SEEDS LLC MANAGES A MEMBERSHIP ORGANIZATION OF EARLY STAGE PRIVATE EQUITY INVESTORS (ANGEL INVESTORS).",""
"889196","GOLDEN SEEDS LLC MANAGES A MEMBERSHIP ORGANIZATION OR EARLY STAGE PRIVATE EQUITY INVESTORS (ANGEL INVESTORS).","GOLDEN SEEDS LLC"
"897479","SERVICE PROVIDER",""
"889331","MANAGER OF IRELAND COLLECTIVE INVESTMENT SCHEMES (SPONSOR OF POOLED INVESTMENT VEHICLES)",""
"889009","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCLING BUSINESS OUTSIDE OF  THE US.",""
"900971","THE PRIMARY BUSINESS OF EXWORKS CAPITAL, LLC IS PROVIDING DEBT FINANCING SERVICES.",""
"880335","SEE THE ""MISCELLANEOUS"" SECTION FOR A DESCRIPTION OF THE PRIMARY BUSINESS ACTIVITIES OF PARETO PROJECT FINANCE AS.",""
"898694","PRIVATE EQUITY ADVISORY",""
"902240","PRIVATE EQUITY ADVISOR",""
"902787","TO ACT AS GENERAL PARTNER TO CATALYST SAMSARA INDIA OPPORTUNITY FUND I LP",""
"905077","VENTURE CAPITAL MANAGEMENT COMPANY",""
"898353","REINSURANCE MANAGEMENT SERVICES.",""
"885198","PROPERTY MANAGEMENT",""
"890522","PRIVATE EQUITY ADVISORS",""
"904872","SEE THE ""MISCELLANEOUS"" SECTION FOR A DESCRIPTION OF THE PRIMARY BUSINESS ACTIVITIES OF PARETO PROJECT FINANCE AS.",""
"904404","PRANA REAL ESTATE FINANCE LLC SERVES AS THE MANAGER OF CITY FINANCE COMPANY LLC AND CITY FINANCE COMPANY II LLC, WHICH ENGAGE PRIMARILY IN PROVIDING FINANCING IN THE FORM OF LOANS TO REAL ESTATE FUNDS THAT ARE OPERATED BY ITS RELATED PERSONS.",""
