"FilingID","ReferenceID","Foreign Regulatory Authority"
"1007834","204898","Japan - Financial Services Agency"
"1007834","204904","Hong Kong - Securities and Futures Commission"
"1007834","204907","Germany - German Federal Financial Supervisory Agency"
"1007834","204908","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"1007834","164683","Germany - German Federal Financial Supervisory Agency"
"1007834","164686","Jersey - Jersey Financial Services Commission"
"1007834","164684","Other-DE NEDERLANDSCHE BANK NV, NETHERLANDS"
"1007834","164684","Other-DUBAI MERCANTILE EXCHANGE, DUBAI"
"1007834","204902","United Kingdom - Financial Conduct Authority"
"1007834","204905","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"1007834","204880","Germany - German Federal Financial Supervisory Agency"
"1007834","204880","Canada - Quebec, Financial Markets Authority"
"1007834","204880","Canada - Ontario Securities Commission"
"1007834","204880","Ireland -  Central Bank of Ireland"
"1007834","204880","Canada - British Columbia Securities Commission"
"1007834","204880","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"1007834","204857","Switzerland - Swiss Financial Market Supervisory Authority"
"1007834","204859","Other-DUTCH CENTRAL BANK (""DE NEDERLANDSCHE BANK"")"
"1007834","204859","Other-THE NETHERLANDS AUTHORITY FOR THE FINANCIAL MARKETS"
"1007834","204827","United Kingdom - Financial Conduct Authority"
"1007834","204829","United Kingdom - Financial Conduct Authority"
"1007834","204837","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1007834","204836","Japan - Financial Services Agency"
"1007834","204838","United Kingdom - Financial Conduct Authority"
"1007834","204869","Other-BANKING REGULATION AND SUPERVISION AGENCY"
"1007834","204869","Other-CAPITAL MARKETS BOARD"
"1007834","204870","Netherlands - The Netherlands Authority for the Financial Markets"
"1007834","204872","Brazil - Securities and Exchange Commission"
"1007834","204847","Other-PHILIPPINES CENTRAL BANK"
"1007834","204847","Other-PHILIPPINES SECURITIES AND EXCHANGE COMMISSION"
"1007834","204851","Other-FINANCIAL SERVICES COMMISSION"
"1007834","204851","Other-FINANCIAL SUPERVISORY SERVICE (FSS)"
"1007834","204855","Taiwan - Financial Supervisory Commission"
"1007834","204855","Other-CENTRAL BANK OF TAIWAN"
"1007834","204867","Cayman Islands - Cayman Islands Monetary Authority"
"1007834","204871","Jersey - Jersey Financial Services Commission"
"1007834","204876","Spain - National Commission of Securities Markets"
"1007834","204839","Australia - Australian Securities and Investments Commission"
"1007834","204843","Other-INDONESIAN CAPITAL MARKET AND FINANCIAL INSTITUTION SUPERVISORY AGENCY"
"1007834","204843","Other-INDONESIAN CENTRAL BANK"
"1007834","204842","Other-SECURITIES AND EXCHANGE BOARD OF INDIA"
"1007834","204842","Other-RESERVE BANK OF INDIA"
"1007834","204840","Germany - German Federal Financial Supervisory Agency"
"1007834","204841","Cayman Islands - Cayman Islands Monetary Authority"
"1007834","204835","India - Securities and Exchange Board of India"
"1007834","204831","Singapore - Monetary Authority of Singapore"
"1007834","204831","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1007834","204833","Hong Kong - Securities and Futures Commission"
"1007834","204879","Taiwan - Financial Supervisory Commission"
"1007834","208766","Hong Kong - Securities and Futures Commission"
"1007834","204830","Germany - German Federal Financial Supervisory Agency"
"1007834","204877","Other-COMMISSIONE NAZIONALE PER LE SOCIETÀ E LA"
"1007834","204877","Other-BANCA D'ITALIA (ITALIAN CENTRAL BANK)"
"1005277","126951","Mauritius, Republic of - Financial Services Commission"
"1005277","126954","Mauritius, Republic of - Financial Services Commission"
"1005277","126957","Mauritius, Republic of - Financial Services Commission"
"1005277","127118","Mauritius, Republic of - Financial Services Commission"
"1005277","175901","Mauritius, Republic of - Financial Services Commission"
"977467","124858","Spain - National Commission of Securities Markets"
"1007941","119843","United Kingdom - Financial Conduct Authority"
"1006369","121012","Cayman Islands - Cayman Islands Stock Exchange Authority"
"1004968","169300","Jersey - Jersey Financial Services Commission"
"1004968","119070","Jersey - Jersey Financial Services Commission"
"1004968","169302","Jersey - Jersey Financial Services Commission"
"1004968","169303","Jersey - Jersey Financial Services Commission"
"1009084","204624","Singapore - Monetary Authority of Singapore"
"1009219","131780","Canada - British Columbia Securities Commission"
"1009219","131780","Canada - Manitoba Securities Commission"
"1009219","131780","Canada - New Brunswick Securities Commission"
