"FilingID","ReferenceID","Name of Adviser","SEC File Number","CRD Number"
"967864","8359","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8276","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8413","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8292","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","7574","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","7867","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","7884","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","7892","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8279","SG HAMBROS FUND ADVISERS (JERSEY) LIMITED","",""
"967864","7508","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","7929","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8304","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8340","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8387","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8399","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8406","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8423","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","8434","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","49937","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","49935","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","58067","TWIN SECURITIES, INC.","801-73786","158318"
"967864","58064","SG HAMBROS FUND MANAGEMENT (JERSEY) LIMITED","",""
"967864","58066","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","75249","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"967864","75259","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","7574","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8276","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8413","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8292","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8359","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","7867","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","7884","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","7892","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8279","SG HAMBROS FUND ADVISERS (JERSEY) LIMITED","",""
"968285","7508","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","7929","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8304","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8340","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8387","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8399","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8406","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8423","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","8434","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","49937","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","49935","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","58067","TWIN SECURITIES, INC.","801-73786","158318"
"968285","58064","SG HAMBROS FUND MANAGEMENT (JERSEY) LIMITED","",""
"968285","58066","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","75249","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968285","75259","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968435","16601","JPB CAPITAL PARTNERS MANAGEMENT COMPANY, LLC","",""
"968435","49926","JPB CAPITAL PARTNERS MANAGEMENT COMPANY, LLC","",""
"968435","49927","JPB CAPITAL PARTNERS MANAGEMENT COMPANY, LLC","",""
"968435","49925","JPB CAPITAL MANAGEMENT COMPANY, LLC","",""
"968046","45509","I2BF-RNC GP I LTD.","",""
"968046","45510","I2BF CAPITAL MANAGEMENT LTD.","",""
"968046","45510","I2BF CAPITAL ADVISORS LTD.","",""
"968046","45510","I2BF GP I LTD.","",""
"967466","36158","LMR PARTNERS (OFFSHORE) LIMITED","","162861"
"967466","36237","LMR PARTNERS (OFFSHORE) LIMITED","","162861"
"968305","8276","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8413","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8292","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","7574","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8359","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","7867","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","7884","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","7892","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8279","SG HAMBROS FUND ADVISERS (JERSEY) LIMITED","",""
"968305","7508","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","7929","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8304","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8340","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8387","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8399","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8406","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8423","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","8434","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","49937","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","49935","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","58067","TWIN SECURITIES, INC.","801-73786","158318"
"968305","58064","SG HAMBROS FUND MANAGEMENT (JERSEY) LIMITED","",""
"968305","58066","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","75249","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"968305","75259","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"975173","41011","GILDE HEALTHCARE PARTNERS BV","","163373"
"975173","36089","GILDE HEALTHCARE PARTNERS BV","","163373"
"963609","19413","SARASIN FUNDS MANAGEMENT (IRELAND) LIMITED","",""
"963609","19420","SARASIN FUNDS MANAGEMENT (IRELAND) LIMITED","",""
"963609","19428","SARASIN FUNDS MANAGEMENT (IRELAND) LIMITED","",""
"975301","66777","ABBERTON CAPITAL MANAGEMENT L.P","","173921"
"974171","16601","JPB CAPITAL PARTNERS MANAGEMENT COMPANY, LLC","",""
"974171","49927","JPB CAPITAL PARTNERS MANAGEMENT COMPANY, LLC","",""
"980070","61262","WORTH VENTURE PARTNERS, LLC","",""
"980575","61262","WORTH VENTURE PARTNERS, LLC","",""
"974952","170491","BETAWORKS INVESTMENTS, LLC","802-79126","170173"
"974952","170493","BETAWORKS INVESTMENTS, LLC","802-79126","170173"
"984703","40129","NEXIT INFOCOM II GP LIMITED","",""
"984743","41980","NEXIT INFOCOM 2000 LIMITED","",""
"984743","41997","NEXIT INFOCOM 2000 LIMITED","",""
"988847","67085","PROPUS CAPITAL LLC","802-75362","163535"
"988847","67086","PROPUS CAPITAL LLC","802-75362","163535"
"990810","171315","KESTREL PARTNERS LLP","",""
"990810","171337","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"990810","171371","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"990810","171153","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"990810","171323","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"990810","171339","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"993453","27753","JABRE CAPITAL PARTNERS LP","",""
"993453","27831","JABRE CAPITAL PARTNERS LP","",""
"993453","27821","JABRE CAPITAL PARTNERS LP","",""
"993453","27846","JABRE CAPITAL PARTNERS LP","",""
"989687","32322","SPINNAKER ASSET MANAGEMENT - SAM LIMITED","802-75616","160208"
"989687","31241","SPINNAKER ASSET MANAGEMENT - SAM LIMITED","802-75616","160208"
"989687","50678","SPINNAKER ASSET MANAGEMENT - SAM LIMITED","802-75616","160208"
"989687","73958","SPINNAKER ASSET MANAGEMENT - SAM LIMITED","802-75616","160208"
"989687","171788","SPINNAKER ASSET MANAGEMENT - SAM LIMITED","802-75616","160208"
"995366","10786","OAKLEY CAPITAL (BERMUDA) LIMITED","802-76007","161459"
"995366","11320","OAKLEY CAPITAL (BERMUDA) LIMITED","802-76007","161459"
"995366","62041","OAKLEY CAPITAL GP II LIMITED","",""
"996639","72409","LITORINA III CO-INVESTMENT GP INCORPORATED LIMITED PARTNERSHIP","",""
"996639","72416","LITORINA DLP (JERSEY) LIMITED","",""
"996639","30353","LITORINA KAPITAL PARTNERS III GP INCORPORATED LIMITED PARTNERSHIP","",""
"991365","74081","ENERGY VENTURES PRIVATE EQUITY V AS","",""
"991365","36787","ENERGY VENTURES IV AS","",""
"991365","36738","ENERGY VENTURES III AS","",""
"1000733","57742","CREADOR MANAGEMENT COMPANY I LTD","",""
"1000733","77731","CREADOR MANAGEMENT COMPANY II LTD","",""
"1000733","57745","CREADOR MANAGEMENT COMPANY I LTD","",""
"1000733","57744","CREADOR MANAGEMENT COMPANY II LTD","",""
"1000733","164164","CREADOR MANAGEMENT III LTD","",""
"998831","45397","ROARING BLUE LION CAPITAL MANAGEMENT, L.P.","801-71792","137355"
"998831","45399","ROARING BLUE LION CAPITAL MANAGEMENT, L.P.","801-71792","137355"
"991094","172038","BB2 INVESTMENT PARTNERS LLC","",""
"997554","42984","ADVANTAGE CAPITAL MANAGEMENT COMPANY OF WISCONSIN, LLC","",""
"979562","41975","ZANA CAPITAL PTE. LTD","","162768"
"986637","171337","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"986637","171371","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"986637","171153","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"986637","171315","KESTREL PARTNERS LLP","",""
"986637","171323","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"986637","171339","DMS OFFSHORE MANAGEMENT SERVICES (EUROPE) LIMITED","",""
"986338","162222","MOORE CAPITAL MANAGEMENT, LP","801-73302","160188"
"987957","162222","MOORE CAPITAL MANAGEMENT, LP","801-73302","160188"
"989456","44615","INNOVATIONSKAPITAL /INNKAP","","164128"
"989456","44614","INNOVATIONSKAPITAL /INNKAP","","164128"
"989456","44616","INNOVATIONSKAPITAL /INNKAP","","164128"
"989456","44617","INNOVATIONSKAPITAL /INNKAP","","164128"
"989456","44618","INNOVATIONSKAPITAL /INNKAP","","164128"
"989456","44619","INNOVATIONSKAPITAL /INNKAP","","164128"
"989456","44613","INNOVATIONSKAPITAL /INNKAP","","164128"
"986451","18844","VILLAGE VENTURES CAPITAL MANAGEMENT, LLC","",""
"986451","18904","VILLAGE VENTURES CAPITAL MANAGEMENT, LLC","",""
"986451","18916","VILLAGE VENTURES CAPITAL MANAGEMENT, LLC","",""
"986451","58607","VILLAGE VENTURES CAPITAL MANAGEMENT, LLC","",""
"997684","5605","COUPLAND CARDIFF MANAGEMENT (CAYMAN) LTD","",""
"977355","38396","PINEBRIDGE INVESTMENTS IRELAND LIMITED","",""
"977355","38275","PINEBRIDGE INVESTMENTS IRELAND LIMITED","",""
"977355","171888","PINEBRIDGE INVESTMENTS IRELAND LIMITED","",""
"977355","171887","PINEBRIDGE INVESTMENTS IRELAND LIMITED","",""
"977355","171710","PINEBRIDGE INVESTMENTS IRELAND LIMITED","",""
"987140","13337","PINEBRIDGE ASIA PARTNERS G.P., L.L.C.","",""
"987140","13317","PINEBRIDGE ASIA PARTNERS II, LIMITED","",""
"987140","13330","PINEBRIDGE ASIA PARTNERS G.P., L.L.C.","",""
"987140","61512","PINEBRIDGE INVESTMENTS IRELAND LIMITED","",""
"989431","26319","ARISAIG PARTNERS (MAURITIUS) LTD","802-76012","162868"
"989431","26295","ARISAIG PARTNERS (MAURITIUS) LTD","802-76012","162868"
"989431","61524","ARISAIG PARTNERS (MAURITIUS) LTD","802-76012","162868"
"989431","26328","ARISAIG PARTNERS (MAURITIUS) LTD","802-76012","162868"
"995836","120518","JAMES CAIRD ASSET MANAGEMENT LIMITED","802-76335","163676"
"991465","57571","FARRINGDON NETHERLANDS BV","802-79133","170090"
"979551","167780","PANGAEA VENTURES LTD.","",""
"979551","167781","PANGAEA VENTURES LTD.","",""
"994863","65759","ESD MANAGEMENT V LLC","",""
"991011","120452","HARBOUR CAYMAN LIMITED","",""
"991011","120453","HARBOUR ADVISORS CAYMAN LIMITED","",""
"991011","120451","HARBOUR LITIGATION CAYMAN LIMITED","",""
"988339","171780","3X5 PARTNERS","","283349"
"988339","175215","ARNERICH MASSENA, INC.","801-61109","116395"
"970139","54139","ONE NORTH CAPITAL LIMITED","",""
"980586","61262","WORTH VENTURE PARTNERS, LLC","",""
"1002891","64449","MAKURIA INVESTMENT MANAGEMENT (UK) LLP","802-79909","171487"
"1002891","175744","MAKURIA INVESTMENT MANAGEMENT (UK) LLP","802-79909","171487"
"1001555","63976","CCTRACK SOLUTIONS CAYMAN LIMITED","",""
"1001555","63976","CCTRACK SOLUTIONS LIMITED","",""
"990808","71396","CAPITAL Z ASSET MANAGEMENT, LLC","801-79988","162210"
"990808","71394","CAPITAL Z ASSET MANAGEMENT, LLC","801-79988","162210"
"995676","173240","PERMIRA CREDIT SOLUTIONS II G.P. LIMITED","",""
"995676","50780","PERMIRA DEBT MANAGERS GROUP HOLDINGS LIMITED","",""
"995676","23257","PERMIRA DEBT MANAGERS GROUP HOLDINGS LIMITED","",""
"995676","24553","PERMIRA SCF S.A.R.L.","",""
"995676","23588","PERMIRA DEBT MANAGERS GROUP HOLDINGS LIMITED","",""
"995676","24548","PERMIRA DEBT MANAGERS GROUP HOLDINGS LIMITED","",""
"995676","50777","PERMIRA DEBT MANAGERS GROUP HOLDINGS LIMITED","",""
"995676","50784","PERMIRA SCF S.A.R.L.","",""
"995676","73410","PERMIRA CREDIT SOLUTIONS II G.P. LIMITED","",""
"995676","73411","PERMIRA CREDIT SOLUTIONS II G.P. LIMITED","",""
"995676","73412","PERMIRA CREDIT SOLUTIONS II G.P. LIMITED","",""
"995676","73922","PERMIRA CREDIT SOLUTIONS II G.P. LIMITED","",""
"995676","73923","PERMIRA CREDIT SOLUTIONS II G.P. LIMITED","",""
"995676","73924","PERMIRA CREDIT SOLUTIONS II G.P. LIMITED","",""
"995676","73925","PERMIRA CREDIT SOLUTIONS II G.P. LIMITED","",""
"995676","174684","PERMIRA SIGMA IV G.P. LTD.","",""
"995676","174771","PERMIRA SIGMA IV G.P. LTD.","",""
"995676","174772","PERMIRA SIGMA IV G.P. LTD.","",""
"1004708","58056","LONG INVESTMENT MANAGEMENT INTERNATIONAL LIMITED","",""
"1004708","1871","LONG INVESTMENT MANAGEMENT (CAYMAN) LIMITED","",""
"1004708","1870","LONG INVESTMENT MANAGEMENT INTERNATIONAL LIMITED","",""
"1004708","1930","LONG INVESTMENT MANAGEMENT (CAYMAN) LIMITED","",""
"986230","23167","RITCHIE PARTNERS, L.L.C.","",""
"986230","23177","RITCHIE CAPITAL MANAGEMENT, LTD.","802-76249","162047"
"986230","23464","RITCHIE PARTNERS, L.L.C.","",""
"986230","23490","RITCHIE CAPITAL MANAGEMENT, LTD.","802-76249","162047"
"986230","42154","RITCHIE CAPITAL MANAGEMENT, LTD.","802-76249","162047"
"988162","17836","PEAKSIDE CAPITAL SPC","",""
"988162","59631","PEAKSIDE CAPITAL SPC","",""
"993408","69237","EMET CAPITAL MANAGEMENT I, LLC","802-99338","226672"
"998774","20942","BENNELONG ASSET MANAGEMENT LIMITED","802-75798","162698"
"998774","20296","BENNELONG ASSET MANAGEMENT LIMITED","802-75798","162698"
"989489","69834","ATLANTIC BRIDGE GP LTD","",""
"995922","43499","UFG PRIVATE  EQUITY II (GP) L.P.","",""
"995922","43501","UFG CAPITAL MANAGEMENT LIMITED","",""
"995922","61891","UFG PE MANAGERS LIMITED","",""
"980356","70341","ROCKWOOD GP I LLC","",""
"991046","52603","HAYFIN MANAGEMENT LIMITED","",""
"991046","52596","HAYFIN MANAGEMENT LIMITED","",""
"991046","59357","HAYFIN MANAGEMENT LIMITED","",""
"991046","59371","HAYFIN MANAGEMENT LIMITED","",""
"991046","59372","HAYFIN MANAGEMENT LIMITED","",""
"991046","59377","HAYFIN MANAGEMENT LIMITED","",""
"1003428","24841","STONE MILLINER ASSET MANAGEMENT AG","802-74859","163246"
"1003428","28106","STONE MILLINER ASSET MANAGEMENT AG","802-74859","163246"
"1001516","37234","SURNIA INVESTMENT MANAGEMENT, LTD","",""
"993094","2775","AZENTUS CAPITAL MANAGEMENT (CAYMAN) LIMITED","",""
"1005765","61893","ARKKAN INVESTMENT MANAGEMENT LIMITED","802-79739","171129"
"1002243","60744","BEIDMCI LIMITED","",""
"1005623","45743","3LOGI CAPITAL","",""
"1005623","72234","INVASCENT CAPITAL PARTNERS II LTD","",""
"978403","74028","HITECVISION ADVISORY AS (SEE MISCELLANEOUS)","",""
"978403","35836","HITECVISION ADVISORY AS (SEE MISCELLANEOUS)","",""
"978403","35846","HITECVISION ADVISORY AS (SEE MISCELLANEOUS)","",""
"978403","35855","HITECVISION ADVISORY AS (SEE MISCELLANEOUS)","",""
"978403","35861","HITECVISION ADVISORY AS (SEE MISCELLANEOUS)","",""
"980298","48423","EMERALD HILL MANAGEMENT II LIMITED","802-77883","164759"
"980298","48425","EMERALD HILL MANAGEMENT II LIMITED","802-77883","164759"
"980298","25168","EMERALD HILL MANAGEMENT LIMITED","802-75100","163383"
"980298","25148","EMERALD HILL MANAGEMENT LIMITED","","163383"
"980298","25173","EMERALD HILL MANAGEMENT LIMITED","","163383"
"1006327","1871","LONG INVESTMENT MANAGEMENT (CAYMAN) LIMITED","",""
"1006327","1870","LONG INVESTMENT MANAGEMENT INTERNATIONAL LIMITED","",""
"1006327","1930","LONG INVESTMENT MANAGEMENT (CAYMAN) LIMITED","",""
"1006327","58056","LONG INVESTMENT MANAGEMENT INTERNATIONAL LIMITED","",""
"988439","176183","INOVIA CAPITAL INC.","",""
"988439","41562","INOVIA MANAGEMENT II, L.P.","",""
"988439","41410","INOVIA MANAGEMENT II, L.P.","",""
"988439","41684","INOVIA MANAGEMENT II, L.P.","",""
"988439","41706","INOVIA CAPITAL INC.","",""
"988439","41294","MSBI MANAGEMENT, L.P.","",""
"988439","41734","INOVIA CAPITAL INC.","",""
"988439","176149","INOVIA CAPITAL INC.","",""
"1005286","54303","EDISON MANAGEMENT CORPORATION","802-74550","160620"
"1005286","54354","EDISON MANAGEMENT CORPORATION","802-74550","160620"
"1005286","54355","EDISON MANAGEMENT CORPORATION","802-74550","160620"
"1005286","54356","EDISON MANAGEMENT CORPORATION","802-74550","160620"
"1005286","54357","EDISON MANAGEMENT CORPORATION","802-74550","160620"
"1005286","54358","EDISON MANAGEMENT CORPORATION","802-74550","160620"
"1005286","54353","EDISON MANAGEMENT CORPORATION","802-74550","160620"
"1005286","54302","EDISON MANAGEMENT CORPORATION","802-74550","160620"
"986653","35639","BRAZIL REAL ESTATE OPPORTUNITIES MANAGER LTD.","",""
"986653","35767","BRAZIL REAL ESTATE OPPORTUNITIES MANAGER II LTD.","",""
"986653","35779","BRAZIL REAL ESTATE OPPORTUNITIES MANAGER II LTD.","",""
"986653","35791","BRAZIL REAL ESTATE OPPORTUNITIES MANAGER II LTD.","",""
"986653","35800","BRAZIL REAL ESTATE OPPORTUNITIES MANAGER II LTD.","",""
"986653","35784","BRAZIL REAL ESTATE OPPORTUNITIES MANAGER II LTD.","",""
"986653","42140","BRAZIL REAL ESTATE OPPORTUNITIES MANAGER LTD.","",""
"986653","35790","BRAZIL REAL ESTATE OPPORTUNITIES MANAGER II LTD.","",""
"999814","33220","HORIZON CAPITAL ASSOCIATES, LLC","",""
"999814","33345","HORIZON CAPITAL ASSOCIATES II, LLC","",""
"999814","33374","HORIZON CAPITAL ASSOCIATES, LLC","",""
"996765","177100","WOLVER HILL ASSET MANAGEMENT","",""
"996765","76643","GINGKO ASSET MANAGEMENT","",""
"996765","35847","WOLVER HILL ASSET MANAGEMENT","",""
"996765","76638","WOLVER HILL ASSET MANAGEMENT","",""
"996765","35828","WOLVER HILL ASSET MANAGEMENT","",""
"996765","35853","WOLVER HILL ASSET MANAGEMENT","",""
"996765","177096","WOLVER HILL ASSET MANAGEMENT","",""
"1006263","15536","SYLEBRA CAPITAL MANAGEMENT","",""
"991712","8276","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","8413","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","7574","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","8359","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","7884","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","7892","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","8279","SG HAMBROS FUND ADVISERS (JERSEY) LIMITED","",""
"991712","7929","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","8304","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","8340","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","8387","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","8406","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","8434","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","49937","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","49935","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"991712","58067","SG HAMBROS FUND MANAGERS (JERSEY) LIMITED","",""
"1006397","15536","SYLEBRA CAPITAL MANAGEMENT","",""
"1003964","57944","JEFFERIES INVESTMENT ADVISERS, LLC","",""
