"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","CRD Number"
1026042,178354,"NORTHERN TRUST FIDUCIARY SERVICES (IRELAND) LIMITED","NORTHERN TRUST FIDUCIARY SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","",
1023548,173826,"DEUTSCHE BANK AG, LONDON BRANCH","DEUTSCHE BANK AG, LONDON BRANCH","LONDON","","United Kingdom","N","",
1023548,170026,"ELAVON FINANCIAL SERVICES LIMITED","ELAVON FINANCIAL SERVICES LIMITED","DUBLIN","","Ireland","N","",
1023548,72546,"ELAVON FINANCIAL SERVICES LIMITED","ELAVON FINANCIAL SERVICES LIMITED","DUBLIN","","Ireland","N","",
1023548,72547,"ELAVON FINANCIAL SERVICES LIMITED","ELAVON FINANCIAL SERVICES LIMITED","DUBLIN","","Ireland","N","",
1023548,28258,"DEUTSCHE BANK AG, LONDON BRANCH","DEUTSCHE BANK AG, LONDON BRANCH","LONDON","","United Kingdom","N","",
1023548,28294,"DEUTSCHE BANK AG, LONDON BRANCH","DEUTSCHE BANK AG, LONDON BRANCH","LONDON","","United Kingdom","N","",
1023548,28339,"DEUTSCHE BANK AG, LONDON BRANCH","DEUTSCHE BANK AG, LONDON BRANCH","LONDON","","United Kingdom","N","",
1023548,28378,"DEUTSCHE BANK AG, LONDON BRANCH","DEUTSCHE BANK AG, LONDON BRANCH","LONDON","","United Kingdom","N","",
1023548,28353,"DEUTSCHE BANK AG, LONDON BRANCH","DEUTSCHE BANK AG, LONDON BRANCH","LONDON","","United Kingdom","N","",
1023548,28394,"DEUTSCHE BANK AG, LONDON BRANCH","DEUTSCHE BANK AG, LONDON BRANCH","LONDON","","United Kingdom","N","",
1023548,28424,"US BANK GLOBAL CORPORATE TRUST SERVICES","US BANK GLOBAL CORPORATE TRUST SERVICES","LONDON","","United Kingdom","N","",
1023548,28479,"DEUTSCHE BANK AG, LONDON BRANCH","DEUTSCHE BANK AG, LONDON BRANCH","LONDON","","United Kingdom","N","",
1023548,28572,"STATE STREET CUSTODIAL SERVICES (IRELAND) LIMITED","STATE STREET CUSTODIAL SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","",
1039680,18092,"HDFC BANK LIMITED","HDFC BANK LIMITED","MUMBAI","","India","N","",
1039680,18109,"HDFC BANK LIMITED","HDFC BANK LIMITED","MUMBAI","","India","N","",
1035017,168220,"MILLENIUM TRUST COMPANY","MILLENIUM TRUST COMPANY","OAK BROOK","Illinois","United States","N","",
1030091,178875,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",
