"FilingID","ReferenceID","Foreign Regulatory Authority"
1038085,64531,"United Kingdom - Financial Conduct Authority"
1038085,64533,"United Kingdom - Financial Conduct Authority"
1038085,64529,"United Kingdom - Financial Conduct Authority"
1038085,64532,"United Kingdom - Financial Conduct Authority"
1038085,33349,"United Kingdom - Financial Conduct Authority"
1038085,33367,"United Kingdom - Financial Conduct Authority"
1038085,33342,"United Kingdom - Financial Conduct Authority"
1038085,33363,"United Kingdom - Financial Conduct Authority"
1038085,30333,"United Kingdom - Financial Conduct Authority"
1038085,33352,"United Kingdom - Financial Conduct Authority"
1038085,33376,"United Kingdom - Financial Conduct Authority"
1038085,159082,"United Kingdom - Financial Conduct Authority"
1048701,58421,"Other - NONE"
1048701,58420,"Other - NONE"
1048701,17011,"Cayman Islands - Cayman Islands Monetary Authority"
1048701,17940,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1058668,120317,"Cayman Islands - Cayman Islands Monetary Authority"
1043187,56601,"Cayman Islands - Cayman Islands Monetary Authority"
1048311,64504,"Cayman Islands - Cayman Islands Monetary Authority"
1048311,64503,"Cayman Islands - Cayman Islands Monetary Authority"
1048311,64490,"Cayman Islands - Cayman Islands Monetary Authority"
1048311,64505,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1048311,180259,"Ireland -  Central Bank of Ireland"
1044225,179417,"Guernsey - Guernsey Financial Services Commission"
1044225,179412,"Guernsey - Guernsey Financial Services Commission"
1044225,179410,"Guernsey - Guernsey Financial Services Commission"
1044225,179394,"Guernsey - Guernsey Financial Services Commission"
1044225,179390,"Guernsey - Guernsey Financial Services Commission"
1044225,179384,"Guernsey - Guernsey Financial Services Commission"
1044225,179373,"Guernsey - Guernsey Financial Services Commission"
1044225,179344,"Guernsey - Guernsey Financial Services Commission"
1044225,179343,"Guernsey - Guernsey Financial Services Commission"
1044225,179413,"Guernsey - Guernsey Financial Services Commission"
1044225,179408,"Guernsey - Guernsey Financial Services Commission"
1044225,179407,"Guernsey - Guernsey Financial Services Commission"
1044225,179415,"Guernsey - Guernsey Financial Services Commission"
1044225,179382,"Guernsey - Guernsey Financial Services Commission"
1044225,179375,"Guernsey - Guernsey Financial Services Commission"
1044225,179374,"Guernsey - Guernsey Financial Services Commission"
1044225,179409,"Guernsey - Guernsey Financial Services Commission"
1044225,179372,"Guernsey - Guernsey Financial Services Commission"
1044225,179400,"Guernsey - Guernsey Financial Services Commission"
1044225,179395,"Guernsey - Guernsey Financial Services Commission"
1044225,179662,"Guernsey - Guernsey Financial Services Commission"
1044225,179668,"Guernsey - Guernsey Financial Services Commission"
1044225,179665,"Guernsey - Guernsey Financial Services Commission"
1044225,179664,"Guernsey - Guernsey Financial Services Commission"
1044225,179663,"Guernsey - Guernsey Financial Services Commission"
1044225,179405,"Guernsey - Guernsey Financial Services Commission"
1044225,179402,"Guernsey - Guernsey Financial Services Commission"
1044225,179401,"Guernsey - Guernsey Financial Services Commission"
1044225,179345,"Guernsey - Guernsey Financial Services Commission"
1044225,179342,"Guernsey - Guernsey Financial Services Commission"
1044225,179336,"Guernsey - Guernsey Financial Services Commission"
1044225,179669,"Guernsey - Guernsey Financial Services Commission"
1044225,179671,"Guernsey - Guernsey Financial Services Commission"
1044225,179670,"Guernsey - Guernsey Financial Services Commission"
1044225,179655,"Guernsey - Guernsey Financial Services Commission"
1044225,179416,"Guernsey - Guernsey Financial Services Commission"
1044225,179411,"Guernsey - Guernsey Financial Services Commission"
1044225,179403,"Guernsey - Guernsey Financial Services Commission"
1044225,179399,"Guernsey - Guernsey Financial Services Commission"
