"FilingID","ReferenceID","Private Fund Name","Fund ID"
1020053,178135,"RIVERROCK EUROPEAN OPPORTUNITIES FEEDER FUND II",805-5110564940
1025283,169787,"TELEIOS GLOBAL OPPORTUNITIES, LP",805-5084120322
1025283,169787,"TELEIOS GLOBAL OPPORTUNITIES FUND, LTD.",805-3008220131
1030399,6693,"SOLAISE SYSTEMATIC FUND LIMITED",805-3304492880
1031035,178285,"TWOTAIL ALPHA OFFSHORE FUND LTD.",805-9884330224
1031035,178285,"TWOTAIL ALPHA ONSHORE FUND LP",805-9478921020
1028097,167432,"IDALION GLOBAL FUND LIMITED",805-6423219256
1028097,167432,"IDALION GLOBAL FUND LP",805-9617265539
1033170,64827,"FRANKLIN TEMPLETON EMERGING MARKET DEBT OPPORTUNITIES (CAYMAN) FUND, LTD.",805-9699929632
1033170,64827,"FRANKLIN TEMPLETON EMERGING MARKET DEBT OPPORTUNITIES FUND, L.P.",805-9012652721
1029196,174582,"LTE PARTNERS LTD",805-4053131017
1029196,174582,"LTE PARTNERSI, LLC",805-4655253551
1034062,15536,"SYLEBRA CAPITAL PARTNERS (ONSHORE), LTD.",805-2933402373
1034062,15536,"SYLEBRA CAPITAL PARTNERS (OFFSHORE), LTD.",805-5412756563
1036497,23030,"HPEF6 FEEDER FUND L.P.",805-3884406134
1023548,173826,"FUGU CREDIT PLC",805-6072662077
1033015,69967,"UNION SQUARE PARK PARTNERS OFFSHORE, LTD",805-5178809241
1028597,113232,"INTEGRATED MACRO, LTD",805-6730887756
1028597,113232,"INTEGRATED MACRO, LP",805-6838845079
1032122,178282,"ADVANCE TRADE GROWTH FUND LP",805-3543456108
1032122,178282,"ADVANCE TRADE GROWTH OFFSHORE FUND, LTD.",805-6927052942
1032122,178282,"GLOBAL SME GROWTH FUND LP",805-2581150702
1032386,62601,"L CAPITAL ASIA 2 SING LP",805-8195797584
1032386,62601,"L CAPITAL ASIA 2 LP",805-8869995949
1029171,170127,"PTQ CAPITAL FUND",805-9698366680
1029171,170127,"PTQ CAPITAL (US) FUND",805-5024254859
1028647,171883,"PW REAL ESTATE FUND III US FEEDER LP",805-7684472589
1028647,30771,"PWP RE FUND I US FEEDER LP",805-2240168102
1028647,49263,"PWP RE FUND II US FEEDER LP",805-8121878056
1029409,23030,"HPEF6 FEEDER FUND L.P.",805-3884406134
1030166,68041,"ACION OFFSHORE FUND",805-9257858188
1030166,68041,"ACION ONSHORE FUND",805-3470864645
1032714,178585,"ATLAS SQUARE GLOBAL FUND LIMITED",805-8373064730
1032714,178585,"ATLAS SQUARE GLOBAL US FUND LP",805-3538060408
1032319,166975,"ORCHARD VIEW CAPITAL OFFSHORE FUND LTD.",805-9891234271
1032319,166975,"ORCHARD VIEW CAPITAL PARTNERS LP",805-5592484884
1028811,178555,"OPCAPITA F AND F FEEDER, L.P.",805-3023501320
1028811,178531,"OPCAPITA F AND F FEEDER II, L.P.",805-8679392308
1029961,65827,"LIQUIDALTS H2O FORCE 10 FEEDER FUND",805-5828069236
1029961,65805,"LIQUIDALTS TUDOR TENSOR FEEDER FUND",805-2311533065
1030577,43357,"CITI GREENWICH STREET PARTNERS II OFFSHORE FUND",805-2706830837
1038793,159126,"SPRINGBOK ENERGY FEEDER FUND LLC",805-5917804676
1038933,179112,"CFP OPPORTUNITY FUND PLC",805-5259341533
1038933,179112,"CFP OPPORTUNITY FUND DELAWARE LP",805-9476763482
1038779,52082,"HIP III GUERNSEY L.P. INC.",805-9548817708
1038779,52082,"HIP III INTERNATIONAL L.P.",805-9012001843
1038779,12652,"HIP II INTERNATIONAL L.P.",805-8408341840
1038779,12382,"HIP INTERNATIONAL L.P.",805-5105915710
1028106,64681,"INDIA INFRASTRUCTURE FUND (SINGAPORE) PTE LIMITED",805-5863728880
1028106,10747,"M II",805-1182781610
1028106,158968,"M3",805-9113902340
1028106,10280,"M III",805-8112487009
1028106,158968,"M1",805-9283121531
1018457,56267,"NAYA LINCOLN PARK FUND LTD",805-1786548530
1018457,47178,"NAYA FUND LP",805-7785230383
1018457,47178,"NAYA FUND",805-9287043158
1028890,23675,"SNOW LAKE CHINA OFFSHORE FUND, LTD.",805-7874982763
1028890,23675,"SNOW LAKE CHINA FUND, LTD.",805-4341842395
1028890,175106,"SNOW LAKE CHINA LONG FUND, LTD.",805-1175183058
1028890,175106,"SNOW LAKE CHINA OFFSHORE LONG FUND, LTD.",805-4033477405
1027548,64989,"GALENA COMMODITY TRADE FINANCE FUND LIMITED",805-1066243450
1027548,64986,"GALENA PRIVATE EQUITY RESOURCES FUND LP",805-1995245505
1027548,64987,"GALENA SPECIAL SITUATIONS FUND LIMITED",805-9058539425
1027548,64986,"GALENA PRIVATE EQUITY RESOURCES CO-INVESTMENT LP",805-1364943958
1024396,178199,"EVERETT OPPORTUNITIES FUND LIMITED",805-2367738093
1024396,178199,"EVERETT OPPORTUNITIES FUND LP",805-1637952789
1025415,178314,"CEVINE CAPITAL MANAGEMENT VI (NO.1) FEEDER LIMITED PARTNERSHIP INCORPORATED",805-9688010854
1030412,178314,"CEVINE CAPITAL MANAGEMENT VI (NO.1) FEEDER LIMITED PARTNERSHIP INCORPORATED",805-9688010854
1029413,178585,"ATLAS SQUARE GLOBAL FUND LIMITED",805-8373064730
1029413,178585,"ATLAS SQUARE GLOBAL US FUND LP",805-3538060408
1035260,178769,"F&A VENTURES I C.V.",805-8671153522
1035260,178769,"RABO F&A VENTURES I C.V.",805-9588884410
1010018,177281,"VALUEQUEST CAPITAL LIMITED",805-9850160509
1037745,29331,"BLACK RIVER COMMODITY MULTI-STRATEGY FUND LTD.",805-2857216479
1037745,29331,"BLACK RIVER COMMODITY MULTI-STRATEGY FUND LLC",805-7144367947
1034330,65123,"KONTIKI ONSHORE FUND",805-8925530567
1034330,65123,"KONTIKI OFFSHORE FUND",805-4211793600
1037375,25922,"CAYMANS FEEDER",805-1501189762
1033529,175879,"SANSAR CAPITAL SPECIAL OPPORTUNITY FUND, L.P.",805-7171467849
1033529,175879,"SANSAR CAPITAL SPECIAL OPPORTUNITY FUND, LTD",805-4560527294
1033529,175865,"SANSAR CAPITAL, L.P.",805-3033933535
1033529,31181,"SANSAR FRONTIER FUND, LTD.",805-5571626739
1033529,31181,"SANSAR FRONTIER FUND, L.P.",805-7618177604
1026743,178398,"COMPOSITE CAPITAL FUND LIMITED",805-2775737222
1026743,178398,"COMPOSITE CAPITAL FUND LP",805-6982642986
1031621,17361,"INVESCO ASIA REAL ESTATE FEEDER FUND I, LTD.",805-2525538556
1031621,174068,"INVESCO ASIA REAL ESTATE FUND III (FEEDER), L.P.",805-5066443624
1029865,32149,"CAPULA TRF II LIMITED",805-6881383654
1029865,32149,"CAPULA TAIL RISK TRUST",805-2760619751
1029865,32149,"CAPULA TAIL RISK FUND LIMITED",805-9903304586
1029865,32066,"CAPULA GLOBAL RELATIVE VALUE TRUST",805-6820198155
1029865,32066,"CAPULA GRV III LIMITED",805-4665177252
1029865,32066,"CAPULA GRV II LIMITED",805-8229494858
1029865,32066,"CAPULA GLOBAL RELATIVE VALUE FUND LIMITED",805-5717491750
1029865,32066,"CAPULA GLOBAL RELATIVE VALUE FUND L.P.",805-3454369038
1035600,69012,"CLARAGH MOUNTAIN FUND LP",805-1943021184
1039074,178285,"TWOTAIL ALPHA OFFSHORE FUND LTD.",805-9884330224
1039074,178285,"TWOTAIL ALPHA ONSHORE FUND LP",805-9478921020
1032826,69967,"UNION SQUARE PARK PARTNERS OFFSHORE, LTD",805-5178809241
1030551,178667,"NEUMANN CAPITAL FEEDER A",805-5428329819
1030551,178667,"NEUMANN CAPITAL FEEDER B",805-5665958387
1033181,55518,"LOREM IPSUM ONSHORE FUND, LP",805-2524187028
1033181,55518,"LOREM IPSUM OFFSHORE FUND, LTD.",805-2948111513
1031475,178769,"F&A VENTURES I C.V.",805-8671153522
1031475,178769,"RABO F&A VENTURES I C.V.",805-9588884410
1032700,65481,"TAURUS MINING FINANCE FUND LTD",805-1193631624
1032700,65481,"TAURUS MINING FINANCE FUND LLC",805-5527538402
1032700,29406,"TAURUS RESOURCES FUND NO. 2 LLC",805-4317759556
1032700,29406,"TAURUS RESOURCES FUND NO. 2 LTD",805-2116484596
1032700,28988,"TAURUS RESOURCES FUND III LLC",805-7527553200
1032700,28988,"TAURUS RESOURCES FUND II LTD",805-8666663022
1036440,179213,"EMP LSO II LP",805-8996678659
1036440,179213,"EMP LSO I LP",805-5023673275
1036440,179211,"EMP VASARI LP",805-4568571426
1036440,179211,"EMP VASARI CO-INVEST LP",805-5126851320
1025938,178520,"MARKETX LLC PALANTIR FUND I",805-4093055105
1020638,178677,"CAYMAN EMERGING MANAGER PLATFORM SPC - FUND OF SCIENTIFIC STRATEGIES FEEDER SP",805-4561363096
1034349,65827,"LIQUIDALTS H2O FORCE 10 FEEDER FUND",805-5828069236
1034349,65805,"LIQUIDALTS TUDOR TENSOR FEEDER FUND",805-2311533065
1034802,56374,"ALTA PARK FUND ONSHORE, LP",805-1823153686
1034802,56374,"ALTA PARK FUND OFFSHORE, LTD",805-3334098213
1037041,47135,"DEMPSEY HILL ASIA FUND",805-4619867569
1028103,47586,"LNG EUROPA CREDIT FUND LP",805-7005982088
1028103,47586,"LNG EUROPA CREDIT FUND LIMITED",805-8173689281
1034138,178363,"TRITON VALUE FUND (CAYMAN) L.P.",805-8752940702
1034138,178363,"TRITON VALUE FUND LIMITED",805-2854419832
1034138,63998,"TRITON DEBT OPPORTUNITIES FUND US LP",805-9557533698
1034138,29855,"TRITON FUND III US LIMITED",805-5881125683
1034138,54149,"TRITON FUND IV US LP",805-5827149023
1035554,179112,"CFP OPPORTUNITY FUND PLC",805-5259341533
1035554,179112,"CFP OPPORTUNITY FUND DELAWARE LP",805-9476763482
1026219,178345,"OLD PEAK ASIA FUND LTD.",805-9171437799
1032702,67089,"ABBEVILLE OPPORTUNITY FUND LP",805-9642152691
1032702,67089,"ABBEVILLE OPPORTUNITY FUND",805-5147895824
1034903,177245,"SCP LEGACY, LP (FORMERLY ZAXIS PARTNERS, L.P.)",805-3031757220
1037974,32502,"RESIDENTIAL REAL ESTATE TOTAL RETURN OPPORTUNITIES FUND L.P.",805-4482009401
1037974,32502,"RESIDENTIAL REAL ESTATE TOTAL RETURN OPPORTUNITIES FUND LTD",805-8511494640
1037974,55577,"WYETREE YIELD DISTRIBUTION FUND",805-6857984640
1037974,55577,"WYETREE YIELD DISTRIBUTION FUND LP",805-5776475947
1037974,65425,"WYETREE EUROPEAN RECOVERY FUND LP",805-6106870689
1037974,65425,"WYETREE EUROPEAN RECOVERY FUND",805-6519804363
1028594,113232,"INTEGRATED MACRO, LTD",805-6730887756
1028594,113232,"INTEGRATED MACRO, LP",805-6838845079
1027098,44430,"TYRUS CAPITAL OPPORTUNITIES FUND, L.P.",805-9423536706
1027098,44430,"TYRUS CAPITAL OPPORTUNITIES FUND LIMITED",805-1574683702
1027098,44430,"TYRUS CAPITAL EVENT FUND LIMITED",805-9553849450
1027098,44430,"TYRUS CAPITAL EVENT FUND, L.P.",805-1565693646
1012077,177587,"AMIYA GLOBAL EMERGING OPPORTUNITIES FUND LIMITED",805-8391428515
1012077,177587,"AMIYA GLOBAL EMERGING OPPORTUNITIES FUND, L.P.",805-7690847948
1019876,58055,"TRISHIELD SPECIAL SITUATIONS FUND LTD.",805-5919445028
1019876,58055,"TRISHIELD SPECIAL SITUATIONS FUND LLC",805-9692957765
1020222,34201,"HINDE GOLD FEEDER FUND LTD",805-1843495166
1020222,34201,"HINDE GOLD FEEDER FUND LP",805-2289993384
1027568,59330,"CEPHEI QFII CHINA ABSOLUTE RETURN US FEEDER FUND LTD.",805-9352776299
1027568,59330,"CEPHEI QFII CHINA ABSOLUTE RETURN OFFSHORE FEEDER FUND LTD.",805-5148055909
1027568,51003,"CDH FUND V FEEDER, L.P.",805-1406487444
1027568,43597,"CDH FUND IV FEEDER, L.P.",805-1684919112
1027568,43596,"CDH SUPPLEMENTARY FUND III FEEDER, L.P.",805-3033562214
1027568,43594,"CDH CHINA GROWTH CAPITAL FUND II INVESTORS, L.P.",805-5627454529
1027568,43595,"CDH CHINA FUND III FEEDER, L.P.",805-2899417443
1028117,59099,"JERICA COMMERCIAL MORTGAGE OPPORTUNITY FUND, LLC",805-1150719629
1028117,59099,"JERICA COMMERCIAL MORTGAGE OPPORTUNITY INTERMEDIATE FUND, LP",805-1758996107
1028117,59099,"JERICA COMMERCIAL MORTGAGE OPPORTUNITY FUND, LTD.",805-3522160304
1035083,64484,"RS FEEDER FUND I, LP",805-9938652496
1035083,64484,"RS SPECIAL FEEDER I, LP",805-1794934784
1031906,178808,"ARMATUS MARKET NEUTRAL FUND, LLC",805-1122793693
1031906,178808,"ARMATUS MARKET NEUTRAL OFFSHORE FUND, LTD",805-8253615179
1030091,178875,"SAND GROVE OPPORTUNITIES FUND LP",805-1481347454
1030091,178875,"SAND GROVE OPPORTUNITIES FUND LTD",805-2648023943
1031125,56601,"MST GLOBAL OFFSHORE FUND",805-8738378653
1037951,178345,"OLD PEAK ASIA FUND LTD.",805-9171437799
1038309,178314,"CEVINE CAPITAL MANAGEMENT VI (NO.1) FEEDER LIMITED PARTNERSHIP INCORPORATED",805-9688010854
1029407,23030,"HPEF6 FEEDER FUND L.P.",805-3884406134
1033354,177954,"HAO GREAT CHINA FOCUS US FEEDER FUND",805-8514755295
1033354,177954,"HAO GREAT CHINA FOCUS NON-US FEEDER FUND",805-9997360874
1033553,17361,"INVESCO ASIA REAL ESTATE FEEDER FUND I, LTD.",805-2525538556
1033553,174068,"INVESCO ASIA REAL ESTATE FUND III (FEEDER), L.P.",805-5066443624
1028888,15536,"SYLEBRA CAPITAL PARTNERS (ONSHORE), LTD.",805-2933402373
1028888,15536,"SYLEBRA CAPITAL PARTNERS (OFFSHORE), LTD.",805-5412756563
1033567,56054,"CAM IV PRIVATE EQUITY MANAGER GBR",805-9876711531
1035939,178520,"MARKETX LLC PALANTIR FUND I",805-4093055105
1022042,35863,"PRAX CAPITAL CHINA GROWTH FUND III (UST), L.P.",805-9450354083
1022042,35863,"PRAX CAPITAL CHINA GROWTH FUND III (TE), L.P.",805-8120202445
1027827,64137,"GCI JAPAN HYBRIDS",805-7856937210
1027827,64136,"ALEUTIAN FUND",805-7148496586
1028093,17361,"INVESCO ASIA REAL ESTATE FEEDER FUND I, LTD.",805-2525538556
1028093,174068,"INVESCO ASIA REAL ESTATE FUND III (FEEDER), L.P.",805-5066443624
1017618,65827,"LIQUIDALTS H2O FORCE 10 FEEDER FUND",805-5828069236
1017618,65805,"LIQUIDALTS TUDOR TENSOR FEEDER FUND",805-2311533065
1028518,43357,"CITI GREENWICH STREET PARTNERS II OFFSHORE FUND",805-2706830837
1022666,65995,"JUNIPER TARGETED OPPORTUNITY FUND, LTD.",805-1813693785
1033986,169664,"SUNDERLAND CAPITAL ONSHORE FUND LP",805-5697881757
1033986,169664,"SUNDERLAND CAPITAL OFFSHORE FUND LTD",805-5637680952
1033558,36257,"SISU CAPITAL FUND LIMITED",805-7464278336
1029262,172596,"KLINE HILL PARTNERS OFFSHORE FUND LP",805-7028977704
1029403,23675,"SNOW LAKE CHINA OFFSHORE FUND, LTD.",805-7874982763
1029403,23675,"SNOW LAKE CHINA FUND, LTD.",805-4341842395
1029403,175106,"SNOW LAKE CHINA LONG FUND, LTD.",805-1175183058
1029403,175106,"SNOW LAKE CHINA OFFSHORE LONG FUND, LTD.",805-4033477405
1036719,17593,"SUMMIT PRIVATE INVESTMENTS OFFSHORE LTD.",805-6662051540
1037280,55919,"CKC CREDIT OPPORTUNITY FUND LP",805-9274176912
1026599,171153,"HILLTOP FUNDS ROW ICAV - CORE SELECT FUND ROW LEVERAGED FEEDER",805-7097822290
1026599,171153,"HILLTOP FUNDS ROW ICAV - CORE SELECT FUND ROW FEEDER",805-3454120094
1026599,171153,"HILLTOP FUNDS MASTER ICAV - CORE SELECT FUND UST LEVERAGED FEEDER",805-8158441187
1026599,171153,"HILLTOP FUNDS MASTER ICAV - CORE SELECT FUND UST FEEDER",805-2671836782
1027904,56093,"IDALION GLOBAL FUND LP",805-9617265539
1027904,56093,"IDALION GLOBAL FUND LIMITED",805-6423219256
1019995,177344,"SLAM INVESTMENTS",805-9682313652
1025543,178282,"ADVANCE TRADE GROWTH FUND LP",805-3543456108
1025543,178282,"ADVANCE TRADE GROWTH OFFSHORE FUND, LTD.",805-6927052942
1025543,178282,"GLOBAL SME GROWTH FUND LP",805-2581150702
1030575,43357,"CITI GREENWICH STREET PARTNERS II OFFSHORE FUND",805-2706830837
1031014,178731,"HOSEN INVESTMENT FEEDER FUND III, L.P.",805-6632880905
1027552,61237,"CLEARANCE SEGURA FUND LP",805-7026712863
1027385,13431,"VCP IV (FOUNDER PARTNER) L.P.",805-7311927137
1027385,13324,"VCP VI FP L.P.",805-9606455072
1027385,12790,"VCP VII FP LP",805-7115638749
1027385,13381,"VCP VI S FP L.P.",805-6770589586
1027385,13372,"VCP VI E FP L.P.",805-7721226732
1027385,13377,"VCP VI B FP L.P.",805-6177958201
1027385,13416,"VCP V (FOUNDER PARTNER) L.P.",805-9713522285
1040675,177954,"HAO GREAT CHINA FOCUS US FEEDER FUND",805-8514755295
1040675,177954,"HAO GREAT CHINA FOCUS NON-US FEEDER FUND",805-9997360874
1042510,58578,"ORCHARD LANDMARK LP",805-8667871467
1042510,58578,"ORCHARD LANDMARK LIMITED",805-9748090212
1042510,18625,"ORCHARD MAKIRA LP",805-4714901703
1042510,18608,"ORCHARD CENTAR LP",805-2889501482
1042510,18608,"ORCHARD CENTAR LIMITED",805-8319835674
1042510,18625,"ORCHARD MAKIRA LIMITED",805-8494151482
1042511,166598,"ANCHOR EQUITY PARTNERS FUND II (CAYMAN) FEEDER, L.P.",805-4646600196
1038492,179427,"ATOMVEST US FUND LIMITED",805-9540973516
1038492,179427,"ATOMVEST OFFSHORE FUND LIMITED",805-7006038328
1038827,11002,"ESPALIER GLOBAL PARTNERS LP",805-7831572310
1038827,11002,"ESPALIER GLOBAL OFFSHORE FUND, LTD.",805-7049077324
1042060,178285,"TWOTAIL ALPHA OFFSHORE FUND LTD.",805-9884330224
1042060,178285,"TWOTAIL ALPHA ONSHORE FUND LP",805-9478921020
1040178,43711,"IGCF FEEDER FUND L.P.",805-8792379527
1040445,179575,"EUR FEEDER VERDANE CAPITAL VIII K/S",805-8195131098
1027721,173007,"QUANTZ QUARK EQUITY MARKET NEUTRAL FUND, LP",805-6893519619
1027721,173007,"QUANTZ QUARK EMN OFFSHORE FUND, LTD.",805-9793087259
1039200,64763,"PEDDER STREET ASIA ABSOLUTE RETURN FUND LIMITED",805-5410216716
1038912,179454,"OTS ASIA OPPORTUNITY FUND LIMITED",805-2349044310
1040442,23111,"SEAGRASS INVESTMENT LIMITED",805-1294671635
1033860,64952,"VALO GROUP OFFSHORE FUND, LTD",805-1235360461
1040804,172596,"KLINE HILL PARTNERS OFFSHORE FUND LP",805-7028977704
1040533,178285,"TWOTAIL ALPHA OFFSHORE FUND LTD.",805-9884330224
1040533,178285,"TWOTAIL ALPHA ONSHORE FUND LP",805-9478921020
1039267,32502,"RESIDENTIAL REAL ESTATE TOTAL RETURN OPPORTUNITIES FUND L.P.",805-4482009401
1039267,32502,"RESIDENTIAL REAL ESTATE TOTAL RETURN OPPORTUNITIES FUND LTD",805-8511494640
1039267,55577,"WYETREE YIELD DISTRIBUTION FUND",805-6857984640
1039267,55577,"WYETREE YIELD DISTRIBUTION FUND LP",805-5776475947
1039267,65425,"WYETREE EUROPEAN RECOVERY FUND LP",805-6106870689
