"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
"880303","68847","14082","MCP PRIVATE CAPITAL (FEEDER) FUND II SCSP","805-1376275132","","Luxembourg","Y","N"
"880303","68840","14078","MCP PRIVATE CAPITAL (FEEDER) FUND I SCS","805-3202134504","","Luxembourg","Y","N"
"887565","40156","7341","CAM OPPORTUNITY FUND I LLC","805-9596878296","Delaware","United States","N","Y"
"887565","40156","7339","CAM OPPORTUNITY FUND I LTD.","805-1554819455","","Cayman Islands","N","Y"
"887565","40688","7431","CAM HORIZON FUND LLC","805-6013348593","Delaware","United States","N","Y"
"887565","40688","7429","CAM HORIZON FUND LTD.","805-4960879777","","Cayman Islands","N","Y"
"888724","65008","13269","LONGLEAD MARKET NEUTRAL FEEDER FUND LIMITED","805-8353902513","","Cayman Islands","N","Y"
"888724","65008","13270","LONGLEAD MARKET NEUTRAL U.S. FEEDER FUND LIMITED","805-2171593312","","Cayman Islands","N","Y"
"885587","63746","12919","SHORT HILLS INVESTMENT PARTNERS (OFFSHORE) LTD.","805-7859837517","","Cayman Islands","Y","N"
"885587","63746","12918","SHORT HILLS INVESTMENT PARTNERS LP","805-2501846536","Delaware","United States","Y","N"
"884509","55900","14259","RK MINE FINANCE FUND LP","805-1089018934","Delaware","United States","N","Y"
"884509","55900","11059","RK MINE FINANCE FUND I LIMITED","805-7209970548","","Bermuda","N","Y"
"892485","40385","7367","ALPINE CAPITAL PARTNERS, LLC","805-1204234441","New York","United States","Y","N"
"892485","40385","7364","ALPINE CAPITAL (CAYMAN) LTD.","805-2251978084","","Cayman Islands","Y","N"
"892485","40385","7366","ALPINE CAPITAL III, LLC","805-4416971382","New York","United States","Y","N"
"893014","19477","3829","CITIC CAPITAL CHINA RETAIL PROPERTIES INVESTMENT FEEDER FUND, L.P.","805-9276573416","","Cayman Islands","Y","Y"
"893054","43629","7933","SANDSTONE CAPITAL INDIA OFFSHORE FUND LIMITED","805-9185008637","","Cayman Islands","N","Y"
"893054","43629","7932","SANDSTONE CAPITAL INDIA FUND LP","805-7504186793","Delaware","United States","N","Y"
"876569","55221","10904","TROVE CAPITAL OFFSHORE FUND LTD.","805-9488973377","","Cayman Islands","N","Y"
"876569","55221","10903","TROVE CAPITAL LP","805-9377018369","Delaware","United States","N","Y"
"883221","60632","12259","EMPERY PARTNERS LP","805-8444941464","Delaware","United States","N","Y"
"883221","60632","12260","EMPERY INTERNATIONAL LTD","805-2508111087","","Cayman Islands","N","Y"
"888123","27859","5131","JABCAP EVENT DRIVEN FUND LIMITED","805-4103067204","","Cayman Islands","N","Y"
"888123","27859","5130","JABCAP EVENT DRIVEN FUND LP","805-2400638887","","Cayman Islands","N","Y"
"888123","27846","5128","JABCAP EMEA FUND LIMITED","805-1872003394","","Cayman Islands","N","Y"
"888123","27846","5127","JABCAP EMEA FUND LP","805-1627291442","","Cayman Islands","N","Y"
"888123","27831","5123","JABCAP GLOBAL BALANCED FUND LIMITED","805-5129653374","","Cayman Islands","N","Y"
"888123","27821","5121","JABCAP GLOBAL CONVERTIBLE FUND LIMITED","805-9840694429","","Cayman Islands","N","Y"
"888123","27753","5116","JABCAP MULTI STRATEGY FUND LIMITED","805-8566531481","","Cayman Islands","N","Y"
"888123","27753","5114","JABCAP MULTI STRATEGY FUND LP","805-7900870203","","Cayman Islands","N","Y"
"877107","60410","12199","DCM MULTI MANAGER OFFSHORE FUND, LTD.","805-6808812804","","British Virgin Islands","N","Y"
"875349","56323","11144","ROMULUS CAPITAL II (US) FEEDER, L.P.","805-7861119314","Delaware","United States","Y","N"
"889076","30889","5632","42","805-7261218590","","","Y","N"
"889076","30889","5631","43","805-8676563025","","","Y","N"
"889076","30842","5625","33","805-7221932518","","","Y","N"
"889076","30842","5624","32","805-7067348353","","","Y","N"
"893777","18813","3856","FORTELUS SPECIAL SITUATIONS FUND LP","805-3608075846","Delaware","United States","N","Y"
"893777","18813","3852","FORTELUS SPECIAL SITUATIONS FUND LIMITED","805-1065547725","","Cayman Islands","N","Y"
"892117","48903","8972","AMANSA INVESTMENTS LTD","805-4172034270","","Mauritius","N","Y"
"892117","48903","8971","AMANSA FUND LP","805-3387530020","","Cayman Islands","N","Y"
