"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
1020053,178135,118004,"Ireland -  Central Bank of Ireland"
1040675,177954,117969,"Cayman Islands - Cayman Islands Monetary Authority"
1040675,177954,117968,"Cayman Islands - Cayman Islands Monetary Authority"
1042510,18608,3662,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1042510,58578,11821,"Cayman Islands - Cayman Islands Monetary Authority"
1038492,179427,118206,"Cayman Islands - Cayman Islands Monetary Authority"
1038492,179427,118205,"Cayman Islands - Cayman Islands Monetary Authority"
1030399,6693,1911,"Other - CIMA"
1032714,178585,118059,"Cayman Islands - Cayman Islands Monetary Authority"
1039200,64763,13194,"Cayman Islands - Cayman Islands Monetary Authority"
1040445,179575,118223,"Denmark - Danish Financial Supervisory Authority"
1037375,25922,4775,"Other - CAYMANS ISLANDS/CAYMAN ISLANDS MONETARY AUTHORTY"
1038912,179454,118208,"Cayman Islands - Cayman Islands Monetary Authority"
1027904,56093,11107,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1027721,173007,117197,"Cayman Islands - Cayman Islands Monetary Authority"
1030551,178667,118067,"Cayman Islands - Cayman Islands Monetary Authority"
1030551,178667,118066,"Cayman Islands - Cayman Islands Monetary Authority"
1039263,65805,13439,"Jersey - Jersey Financial Services Commission"
1039263,65827,13451,"Jersey - Jersey Financial Services Commission"
1028106,158968,107524,"Mauritius, Republic of - Financial Services Commission"
1028106,64681,13151,"Singapore - Monetary Authority of Singapore"
1028106,10280,2480,"Mauritius, Republic of - Financial Services Commission"
1028106,10747,2535,"Mauritius, Republic of - Financial Services Commission"
1028106,158968,107523,"Mauritius, Republic of - Financial Services Commission"
1029961,65805,13439,"Jersey - Jersey Financial Services Commission"
1029961,65827,13451,"Jersey - Jersey Financial Services Commission"
1024396,178199,117991,"Cayman Islands - Cayman Islands Monetary Authority"
1033529,175879,117596,"Cayman Islands - Cayman Islands Monetary Authority"
1033529,31181,5682,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1028890,175106,117455,"Cayman Islands - Cayman Islands Monetary Authority"
1028890,23675,4415,"Cayman Islands - Cayman Islands Monetary Authority"
1028890,23675,4416,"Cayman Islands - Cayman Islands Monetary Authority"
1028890,175106,117454,"Cayman Islands - Cayman Islands Monetary Authority"
1029865,32066,5881,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029865,32066,5882,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029865,32149,5888,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029865,32149,5889,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029865,32066,5877,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029865,32066,5879,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029865,32066,5880,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029865,32149,13092,"Cayman Islands - Cayman Islands Monetary Authority"
1017618,65805,13439,"Jersey - Jersey Financial Services Commission"
1017618,65827,13451,"Jersey - Jersey Financial Services Commission"
1029403,23675,4415,"Cayman Islands - Cayman Islands Monetary Authority"
1029403,23675,4416,"Cayman Islands - Cayman Islands Monetary Authority"
1029403,175106,117454,"Cayman Islands - Cayman Islands Monetary Authority"
1029403,175106,117455,"Cayman Islands - Cayman Islands Monetary Authority"
1038309,178314,118019,"Guernsey - Guernsey Financial Services Commission"
1025415,178314,118019,"Guernsey - Guernsey Financial Services Commission"
1030412,178314,118019,"Guernsey - Guernsey Financial Services Commission"
1029413,178585,118059,"Cayman Islands - Cayman Islands Monetary Authority"
1033170,64827,13213,"Cayman Islands - Cayman Islands Monetary Authority"
1027827,64136,13012,"Cayman Islands - Cayman Islands Monetary Authority"
1033354,177954,117969,"Cayman Islands - Cayman Islands Monetary Authority"
1033354,177954,117968,"Cayman Islands - Cayman Islands Monetary Authority"
1033558,36257,7049,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1037745,29331,5342,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1034330,65123,13287,"Cayman Islands - Cayman Islands Monetary Authority"
1034330,65123,13288,"Cayman Islands - Cayman Islands Monetary Authority"
1040674,179454,118208,"Cayman Islands - Cayman Islands Monetary Authority"
1040919,64490,13277,"Cayman Islands - Cayman Islands Monetary Authority"
1026743,178398,118033,"Cayman Islands - Cayman Islands Monetary Authority"
1028888,15536,4679,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1028888,15536,4678,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1034349,65805,13439,"Jersey - Jersey Financial Services Commission"
1034349,65827,13451,"Jersey - Jersey Financial Services Commission"
1041636,55167,10885,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042068,167044,115784,"Cayman Islands - Cayman Islands Monetary Authority"
1042068,167044,115785,"United Kingdom - Financial Conduct Authority"
1042068,167044,115785,"Cayman Islands - Cayman Islands Monetary Authority"
1039267,65425,13336,"Ireland -  Central Bank of Ireland"
1039267,55577,11065,"Ireland -  Central Bank of Ireland"
1037974,65425,13336,"Ireland -  Central Bank of Ireland"
1037974,55577,11065,"Ireland -  Central Bank of Ireland"
1037951,178345,118023,"Cayman Islands - Cayman Islands Monetary Authority"
1028097,167432,115857,"Cayman Islands - Cayman Islands Monetary Authority"
1040524,179578,118224,"Cayman Islands - Cayman Islands Monetary Authority"
1042986,72373,58365,"Cayman Islands - Cayman Islands Monetary Authority"
1042758,40113,7331,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042758,40113,7332,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042758,40113,7329,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042758,167203,115812,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042758,167203,115813,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042758,167203,115814,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1028103,47586,8704,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1028103,47586,12692,"Cayman Islands - Cayman Islands Monetary Authority"
1039680,18092,5327,"Mauritius, Republic of - Financial Services Commission"
1042685,65952,13480,"Guernsey - Guernsey Financial Services Commission"
1042336,39284,7204,"Cayman Islands - Cayman Islands Monetary Authority"
1042336,36228,7192,"Cayman Islands - Cayman Islands Monetary Authority"
1042336,39245,7202,"Cayman Islands - Cayman Islands Monetary Authority"
1042336,39311,7207,"Cayman Islands - Cayman Islands Monetary Authority"
1038929,167248,115824,"Cayman Islands - Cayman Islands Monetary Authority"
1038929,120449,83406,"Cayman Islands - Cayman Islands Monetary Authority"
1038929,120448,83405,"Cayman Islands - Cayman Islands Monetary Authority"
1043094,174279,117308,"Guernsey - Guernsey Financial Services Commission"
1043094,174019,117313,"Guernsey - Guernsey Financial Services Commission"
1043094,174310,117316,"Guernsey - Guernsey Financial Services Commission"
1043094,174310,117315,"Guernsey - Guernsey Financial Services Commission"
1043094,174265,117306,"Guernsey - Guernsey Financial Services Commission"
1043094,174012,117302,"Guernsey - Guernsey Financial Services Commission"
1043094,174154,117275,"Guernsey - Guernsey Financial Services Commission"
1043094,174189,117284,"Guernsey - Guernsey Financial Services Commission"
1043094,60506,117291,"Guernsey - Guernsey Financial Services Commission"
1043094,69711,117294,"Guernsey - Guernsey Financial Services Commission"
1043094,69711,117296,"Guernsey - Guernsey Financial Services Commission"
1020222,34201,13135,"Cayman Islands - Cayman Islands Monetary Authority"
1043200,179575,118223,"Denmark - Danish Financial Supervisory Authority"
1024279,178193,118006,"Cayman Islands - Cayman Islands Monetary Authority"
1027098,44430,14102,"Cayman Islands - Cayman Islands Monetary Authority"
1027098,44430,8019,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1027098,44430,14101,"Cayman Islands - Cayman Islands Monetary Authority"
1027098,44430,8022,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1027568,59330,11967,"Cayman Islands - Cayman Islands Monetary Authority"
1028117,59099,47376,"Cayman Islands - Cayman Islands Monetary Authority"
1028117,59099,47378,"Cayman Islands - Cayman Islands Monetary Authority"
1035083,64484,13081,"Guernsey - Guernsey Financial Services Commission"
1035083,64484,13080,"Guernsey - Guernsey Financial Services Commission"
1030091,178875,118107,"Cayman Islands - Cayman Islands Monetary Authority"
1032662,178861,118109,"Cayman Islands - Cayman Islands Monetary Authority"
1040835,17011,3383,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1040835,17940,3536,"Cayman Islands - Cayman Islands Monetary Authority"
1040835,58420,11781,"Other - NONE"
1042051,179712,118238,"Cayman Islands - Cayman Islands Monetary Authority"
1033986,169664,116436,"Cayman Islands - Cayman Islands Monetary Authority"
1033181,55518,10955,"Cayman Islands - Cayman Islands Monetary Authority"
1034062,15536,4679,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1034062,15536,4678,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1037041,47135,8575,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1025019,179750,118249,"Cayman Islands - Cayman Islands Monetary Authority"
1025019,179753,118252,"Cayman Islands - Cayman Islands Monetary Authority"
1031850,63665,13030,"Cayman Islands - Cayman Islands Monetary Authority"
1031850,63720,13031,"Cayman Islands - Cayman Islands Monetary Authority"
1041447,174279,117308,"Guernsey - Guernsey Financial Services Commission"
1041447,174019,117313,"Guernsey - Guernsey Financial Services Commission"
1041447,174310,117316,"Guernsey - Guernsey Financial Services Commission"
1041447,174310,117315,"Guernsey - Guernsey Financial Services Commission"
1041447,174265,117306,"Guernsey - Guernsey Financial Services Commission"
1041447,174012,117302,"Guernsey - Guernsey Financial Services Commission"
1041447,174154,117275,"Guernsey - Guernsey Financial Services Commission"
1041447,174189,117284,"Guernsey - Guernsey Financial Services Commission"
1041447,60506,117291,"Guernsey - Guernsey Financial Services Commission"
1041447,69711,117294,"Guernsey - Guernsey Financial Services Commission"
1041447,69711,117296,"Guernsey - Guernsey Financial Services Commission"
1029171,170127,116616,"Cayman Islands - Cayman Islands Monetary Authority"
1029171,170127,116615,"Cayman Islands - Cayman Islands Monetary Authority"
1030166,68041,13952,"Cayman Islands - Cayman Islands Monetary Authority"
1030166,68041,13953,"Cayman Islands - Cayman Islands Monetary Authority"
1032696,178866,118104,"Cayman Islands - Cayman Islands Monetary Authority"
1026599,171153,116746,"Ireland -  Central Bank of Ireland"
1026599,171153,116746,"United Kingdom - Financial Conduct Authority"
1026599,171153,116747,"United Kingdom - Financial Conduct Authority"
1026599,171153,116747,"Ireland -  Central Bank of Ireland"
1026599,171153,116748,"United Kingdom - Financial Conduct Authority"
1026599,171153,116748,"Ireland -  Central Bank of Ireland"
1026599,171153,116745,"United Kingdom - Financial Conduct Authority"
1026599,171153,116745,"Ireland -  Central Bank of Ireland"
1031125,56601,11247,"Cayman Islands - Cayman Islands Monetary Authority"
1026219,178345,118023,"Cayman Islands - Cayman Islands Monetary Authority"
1029196,174582,117361,"Cayman Islands - Cayman Islands Monetary Authority"
1012077,177587,117870,"United Kingdom - Financial Conduct Authority"
1012077,177587,117871,"United Kingdom - Financial Conduct Authority"
