"FilingID","ReferenceID","Name of Auditing Firm","City","State","Country","Independent","PCAOB Registered","PCAOB Inspected"
"880303","68847","DELOITTE","LUXEMBOURG","","Luxembourg","Y","Y","Y"
"880303","68840","DELOITTE","LUXEMBOURG","","Luxembourg","Y","Y","Y"
"871933","37837","ERNST & YOUNG ET AUTRES","PARIS","","France","Y","Y","Y"
"871933","37785","ERNST & YOUNG ET AUTRES","PARIS","","France","Y","Y","Y"
"869016","32890","PRICEWATERHOUSECOOPERS CI LLP","ST HELIER","","Jersey","Y","Y","Y"
"869016","32777","PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
"869016","60104","PRICEWATERHOUSECOOPERS","DUBLIN","","Ireland","Y","Y","Y"
"891318","40698","PRICEWATERHOUSECOOPERS","GEORGETOWN","","Cayman Islands","Y","Y","Y"
"891318","40597","PRICEWATERHOUSECOOPERS","GEORGETOWN","","Cayman Islands","Y","Y","Y"
"891318","40662","PRICEWATERHOUSECOOPERS","GEORGETOWN","","Cayman Islands","Y","Y","Y"
"891318","40638","PRICEWATERHOUSECOOPERS","GEORGETOWN","","Cayman Islands","Y","Y","Y"
"888276","69705","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","69700","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","59003","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","59004","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","34443","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","34430","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","34423","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","34412","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","34460","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","34359","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888276","39854","KPMG","TEL AVIV","","Israel","Y","Y","Y"
"888724","65008","ERNST & YOUNG LTD.","CAMANA BAY","","Cayman Islands","Y","Y","Y"
"889942","58839","RYAN & JURASKA CPA'S","CHICAGO","Illinois","United States","Y","Y","Y"
"889942","50278","MCGLADREY LLP","NEW YORK","New York","United States","Y","Y","Y"
"884743","45264","JAMES SERIO CPA","FRISCO","Texas","United States","Y","N",""
"879922","68627","SPICER JEFFRIES LLP","GREENWOOD VILLAGE","Colorado","United States","Y","Y","Y"
"879922","58807","SPICER JEFFRIES LLP","GREENWOOD VILLAGE","Colorado","United States","Y","Y","Y"
"891438","34573","BDO LLP","EPSOM","","United Kingdom","Y","Y","Y"
"891438","34617","BDO LLP","EPSOM","","United Kingdom","Y","Y","Y"
"891438","34469","BDO LLP","EPSOM","","United Kingdom","Y","Y","Y"
"883675","8831","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26598","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26591","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26500","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26497","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26492","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26488","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26486","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26483","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26480","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
"883675","26479","PRICEWATERHOUSECOOPERS LLP","LONDON","","United Kingdom","N","Y","Y"
