"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"948977","64763","CITIGROUP GLOBAL MARKETS LIMITED","","","LONDON","","United Kingdom","Y"
"945830","65182","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"949349","45359","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","N"
"949787","43431","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","CHICAGO","Illinois","United States","Y"
"949749","167285","M.S. HOWELLS & CO.","","","SCOTTSDALE","Arizona","United States","Y"
"946440","65172","BANK HAPOALIM","","","TEL AVIV","","Israel","Y"
"946440","65144","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"946440","65173","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"946440","65170","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"946440","65145","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"946440","65109","U.S. BANCORP INVESTMENTS, INC.","8-35359","17868","MINNEAPOLIS","Minnesota","United States","N"
"946440","167149","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","Y"
"946440","167148","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"945841","167006","J.P. MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"945841","167006","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"946490","68657","CREDIT SUISSE SECURITIES (USA) LLC","","","NEW YORK","New York","United States","Y"
"946490","42243","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"946490","42213","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"946490","42213","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"946490","41724","J.P. MORGAN SECURITIES LIMITED","","","LONDON","","United Kingdom","Y"
"946490","41687","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"946490","41687","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"946490","41661","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"946490","41661","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"946490","42243","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"946490","42223","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"946490","42223","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"946490","68552","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"946490","68552","BARCLAYS CAPITAL SECURITIES LIMITED","","","LONDON","","United Kingdom","Y"
"946490","68552","UBS AG","","","LONDON","","United Kingdom","Y"
"946490","68552","CITIGROUP GLOBAL MARKETS LIMITED","","","LONDON","","United Kingdom","Y"
"946490","41724","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","N"
"950181","167189","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"950181","167189","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"950181","167189","CREDIT SUISSE","","","HONG KONG","","Hong kong","Y"
"950181","167188","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"950181","167188","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"950181","167188","CREDIT SUISSE","","","HONG KONG","","Hong kong","Y"
"950181","167191","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"950181","167191","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"950181","167191","CREDIT SUISSE","","","HONG KONG","","Hong kong","Y"
"950181","167187","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"950181","167187","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"950181","167187","CREDIT SUISSE","","","HONG KONG","","Hong kong","Y"
"945839","73932","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"945839","73928","DEUTSCHE BANK AG","","","HONG KONG","","Hong kong","Y"
"945839","22136","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","HONG KONG","","Hong kong","Y"
"945839","23013","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"945839","22136","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"945839","22136","MORGAN STANLEY & COMPANY INTERNATIONAL PLC","","","HONG KONG","","Hong kong","Y"
"945839","22136","GOLDMAN SACHS INTERNATIONAL","","","HONG KONG","","Hong kong","Y"
"945839","22136","DEUTSCHE BANK AG","","","HONG KONG","","Hong kong","Y"
"945839","22993","DEUTSCHE BANK AG","","","HONG KONG","","Hong kong","Y"
"945839","22994","DEUTSCHE BANK AG","","","HONG KONG","","Hong kong","Y"
"945839","22985","DEUTSCHE BANK SECURITIES INC.","","","HONG KONG","","Hong kong","Y"
"945839","50037","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"945839","167030","DEUTSCHE BANK AG","","","HONG KONG","","Hong kong","Y"
"945839","167030","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","SINGAPORE","","Singapore","Y"
"948111","167177","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"949947","65815","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"950927","46772","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","Y"
"951091","167006","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"951091","167006","J.P. MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"940965","96236","UBS AG (LONDON BRANCH)","","","LONDON","","United Kingdom","Y"
"940965","96236","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"940965","96236","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"951271","16002","CITIGROUP GLOBAL MARKETS LIMITED","","","LONDON","","United Kingdom","Y"
"951271","15995","CITIGROUP GLOBAL MARKETS LIMITED","","","LONDON","","United Kingdom","Y"
"947985","64110","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"947985","64110","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"951949","58422","PERSHING LLC","8-17574","7560","JERSEY CITY","New Jersey","United States","Y"
"940577","74122","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"940577","76380","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"950022","167298","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"950022","167298","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"952200","56954","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"952200","56954","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"949182","167455","J.P. MORGAN CHASE","","","NEW YORK","New York","United States","Y"
"950839","65404","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"950839","55706","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"950839","45579","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"950839","45579","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"950839","45579","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"950839","45579","PERSHING LLC","8-17574","7560","NY","New York","United States","Y"
"952469","167104","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"952469","167104","CREDIT SUISSE SECURITIES EUROPE LIMITED","","","LONDON","","United Kingdom","Y"
"952493","39708","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"952493","39674","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"952493","39624","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"952535","58422","PERSHING LLC","8-17574","7560","JERSEY CITY","New Jersey","United States","Y"
"950258","12652","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","8-7221","7691","SAN FRANCISCO","California","United States","N"
"950258","52082","MORGAN STANLEY","8-68191","149777","PURCHASE","New York","United States","N"
"950258","12652","MORGAN STANLEY","8-68191","149777","PURCHASE","New York","United States","N"
"950258","12652","COLLINS STEWART (CI) LTD","","","ST PETER PORT","","Guernsey","Y"
"950258","12652","SOCIETE GENERALE S.A., DUBLIN BRANCH","","","DUBLIN","","Ireland","Y"
"950258","12652","CANTOR FITZGERALD & CO.","8-201","134","NEW YORK","New York","United States","Y"
"952739","167567","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"953689","55146","UBS AG (LONDON BRANCH)","","","LONDON","","United Kingdom","Y"
"953689","55146","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"953689","55146","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"953198","167561","MORGAN STANLEY","8-68191","149777","BOSTON","Massachusetts","United States","Y"
"954083","67021","UBS AG","","","LONDON","","United Kingdom","N"
"954083","67021","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","N"
"948213","167170","BTIG, LLC","8-65473","122225","SAN FRANCISCO","California","United States","Y"
"954261","58441","WELLS FARGO PRIME SERVICES, LLC","8-66677","133068","SAN FRANCISCO","California","United States","Y"
"954261","58441","J.P. MORGAN CLEARING CORP.","8-43724","28432","BROOKLYN","New York","United States","Y"
"954261","58441","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"954907","167706","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","SAN FRANCISCO","California","United States","Y"
"954907","167706","GOLDMAN, SACHS & CO.","8-129","361","SAN FRANCISCO","California","United States","Y"
"955512","67750","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","Y"
"954008","167620","DEUTSCHE BANK AG","","","NEW YORK","New York","United States","Y"
"954008","40970","NOMURA INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"954008","40970","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"954008","167619","NOMURA INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"937068","166836","UBS SECURITIES LLC","8-12345678","","NEW YORK","New York","United States","Y"
"954777","55167","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"954777","55167","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"955891","40506","THE BANK OF NOVA SCOTIA","","","TORONTO","","Canada","Y"
"955891","40506","BMO NESBITT BURNS INC.","","","TORONTO","","Canada","Y"
"955891","40506","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"955891","40506","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"955891","43416","BMO NESBITT BURNS INC.","","","TORONTO","","Canada","Y"
"955891","43416","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"955891","43416","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"955891","43409","BMO NESBITT BURNS INC.","","","TORONTO","","Canada","Y"
"955891","43409","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"955891","43409","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"955891","43416","BANK OF NOVA SCOTIA","","","TORONTO","","Canada","Y"
"955891","43409","BANK OF NOVA SCOTIA","","","TORONTO","","Canada","Y"
"949275","167254","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"949275","167253","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"949275","167252","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"949275","27953","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"949275","27978","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"949275","27978","WELLS FARGO PRIME SERVICES, LLC","8-66677","133068","NEW YORK","New York","United States","N"
"949275","167254","WELLS FARGO PRIME SERVICES, LLC","8-66677","133068","SAN FRANCISCO","California","United States","N"
"949275","167253","WELLS FARGO PRIME SERVICES, LLC","8-66677","133068","SAN FRANCISCO","California","United States","N"
"949275","167252","WELLS FARGO PRIME SERVICES, LLC","8-66677","133068","SAN FRANCISCO","California","United States","N"
"953374","56238","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"953374","56238","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"953846","64719","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"954296","43597","CHINA INTERNATIONAL CAPITAL CORPORATION HONG KONG SECURITIES LIMITED","","","HONG KONG","","China","N"
"954296","43595","BOC INTERNATIONAL (CHINA) LIMITED","","","BEIJING","","China","N"
"954296","43595","MORGAN STANLEY & CO., INTERNATIONAL PLC","","","LONDON","","United Kingdom","N"
"954296","43595","CHINA INTERNATIONAL CAPITAL CORPORATION LIMITED","","","GUANGZHOU","","China","N"
"954296","43595","GUOTAI JUNAN SECURITIES (HONG KONG) LIMITED","","","HONG KONG","","China","N"
"954296","43594","CHINA INTERNATIONAL CAPITAL CORPORATION LIMITED","","","BEIJING","","China","N"
"954296","43594","GUOTAI JUNAN SECURITIES (HONG KONG) LIMITED","","","HONG KONG","","China","N"
"954296","43594","MORGAN STANLEY SMITH BARNEY LLC","","","NEW YORK","New York","United States","N"
"954296","43594","GF SECURITIES CO LTD","","","SHENZHEN","","China","N"
"954296","43597","MORGAN STANLEY & CO., INTERNATIONAL PLC","","","LONDON","","United Kingdom","N"
"954296","43595","UBS AG HONG KONG BRANCH","","","HONG KONG","","China","N"
"954529","54838","MORGAN STANLEY & CO INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"954529","54916","MORGAN STANLEY & CO INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"955471","67750","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","Y"
"954527","54838","MORGAN STANLEY & CO INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"954527","54916","MORGAN STANLEY & CO INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"952263","113239","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"952263","113239","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"944802","166975","JEFFERIES LLC","","","NEW YORK","New York","United States","Y"
"944802","166975","JP MORGAN CLEARING CORP","","","BROOKLYN","New York","United States","Y"
"953110","34831","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","37784","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"953110","37784","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","35202","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","35171","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40829","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40851","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40459","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40954","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40944","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40928","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40902","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40888","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40878","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","40867","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","50487","THE BANK OF NEW YORK MELLON TREASURY SERVICES","","","NEW YORK","New York","United States","Y"
"953110","61813","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"953110","61813","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","76567","THE BANK OF NEW YORK MELLON","","","NEW YORK","New York","United States","N"
"953110","76564","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","76566","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","76563","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"953110","76562","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"956275","162210","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"956275","162212","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"956275","162212","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"956275","162210","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"956275","162212","MORGAN STANLEY","","","NEW YORK","New York","United States","Y"
"956275","162210","MORGAN STANLEY","","","NEW YORK","New York","United States","Y"
"956504","65815","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"957289","167846","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","Y"
