"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","CRD Number"
"880303","68847","RBS GLOBAL BANKING (LUXEMBOURG) SA","RBS GLOBAL BANKING (LUXEMBOURG) SA","LUXEMBOURG","","Luxembourg","N","",""
"880303","68840","RBS GLOBAL BANKING (LUXEMBOURG) SA","RBS GLOBAL BANKING (LUXEMBOURG) SA","LUXEMBOURG","","Luxembourg","N","",""
"871933","37785","CACEIS BANK FRANCE","CACEIS BANK","PARIS","","France","N","",""
"871933","37837","CACEIS BANK FRANCE","CACEIS BANK","PARIS","","France","N","",""
"869016","32890","ABN AMRO BANK NV","ABN AMRO","AMSTERDAM","","Netherlands","N","",""
"887565","40156","MAXIM GROUP LLC","MAXIM GROUP LLC","NYC","New York","United States","N","8-65337","120708"
"887565","40688","MAXIM GROUP LLC","MAXIM GROUP LLC","NYC","New York","United States","N","8-65337","120708"
"888276","39854","BANK LEUMI LE ISRAEL B.M.","BANK LEUMI LE ISRAEL B.M.","HERZELIYA","","Israel","N","",""
"888276","59003","BANK LEUMI LE ISRAEL B.M.","BANK LEUMI LE ISRAEL B.M.","HERZELIYA","","Israel","N","",""
"888276","59004","BANK LEUMI LE ISRAEL B.M.","BANK LEUMI LE ISRAEL B.M.","HERZELIYA","","Israel","N","",""
"888276","69700","BANK LEUMI LE ISRAEL B.M.","BANK LEUMI LE ISRAEL B.M.","HERZELIYA","","Israel","N","",""
"888276","69705","BANK LEUMI LE ISRAEL B.M.","BANK LEUMI LE ISRAEL B.M.","HERZELIYA","","Israel","N","",""
"888276","34412","BANK LEUMI LE ISRAEL B.M.","BANK LEUMI LE ISRAEL B.M.","HERZELIYA","","Israel","N","",""
"888276","34430","BANK LEUMI LE ISRAEL B.M.","BANK LEUMI LE ISRAEL B.M.","HERZELIYA","","Israel","N","",""
"888276","34443","BANK HAPOALIM B.M. NEW YORK","BANK HAPOALIM B.M. NEW YORK","NEW YORK","New York","United States","N","",""
"888276","34359","BANK HAPOALIM","BANK HAPOALIM","HERZELIYA","","Israel","N","",""
"888276","34460","BANK LEUMI LE ISRAEL BM","BANK LEUMI LE ISRAEL BM","HERZELIYA","","Israel","N","",""
"888276","34423","BANK LEUMI LE ISRAEL B.M.","BANK LEUMI LE ISRAEL B.M.","HERZELIYA","","Israel","N","",""
"888724","65008","UBS AG, LONDON BRANCH","UBS AG, LONDON BRANCH","LONDON","","United Kingdom","N","",""
"888724","65008","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","LONDON","","United Kingdom","N","",""
"889942","50278","TD AMERITRADE CLEARING, INC.","TD AMERITRADE CLEARING, INC.","BELLEVUE","Nebraska","United States","N","8-16335","5633"
"889942","50278","BOURSA INVESTMENT ADVISORS, INC.","BOURSA INVESTMENTS","NEW YORK","New York","United States","N","8-68457","152516"
"889942","58839","CITIBANK, NA","CITIBANK, NA","STATEN ISLAND","New York","United States","N","",""
"889942","58839","STERLING NATIONAL BANK","STERLING NATIONAL BANK","NEW YORK","New York","United States","N","",""
"889942","58839","TD AMERITRADE CLEARING, INC.","TD AMERITRADE CLEARING, INC.","BELLEVUE","Nebraska","United States","N","8-16335","5633"
"889942","50278","INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257","36418"
"889942","50278","CITIBANK, NA","CITIBANK, NA","STATEN ISLAND","New York","United States","N","",""
"889942","50278","STERLING NATIONAL BANK","STERLING NATIONAL BANK","NEW YORK","New York","United States","N","",""
"889942","54122","STERLING NATIONAL BANK","STERLING NATIONAL BANK","NEW YORK","New York","United States","N","",""
"889942","64554","STERLING NATIONAL BANK","STERLING NATIONAL BANK","NEW YORK","New York","United States","N","",""
"889942","64554","APEX CLEARING CORPORATION","APEX CLEARING CORPORATION","DALLAS","Texas","United States","N","8-23522","13071"
"889942","64554","INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257","36418"
"889942","64554","TD AMERITRADE CLEARING, INC.","TD AMERITRADE CLEARING, INC.","CHICAGO","Illinois","United States","N","8-16335","5633"
"889942","64554","CITIBANK, NA","1220 AVENUE J","BROOKLYN","New York","United States","N","",""
"889942","58839","INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257","36418"
"889942","54122","CITIBANK, NA","CITIBANK, NA","STATEN ISLAND","New York","United States","N","",""
"884743","45264","INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257","36418"
"884743","45264","BMO HARRIS BANK","BMO HARRIS BANK","CARY","Illinois","United States","N","",""
"879922","44626","WELLS FARGO, N.A.","WELLS FARGO, N.A.","SAN JOSE","California","United States","N","",""
"879922","58807","WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A.","SAN FRANCISCO","California","United States","N","",""
"879922","68627","WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A.","SAN FRANCISCO","California","United States","N","",""
"879922","68629","WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A.","SAN FRANCISCO","California","United States","N","",""
"879922","44629","WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A.","SAN JOSE","California","United States","N","",""
"891438","34469","THE ROYAL BANK OF SCOTLAND","THE ROYAL BANK OF SCOTLAND","LONDON","","United Kingdom","N","",""
"891438","34617","THE ROYAL BANK OF SCOTLAND","THE ROYAL BANK OF SCOTLAND","LONDON","","United Kingdom","N","",""
"891438","34573","THE ROYAL BANK OF SCOTLAND","THE ROYAL BANK OF SCOTLAND","LONDON","","United Kingdom","N","",""
"883675","26452","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26452","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26455","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26455","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26461","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26470","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26463","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26463","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26465","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26465","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26467","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26467","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26470","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26473","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26473","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","25687","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26591","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26591","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26517","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26547","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26547","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26513","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26513","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26517","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26564","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26564","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26582","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26582","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","8831","THE ROYAL BANK OF SCOTLAND PLC","ROYAL BANK OF SCOTLAND","LONDON","","United Kingdom","N","",""
"883675","8831","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","23524","THE ROYAL BANK OF SCOTLAND PLC","ROYAL BANK OF SCOTLAND","LONDON","","United Kingdom","N","",""
"883675","23524","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","25687","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26422","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26422","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26436","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26436","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26441","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26441","BANK OF AMERICA NA","BANK OF AMERCIA","NEW YORK","New York","United States","N","",""
"883675","26598","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26598","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26622","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26622","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26611","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26611","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26617","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
"883675","26617","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26615","BANK OF AMERICA NA","BANK OF AMERICA","NEW YORK","New York","United States","N","",""
"883675","26615","HSBC TRINKAUS & BURKHARDT AG","HSBC TRINKAUS & BURKHARDT","DUSSELDORF","","Germany","N","",""
