"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
"954147","167636","GUGGENHEIM REAL ESTATE","BOSTON,","Massachusetts","United States","N","Yes (provided to all investors)",""
"965773","68310","MAITLAND FUND SERVICES (BVI) LIMITED","TORTOLA","","British Virgin Islands","N","Yes (provided to all investors)",""
"965773","68108","NAV CONSULTING, INC.","OAK BROOK","Illinois","United States","N","Yes (provided to all investors)",""
"965773","68109","NAV CONSULTING, INC.","OAK BROOK","Illinois","United States","N","Yes (provided to all investors)",""
"964251","168598","SS&C TECHNOLOGIES INC.","WINDSOR","Connecticut","United States","N","Yes (provided to all investors)",""
"965638","168681","SS&C","NEW YORK","New York","United States","N","Yes (provided to all investors)",""
"965037","56267","MORGAN STANLEY FUND SERVICES","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"965037","47178","MORGAN STANLEY FUND SERVICES","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"965097","168526","R&H FUND SERVICES LIMITED","ST. HELIER","","Jersey","N","Yes (provided to all investors)",""
"965097","168522","R&H FUND SERVICES LIMITED","ST. HELIER","","Jersey","N","Yes (provided to all investors)",""
"965097","168524","R&H FUND SERVICES LIMITED","ST. HELIER","","Jersey","N","Yes (provided to all investors)",""
"965097","168527","R&H FUND SERVICES LIMITED","ST. HELIER","","Jersey","N","Yes (provided to all investors)",""
"965097","168496","R&H FUND SERVICES (JERSEY) LIMITED","ST. HELIER","","Jersey","N","Yes (provided to all investors)",""
"965097","168528","R&H FUND SERVICES LIMITED","ST. HELIER","","Jersey","N","Yes (provided to all investors)",""
"966134","65376","INTERCONTINENTAL FUND SERVICES LIMITED","EBENE","","Mauritius","N","Yes (provided to all investors)",""
"966134","64153","STATE STREET BANK LUXEMBOURG SA","LUXEMBOURG","","Luxembourg","N","Yes (provided to all investors)",""
"966134","64151","STATE STREET BANK LUXEMBOURG SA","LUXEMBOURG","","Luxembourg","N","Yes (provided to all investors)",""
"966134","64152","STATE STREET BANK LUXEMBOURG SA","LUXEMBOURG","","Luxembourg","N","Yes (provided to all investors)",""
"963003","58839","SWISS FINANCIAL SERVICES INC","NAPERSVILLE","Illinois","United States","N","Yes (provided to all investors)",""
"963003","50278","SWISS FINANCIAL SERVICES","NAPERVILLE","Illinois","United States","N","Yes (provided to all investors)",""
