"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
"948977","64763","33065","N","STRATTON CAPITAL MANAGEMENT, LTD.","8-52570","104122","NEW YORK CITY","New York","United States","N"
"948977","64763","33064","Y","CHEETAH INVESTMENT MANAGEMENT LIMITED","","161532","HONG KONG","","Hong kong","N"
"946229","167027","61278","N","ARROW CAPITAL MANAGEMENT (UK) LTD","","","ST PETER PORT","","Guernsey","N"
"949493","167269","61373","N","TANGENT CAPITAL PARTNERS, LLC","8-67885","146999","NEW YORK","New York","United States","N"
"945321","166942","61378","N","WEILD & CO.","8-66593","132398","NEW YORK","New York","United States","N"
"945321","166942","61379","N","SOURCE CAPITAL GROUP, INC.","801-88199","36719","WESTPORT","Connecticut","United States","N"
"949661","166942","61378","N","WEILD & CO.","8-66593","132398","NEW YORK","New York","United States","N"
"949661","166942","61379","N","SOURCE CAPITAL GROUP, INC.","801-88199","36719","WESTPORT","Connecticut","United States","N"
"949561","167272","61377","N","TOP CAPITAL ADVISORS, INC.","8-69234","166881","INGLEWOOD","California","United States","N"
"949561","167272","61376","N","DENNING & COMPANY LLC","8-53532","115971","SAN FRANCISCO","California","United States","N"
"946490","42336","21009","Y","BARCLAYS BANK PLC","","","LONDON","","United Kingdom","N"
"946490","42319","21002","Y","BARCLAYS BANK PLC","","","LONDON","","United Kingdom","N"
"946490","42301","20991","Y","BARCLAYS BANK PLC","","","LONDON","","United Kingdom","N"
"946490","42347","21011","Y","BARCLAYS BANK PLC","","","LONDON","","United Kingdom","N"
"946490","42259","20980","Y","BARCLAYS BANK PLC","","","LONDON","","United Kingdom","N"
"946490","42288","20981","Y","BARCLAYS BANK PLC","","","LONDON","","United Kingdom","N"
"945839","73928","40170","N","PARK HILL GROUP LLC","8-66958","135898","NEW YORK","New York","United States","N"
"945839","167031","61265","N","PARK HILL GROUP LLC","8-66958","135898","NEW YORK","New York","United States","N"
"942772","166959","61268","Y","ARES INVESTOR SERVICES LLC","8-69194","166219","LOS ANGELES","California","United States","N"
"949947","65827","35133","Y","DEUTSCHE BANK TRUST COMPANY AMERICAS","","","NEW YORK","New York","United States","N"
"949947","65827","33584","Y","DEUTCHE BANK AG, LONDON BRANCH","","","LONDON","","United Kingdom","N"
"949947","65827","33583","Y","DEUTSCHE BANK SECURITIES INC.","801-9638","2525","NEW YORK","New York","United States","N"
"949947","65815","33575","Y","DEUTSCHE BANK TRUST COMPANY AMERICAS","","","NEW YORK","New York","United States","N"
"949947","65815","33574","Y","DEUTCHE BANK AG, LONDON BRANCH","","","LONDON","","United Kingdom","N"
"949947","65815","33573","Y","DEUTSCHE BANK SECURITIES INC.","801-9638","2525","NEW YORK","New York","United States","N"
"949947","65805","33561","Y","DEUTSCHE BANK SECURITIES INC.","801-9638","2525","NEW YORK","New York","United States","N"
"949947","65805","33562","Y","DEUTCHE BANK AG, LONDON BRANCH","","","LONDON","","United Kingdom","N"
"950628","43357","21369","Y","MORGAN STANLEY","801-70103","149777","NEW YORK","New York","United States","N"
"950628","43359","21370","Y","MORGAN STANLEY","801-70103","149777","NEW YORK","New York","United States","N"
"939628","166352","61054","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"939628","166393","61053","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"939628","166392","61052","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"939628","166380","61051","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"939628","166379","61045","N","J.P. MORGAN PRIVATE INVESTMENTS INC.","801-41088","110186","NEW YORK","New York","United States","N"
"951271","16002","5729","Y","SAMENA CAPITAL","","","GRAND CAYMAN","","Cayman Islands","Y"
"951271","15995","5727","Y","SAMENA CAPITAL","","","GRAND CAYMAN","","Cayman Islands","Y"
"951876","74164","40357","N","CREDIT SUISSE SECURITIES (USA) LLC","801-56264","816","NEW YORK","New York","United States","N"
"951876","74071","40353","N","CREDIT SUISSE SECURITIES (USA) LLC","801-56264","816","NEW YORK","New York","United States","N"
"943523","167482","61433","N","GCA SAVVIAN ADVISORS, LLC","8-66065","127835","SAN FRANCISCO","California","United States","N"
"943523","167479","61432","N","MOELIS & COMPANY LLC","8-67705","145115","NEW YORK","New York","United States","N"
"943523","167479","61431","N","GCA SAVVIAN ADVISORS, LLC","8-66065","127835","SAN FRANCISCO","California","United States","N"
"943523","167482","61434","N","MOELIS & COMPANY LLC","8-67705","145115","NEW YORK","New York","United States","N"
"952762","162202","57980","N","ATLANTIC - PACIFIC CAPITAL, INC.","8-48198","38356","GREENWICH","Connecticut","United States","N"
"952762","162201","57979","N","ATLANTIC - PACIFIC CAPITAL, INC.","8-48198","38356","GREENWICH","Connecticut","United States","N"
"952306","167519","61436","N","REDE PARTNERS LLP","","","LONDON","","United Kingdom","N"
"952102","167473","61430","N","GROWTH CAPITAL SERVICES, INC.","","124658","LONDON","","United Kingdom","N"
"952996","73410","40343","N","FAP USA, L.P.","","","NEW YORK","New York","United States","N"
"952996","73410","40342","N","FIRST AVENUE PARTNERS LLP","","","LONDON","","United Kingdom","N"
"952996","73922","40341","N","FAP USA, L.P.","","","NEW YORK","New York","United States","N"
"952996","73922","40340","N","FIRST AVENUE PARTNERS LLP","","","LONDON","","United Kingdom","N"
"952996","73412","40339","N","FAP USA, L.P.","","","NEW YORK","New York","United States","N"
