"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1057901,"PRENTICE CONSUMER PARTNERS, LP",805-2095881324,14107,"Delaware","United States","N","Y","N","N","",,"N","","N","Private Equity Fund","",45124391,1000000,28,17,0,45,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",36,"N"
1057901,"PRENTICE CAPITAL LONG/SHORT EQUITY FUND, LP",805-4472777221,14101,"Delaware","United States","N","Y","N","N","",,"N","","N","Hedge Fund","",13768981,5000000,1,100,0,0,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"N"
1049395,"GSA GLOBAL MACRO PARTNERS I LP",805-5716721802,162287,"Delaware","United States","N","Y","N","N","",,"Y","N","N","Hedge Fund","",47518256,10000000,1,0,0,0,"N","N","N",0,"Y","Y","Y","Y","Yes","N","N","Y",100,"N"
1057691,"CROSSTIMBERS OPPORTUNITY FUND, LP",805-9912813388,179354,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",49100000,1000000,36,2,0,0,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","Y","Y",0,"N"
1057785,"VICTORI US FUND",805-2256461717,181059,"Delaware","United States","Y","N","N","Y","VICTORI MASTER FUND LTD",805-5401927705,"N","","N","Hedge Fund","",12000000,100000,20,10,100,90,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","Y",100,"N"
1052205,"RICHARDSONCAPITAL PRIVATE EQUAITY LIMITED PARTNERSHIP NO. 2C",805-1570044431,6480,"","Canada","Y","Y","N","N","",,"N","","N","Private Equity Fund","",10418513,10000000,40,50,0,94,"N","N","N",0,"Y","Y","N","Y","Yes","Y","Y","Y",0,"N"
1052205,"RFG PRIVATE EQUITY LIMITED PARTNERSHIP NO. 1A",805-2161608680,6468,"","Canada","Y","Y","N","N","",,"N","","N","Private Equity Fund","",57219762,10000000,34,30,0,72,"N","N","N",0,"Y","Y","N","Y","Yes","N","N","Y",0,"N"
1052205,"RFG PRIVATE EQUITY LIMITED PARTNERSHIP NO. 1C",805-5712547221,6472,"","Canada","Y","Y","N","N","",,"N","","N","Private Equity Fund","",6119169,10000000,34,30,0,72,"N","N","N",0,"Y","Y","N","Y","Yes","N","N","Y",0,"N"
1048467,"MOTUS FUND LTD.",805-7480955442,167426,"","Cayman Islands","Y","Y","N","N","",,"N","","N","Other Private Fund","PRIVATE INVESTMENT FUND PRIMARILY FOR INSTITUTIONS AND SOPHISTICATED HIGH NET WORTH INDIVIDUALS",48108906,25000000,2,1,0,0,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",100,"N"
1048467,"TOCCATA CAPITAL FUND",805-7371531498,54907,"","Cayman Islands","Y","N","N","N","",,"N","","N","Other Private Fund","PRIVATE INVESTMENT FUND PRIMARILY FOR INSTITUTIONS AND SOPHISTICATED HIGH NET WORTH INDIVIDUALS",37899754,500000,42,9,9,22,"N","N","N",0,"Y","Y","N","Y","Yes","N","Y","Y",100,"N"
1054527,"BULLSEYE MASTER I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS",805-5949016805,159011,"","Brazil","N","Y","N","N","",,"N","","N","Hedge Fund","",35441952,288875,1,0,0,0,"N","N","N",0,"N","N","N","N","","N","Y","Y",100,"N"
1032026,"EM BRAZIL TRADING 2 LLC",805-1385262143,178812,"Delaware","United States","N","Y","N","N","",,"N","","N","Hedge Fund","",21768892,0,4,0,0,50,"N","N","N",0,"N","Y","Y","Y","Report Not Yet Received","N","Y","Y",100,"N"
1043239,"GLOBAL HEALTH INVESTMENT FUND I",805-6632819903,179816,"Delaware","United States","Y","Y","Y","N","",,"N","","N","Private Equity Fund","",61860000,250000,30,0,13,42,"N","N","N",0,"Y","Y","Y","Y","Yes","N","N","Y",0,"N"
1045075,"GLASSWING VENTURES, L.P.",805-5323563020,178660,"Delaware","United States","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",10454545,0,8,1,72,0,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","Y","Y",0,"Y"
1043658,"OHIO INNOVATION FUND, LLC",805-7843259806,170565,"Delaware","United States","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",1992738,1000000,3,100,0,0,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","N","N",0,"N"
1044665,"MARITIME FINANCE HOLDINGS I LTD.",805-6056996903,179928,"","Bermuda","Y","Y","N","N","",,"N","","N","Private Equity Fund","",365380000,0,24,1,0,71,"N","N","N",0,"N","Y","Y","Y","Report Not Yet Received","N","Y","N",0,"N"
1058323,"PINEBRIDGE ASIA PARTNERS, L.P.",805-9243600766,13330,"","Cayman Islands","N","Y","N","N","",,"N","","N","Private Equity Fund","",204597,25000000,27,27,27,7,"Y","N","Y",4,"Y","Y","Y","Y","Yes","N","Y","Y",0,"N"
1058323,"PINEBRIDGE ASIA PARALLEL PARTNERS C.V.",805-9316887541,13337,"","Netherlands","N","Y","N","N","",,"N","","N","Private Equity Fund","",11819,25000000,2,40,40,60,"Y","N","Y",0,"Y","Y","Y","Y","Yes","N","Y","Y",0,"N"
1058323,"PINEBRIDGE AISA EX JAPAN EQUITY FUND",805-1783203463,61512,"","Ireland","N","Y","N","N","",,"N","","N","Other Private Fund","DUBLIN UCITS",244359691,0,87,0,0,100,"Y","N","Y",4,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
1058323,"PINEBRIDGE ASIA PARTNERS II, L.P.",805-4377993473,13317,"","Cayman Islands","N","Y","N","N","",,"N","","N","Private Equity Fund","",179492739,10000000,56,1,0,31,"Y","N","Y",9,"Y","Y","Y","Y","Yes","N","Y","Y",0,"N"
1058256,"OTTER CREEK PARTNERS I, LP",805-4290688692,24059,"Delaware","United States","N","Y","N","N","",,"N","","N","Hedge Fund","",30954912,1000000,27,22,10,0,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"N"
1058256,"OTTER CREEK INTERNATIONAL, LTD.",805-1685606143,24070,"","British Virgin Islands","Y","N","N","N","",,"N","","N","Hedge Fund","",9464713,1000000,3,100,0,0,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"N"
1058394,"TORQX CAPITAL PARTNERS FUND I COOPERATIEF U.A.",805-3322995941,178255,"","Netherlands","N","Y","N","N","",,"N","","N","Private Equity Fund","",168000000,1250000,23,13,76,61,"N","N","N",0,"N","Y","N","Y","Report Not Yet Received","N","N","Y",0,"N"
1058293,"ARTHA SEVEN MASTER FUND LTD.",805-5853334680,181095,"","Cayman Islands","Y","N","Y","N","",,"N","","N","Hedge Fund","",17000000,100000,1,100,0,0,"N","N","N",0,"Y","N","","","","Y","Y","Y",0,"N"
1052717,"TOWER HOUSE MASTER FUND",805-6883914811,180600,"","Cayman Islands","N","Y","Y","N","",,"N","","Y","Hedge Fund","",150000000,1000000,19,25,72,78,"N","N","N",0,"N","Y","N","Y","Yes","Y","Y","Y",100,"N"
1055736,"DUFF ACKERMAN & GOODRICH, L.P.",805-2330602259,46408,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",106087,0,98,1,0,0,"N","N","N",0,"Y","N","","N","No","N","N","N",0,"N"
1055736,"DAG GP FUND, LLC",805-4229438078,46402,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",21149,0,4,100,0,0,"N","N","N",0,"Y","N","","N","No","N","N","N",0,"N"
1055736,"DUFF ACKERMAN & GOODRICH CD FUND, L.P.",805-8481449431,46404,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",10978,0,2,1,0,0,"N","N","N",0,"Y","N","","N","No","N","N","N",0,"N"
