"FilingID","Name","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Phone","Fax","Type","Description"
1025283,"ARBOR FINANCIAL SYSTEMS","1-6 YARMOUTH PLACE","","LONDON","","United Kingdom","W1J7BU","N","+442030709650","","A third-party unaffiliated record keeper","PORTFOLIO AND TRADING RECORDS. ARBOR PROVIDES OUR PORTFOLIO MANAGEMENT SYSTEM AND ORDER MANAGEMENT SYSTEM."
1025283,"BNP PARIBAS FUND ADMINISTRATION SERVICES (IRELAND) LIMITED","TRINITY POINT","","DUBLIN 2","","Ireland","","N","+35316126400","","A third-party unaffiliated record keeper","BNP IS THE ADMINISTRATOR FOR THE PRIVATE FUND AND MAINTAINS THE ACCOUNTING AND FINANCIAL BOOKS AND RECORDS OF THE PRIVATE FUND."
1025283,"BNP PARIBAS FUND ADMINISTRATION SERVICES (CAYMAN) LIMITED","GRAND PAVILION COMMERCIAL CENTRE","PO BOX 2003, 802 WEST BAY ROAD","GEORGE TOWN","","Cayman Islands","KY1-1104","N","+345 814 7420","","A third-party unaffiliated record keeper","FUND ADMINISTRATION BOOKS AND RECORDS RELATING TO BOARD RECORDS AND OPERATING DOCUMENTATION."
1025283,"EDGE TECHNOLOGY SYSTEMS","TELECITY GROUP","8-9 HARBOUR EXCHANGE SQUARE","LONDON","","United Kingdom","E14 9GE","N","+442035357800","","A third-party unaffiliated record keeper","EDGE TECHNOLOGY SYSTEMS PROVIDES AND SUPPORTS OUR INFORMATION TECHNOLOGY SYSTEMS, INCLUDING ELECTRONIC STORAGE AND BACKUP OF ALL BOOKS AND RECORDS."
1030711,"BRIDGEVIEW CFO SOLUTIONS","ONE FERRY BUILDING","SUITE 255","SAN FRANCISCO","CA","United States","94111","N","415-677-5350","","A third-party unaffiliated record keeper","ALL ADVISORY BOOKS AND RECORDS."
1030711,"CONIFER FINANCIAL SERVICES","ONE FERRY BUILDING","SUITE 255","SAN FRANCISCO","CA","United States","94111","N","415-677-1500","","A third-party unaffiliated record keeper","FUND ADMINISTRATION RECORDS."
1030399,"QUINTILLION LIMITED","24 - 26 CITY QUAY","","DUBLIN","","Ireland","2","N","+35315238000","+35315238300","A third-party unaffiliated record keeper","FUND INVESTOR DOCUMENTATION AND FUND VALUATION RECORDS."
1022648,"HACKWOOD SECRETARIES LIMITED","ONE SILK STREET","","LONDON","","United Kingdom","EC2Y 8HQ","N","44 02074562000","","A third-party unaffiliated record keeper","STATUTORY BOOKS."
1031416,"IRON MOUNTAIN","NORMAN ROAD","PICKARDY MANOR WAY","BELVEDERE, KENT","","United Kingdom","DA17 6JY","N","+44800270270","","A third-party unaffiliated record keeper","CERTAIN BOOKS & RECORDS AS REQUIRED UNDER RULE 204-2 OF THE ADVISERS ACT."
1029411,"CITCO FUND SERVICES (IRELAND) LIMITED","CUSTOM HOUSE PLAZA BLOCK 6","INTERNATIONAL FINANCIAL SERVICES CENTRE","DUBLIN","","Ireland","","N","353214836675","","A third-party unaffiliated record keeper","THE BOOKS AND RECORDS KEPT BY CITCO FUND SERVICES CONSIST OF THOSE RECORDS TYPICALLY KEPT BY A FUND ADMINISTRATOR INCLUDING, BUT NOT LIMITED TO, CORPORATE AND FINANCIAL RECORDS, INVESTOR RELATIONSHIP RECORDS AND FUND PORTFOLIO MANAGEMENT RECORDS."
1028812,"IRON MOUNTAIN","NORMAN ROAD","","BELVEDERE","","United Kingdom","DA176JY","N","440800270270","","A third-party unaffiliated record keeper","ARCHIVED BUSINESS RECORDS"
1029609,"TRIDENT FUND SERVICES, INC.","3060 PEACHTREE ROAD, NW","SUITE 1415","ATLANTA","GA","United States","30305","N","404-920-0226Q","","A third-party unaffiliated record keeper","BOOKS AND RECORDS RELATED TO PRIVATE FUND'S OPERATIONS."
1035021,"ABERDEEN ASSET MANAGEMENT PLC","10 QUEENS TERRACE","","ABERDEEN","","United Kingdom","AB10 1YG","N","441224631999","","One of your branch offices or affiliates","PARENT COMPANY AND MAY MAINTAIN SOME BOOKS AND RECORDS FOR THE REGISTRANT"
1035021,"ABERDEEN ASSET MANAGEMENT PLC","BOW BELLS HOUSE","1 BREAD STREET","LONDON","","United Kingdom","EC4M 9HH","N","442074636000","","One of your branch offices or affiliates","PARENT COMPANY AND MAY MAINTAIN SOME BOOKS AND RECORDS FOR THE REGISTRANT"
1035021,"IRON MOUNTAIN","2500 HENDERSON DRIVE","","SHARON HILL","PA","United States","19079","N","215-633-0525","","A third-party unaffiliated record keeper","PRIMARY ARCHIVING SERVICE FOR THE REGISTRANT"
