"FilingID","Full Legal Name","CIK Number"
"611309","WILMINGTON SAVINGS FUND SOCIETY, FSB AS TRUSTEE","828944"
"610883","BROOKFIELD ASSET  MANAGEMENT (A)","1001085"
"614970","INVESCO LTD.","914208"
"620041","KBW, INC.","1063494"
"627143","BROOKFIELD ASSET  MANAGEMENT (A)","1001085"
"620245","MUNICIPAL MORTGAGE & EQUITY, LLC","1003201"
"613777","SWISS REINSURANCE COMPANY LIMITED","315043"
"618905","BANK OF AMERICA CORPORATION","1085917"
"628266","MVC CAPITAL, INC.","1099941"
"619818","HSBC HOLDINGS PLC","1089113"
"606844","JONES LANG LASALLE INCORPORATED","1037956"
"629993","CREDIT SUISSE GROUP AG","1159510"
"621816","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"619815","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"621830","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"621213","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"621826","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"621191","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"620506","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"621210","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"618072","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"619809","CITIC PACIFIC LIMITED","267"
"619809","CHINA CITIC BANK CORPORATION LIMITED","998"
"613359","FEDERATED INVESTORS, INC.","1056288"
"625247","LLOYDS TSB BANK PLC","1167831"
"629391","VIRGINIA NATIONAL BANK","23616"
"619886","HSBC BANK PLC","1140465"
"626324","EDELMAN FINANCIAL GROUP INC.","1071341"
"626680","THE EDELMAN FINANCIAL GROUP INC.","1071341"
"626747","THE EDELMAN FINANCIAL GROUP INC.","1071341"
"604867","SAFEGUARD SCIENTIFCS, INC.","86115"
"626863","GLEACHER & COMPANY, INC.","782842"
"622828","ING GROEP, N.V.","903847"
"617154","STIFEL FINANCIAL CORP","720672"
"611635","AFFILIATED MANAGERS GROUP, INC.","1004434"
"635447","INVESCO LTD.","914208"
"635481","HSBC HOLDINGS PLC","1089113"
"623007","HSBC HOLDINGS PLC","1089113"
"628543","INSTITUTIONAL FINANCIAL MARKETS, INC.","1270436"
"631024","CBRE GROUP, INC.","1138118"
"631034","CBRE GROUP, INC.","1138118"
"627187","THE EDELMAN FINANCIAL GROUP INC.","107341"
"631036","CBRE GROUP, INC.","1138118"
"619821","CREDIT SUISSE GROUP AG","1159510"
"619821","GENERAL ELECTRIC COMPANY","40545"
"631030","CBRE GROUP, INC","1138118"
"624942","LEHMAN BROTHERS HOLDINGS INC","806085"
"628270","THE ROYAL BANK OF SCOTLAND GROUP","844150"
"623079","DEUTSCHE BANK AG","948046"
"606779","CREDIT SUISSE GROUP AG","1159510"
"622047","DEUTSCHE BANK AG","948046"
"623077","DEUTSCHE BANK AG","948046"
"621719","D.A. DAVIDSON & CO.","27182"
"623848","BLACKROCK, INC.","1364742"
"618293","PRINCIPAL FINANCIAL GROUP INC","1126328"
"623849","BLACKROCK, INC.","1364742"
"634405","JPMORGAN CHASE & CO.","19517"
"609835","NATIONAL WESTMINSTER BANK PLC","702162"
"609835","THE ROYAL BANK OF SCOTLAND GROUP","844150"
"627888","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"620584","JPMORGAN CHASE & CO.","19617"
"627795","BLACKROCK, INC.","1364742"
"631116","BARCLAYS PLC","312069"
"633317","BARCLAYS PLC","312069"
"633595","ORIX CORPORATION","1070304"
"634288","CITIGROUP INC.","831001"
"634288","MORGAN STANLEY","895421"
"633626","EVERCORE PARTNERS INC.","1360901"
"618745","RESOURCE AMERICA, INC.","83402"
"627150","THE EDELMAN FINANCIAL GROUP INC.","1071341"
"630044","THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND","1191638"
"634341","UBS AG","1114446"
"639800","CBRE GROUP, INC","1138118"
"641396","WILMINGTON SAVINGS FUND SOCIETY, FSB AS TRUSTEE","828944"
"643111","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"643112","CITIC PACIFIC LIMITED","267"
"643112","CHINA CITIC BANK CORPORATION LIMITED","998"
"644562","UBS AG","1114446"
"644868","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"644869","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"644870","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"644872","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"643114","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"644874","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"644875","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"644876","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"644888","UBS AG","1114446"
"646012","RESOURCE AMERICA, INC.","83402"
"646145","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"646150","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"645812","STIFEL FINANCIAL CORP","720672"
"645560","FEDERATED INVESTORS, INC.","1056288"
"646560","KBW, INC.","1063494"
"648292","JPMORGAN CHASE & CO.","19617"
"639622","EVERCORE PARTNERS INC.","1360901"
"648918","DEUTSCHE BANK AG","948046"
"651127","DEUTSCHE BANK AG","948046"
"651130","DEUTSCHE BANK AG","948046"
"651133","DEUTSCHE BANK AG","948046"
"653787","FEDERATED INVESTORS, INC.","1056288"
"654280","THE CARLYLE GROUP, L.P.","1527166"
"639923","BARCLAYS PLC","312069"
"658378","AFFILIATED MANAGERS GROUP, INC.","1004434"
"658643","KBW, INC.","1063494"
"658275","DEUTSCHE BANK AG","948046"
"658297","DEUTSCHE BANK AG","948046"
"658298","DEUTSCHE BANK AG","948046"
"659334","LEHMAN BROTHERS HOLDINGS INC","806085"
"659277","BLACKROCK, INC.","1364742"
"659276","BLACKROCK, INC.","1364742"
"659063","BLACKROCK, INC.","1364742"
"659224","XL GROUP PLC","875159"
"651457","HSBC HOLDINGS PLC","1089113"
"660571","BLACKROCK, INC.","1364742"
"658687","PRINCIPAL FINANCIAL GROUP INC","1126328"
"662591","HSBC HOLDINGS PLC","1089113"
"663342","CBRE GROUP, INC","1138118"
"663506","CBRE GROUP, INC","1138118"
"663510","CBRE GROUP, INC","1138118"
"658292","LLOYDS TSB BANK PLC","1167831"
"665140","BLACKROCK, INC.","1364742"
"665198","BLACKROCK, INC.","1364742"
"665189","BLACKROCK, INC.","1364742"
"665674","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"666319","JPMORGAN CHASE & CO.","19617"
"666444","JPMORGAN CHASE & CO.","19617"
"666800","CBRE GROUP, INC.","1138118"
"668133","CREDIT SUISSE GROUP AG","1159510"
"668742","BLACKROCK, INC.","1364742"
"668788","BLACKROCK, INC.","1364742"
"669160","BLACKROCK, INC.","1364742"
"669169","BLACKROCK, INC.","1364742"
"666080","HSBC HOLDINGS PLC","1089113"
"670805","BROOKFIELD ASSET MANAGEMENT INC.","1001085"
"667506","GABELLI SECURITIES, INC","932724"
"674866","HSBC HOLDINGS PLC","1089113"
"673668","BLACKROCK, INC.","1364742"
"675064","STIFEL FINANCIAL CORP","720672"
"672875","BLACKROCK, INC.","1364742"
"676506","THE EDELMAN FINANCIAL GROUP INC.","1071341"
"676516","THE EDELMAN FINANCIAL GROUP INC.","107341"
"676525","EDELMAN FINANCIAL GROUP INC.","1071341"
"674682","CREDIT SUISSE GROUP AG","1159510"
"676532","THE EDELMAN FINANCIAL GROUP INC.","1071341"
"676793","THE EDELMAN FINANCIAL GROUP INC.","1071341"
"677785","JPMORGAN CHASE & CO.","19617"
"678605","LLOYDS TSB BANK PLC","1167831"
"678865","PRUDENTIAL PLC","1116578"
"680383","ING GROEP, N.V.","903847"
"680666","UBS AG","1114446"
"681448","HSBC HOLDINGS PLC","1089113"
"682287","JONES LANG LASALLE INCORPORATED","1037956"
"683689","INVESCO LTD.","914208"
"684110","HSBC HOLDINGS PLC","1089113"
"688847","LLOYDS TSB BANK PLC","1167831"
"690181","CREDIT SUISSE GROUP AG","1159510"
"682868","BROOKFIELD ASSET  MANAGEMENT (A)","1001085"
"692194","RESOURCE AMERICA, INC.","83402"
"689934","VALIDUS HOLDINGS, LTD.","1348259"
"696953","ORIX CORPORATION","1070304"
"698266","ORIX CORPORATION","1070304"
"697092","BROOKFIELD ASSET MANAGEMENT INC.","1001085"
"702061","NOMURA HOLDINGS, INC.","1163653"
"696906","BLACKROCK, INC.","1364742"
"704832","KBW, INC.","1063494"
