"FilingID","Other Business Name","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","GU","HI","ID","IL","IN_","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR_","PA","PR","RI","SC","SD","TN","TX","UT","VT","VI","VA","WA","WV","WI","OTHER"
"628200","EPLANET CAPITAL LIMITED (RELYING ADVISOR)","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"628200","EPLANET ADVISORS PRIVATE LIMITED (RELYING ADVISOR)","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"628200","EPLANET CAPITAL ADVISORS US, INC (RELYING ADVISOR)","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"628200","EPLANET VENTURES INVESTMENT GROUP (HK) LTD (RELYING ADVISOR)","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"662700","SOFTBANK CAPITAL","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"662700","SB CHINA & INDIA HOLDINGS LIMITED","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669700","BATTERY VENTURES","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"672600","TCG","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"714600","DRAPER FISHER JURVETSON EPLANET ADVISORS, LLC (RELYING ADVISOR)","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"715600","VIRGIN GREEN FUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"722600","OAKWOOD MEDICAL INVESTORS","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"722600","OAKWOOD MEDICAL MANAGEMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"764000","AQUA CAPITAL CONSULTORIA LTDA.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BRAZIL"
"784100","LMP GP, LLC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
"784100","LMP GP II, LLC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
"784100","LMP TR HOLDINGS, LLC","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"784100","LMP TR REAL ESTATE, LLC","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"789500","LUX CAPITAL","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"795200","IA VENTURES PARTNERS, LLC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"795200","IA VENTURES PARTNERS II, LLC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"802900","ALTA PARTNERS","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"809900","RED KITE INVESTMENTS L.P. (""RELYING ADVISER"" OR ""SPECIAL PURPOSE ENTITY""","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"809900","RK CAPITAL MANAGEMENT LLP (""RELYING ADVISER"" OR ""SPECIAL PURPOSE ENTITLY""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UNITED KINGDOM"
"809900","RED KITE AUSTRALIA PTY LTD. (""RELYING ADVISER"" OR ""SPECIAL PURPOSE ENTITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AUSTRALIA"
"816900","TCG","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"816900","TCG II","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"822400","FOCUS VENTURES","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"823700","MANASLU PARTNERS LTD. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"823700","SONORA PARTNERS, LTD. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"823700","SONORA PARTNERS II, LTD. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"823700","MANASLU PARTNERS II, LTD. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"823700","SHEPHERDS HILL PARTNERS, LTD. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"823700","SHEPHERDS HILL PARTNERS II, LTD. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"831400","SOFTBANK CAPITAL","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"831400","SB CHINA & INDIA HOLDINGS LIMITED","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"886300","MESA VERDE MANAGEMENT COMPANY II, LLC","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"594513","COLUMBIA CAPITAL V, LLC (RELYING ADVISER)","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","",""
"594513","COLUMBIA CAPITAL IV, LLC (RELYING ADVISER)","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","",""
"594513","COLUMBIA CAPITAL III, LLC (RELYING ADVISER)","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","",""
"598383","BIOADVANCE GP I, L.P. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
"598383","QUAKER BIOVENTURES CAPITAL, L.P. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
"598383","QUAKER BIOVENTURES CAPITAL II, L.P. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
"599465","USVP","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",""
"601299","MURPHREE AND COMPANY, INC. D/B/A MURPHREE VENTURE PARTNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","",""
"604440","GEFINOR VENTURES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
"605314","COMVENTURES","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605314","COMMUNICATIONS VENTURES","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"606779","HIQUE, INC.","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"606779","GRP MANAGEMENT SERVICES CORP.","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"607093","PROSPECT VENTURES","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
