"FilingID","Primary Business","Business Name"
"611605","AULDBRASS PARTNERS, LP PROVIDES PORTFOLIO MONITORING SERVICES. SUCH SERVICES ARE ADMINISTRATIVE AND INCLUDE ATTENDING MEETINGS AND CATEGORIZING INFORMATION WITH RESPECT TO INVESTMENTS IN THE CLIENT'S PORTFOLIO.",""
"612497","PORTFOLIO MANAGER AND REGISTERED REPRESENTATIVE OF NEUBERGER BERMAN LLC",""
"619916","VENTURE CAPITAL",""
"614405","SOFTTECH VC IS AN EARLY STAGE VENTURE CAPITAL FIRM MANAGING SEED STAGE FUNDS, SOFTTECH VC II AND SOFTTECH VC III. OUR FUNDS ARE BACKED BY A MIX OF INSTITUTIONAL AND PRIVATE INVESTORS.",""
"621374","SERVICING COMMERCIAL REAL ESTATE LOANS  LICENSED MORTGAGE LENDER LICENSED LOAN SERVICER","DCR LOAN SERVICING, LLC"
"622593","MANAGEMENT OF PRIVATE EQUITY FUNDS",""
"623858","MANAGER VENTURE CAPITAL FUND",""
"626216","STELAC CAPITAL PARTNERS IS A PRIVATE EQUITY INVESTMENT FIRM FOCUSED PRIMARILY ON SMALL COMPANIES IN THE UNITED STATES. WE PROVIDE GROWTH CAPITAL TO SMALL BUSINESSES. OVER 98% OF OUR ASSETS COME FROM OUTSIDE OF THE UNITED STATES.",""
"626007","VENTURE CAPITAL INVESTING",""
"629014","WE IDENTIFY AND ADMINISTER DEB FINANCING TO VENTURE BACKED COMPANIES",""
"629003","MANAGEMENT AND ADMINISTRATIVE SERVICES TO PRIVATE FUNDS THAT PROVIDE DEBT FINANCING TO VENTURE BACKED COMPANIES.",""
"624954","MANAGEMENT OF VENTURE CAPITAL FUNDS.",""
"631252","ABERDEEN GLOBAL SERVICES SA (AGS) PRIMARY BUSINESS IS COLLECTIVE PORTFOLIO MANAGEMENT OF UCITS FUNDS: THIS INCLUDES UCITS MARKETING AND DISTRIBUTION AND TRANSFER AGENCY SERVICES.",""
"613359","MANAGER OF IRELAND COLLECTIVE INVESTMENT SCHEMES (SPONSOR OF POOLED INVESTMENT VEHICLES)",""
"621878","VENTURE CAPITAL INVESTMENT MANAGER",""
"627451","CONTEXT CAPITAL PARTNERS IS A PRIVATELY-HELD BUSINESS THAT PRIMARILY INVESTS ITS PARTNERS' CAPITAL IN OTHER PRIVATE COMPANIES, REAL ESTATE ASSETS OR OTHER ALTERNATIVE ASSET CLASSES INCLUDING PRIVATE EQUITY AND HEDGE FUNDS.",""
"634705","INVESTING IN REAL ESTATE AND MANAGING REAL ESTATE",""
"602633","REGULATORY HOSTING SERVICES",""
"634439","SERVE AS THE GENERAL PARTNER OF PRIVATE EQUITY INVESTMENT FUNDS FORMED IN JAPAN",""
"628214","RESEARCH SERVICES.",""
"629005","PROVISION OF DIRECTORS, STRATEGIC PLANNING SERVICES AND CONSULTING SERVICES RELATING TO CAPITAL EXPENDITURE, FINANCINGS AND REFINANCINGS.",""
"633371","MANAGEMENT OF PRIVATE EQUITY FUND AND PORTFOLIO COMPANIES",""
"631476","PROVIDE SUPPORT SERVICES TO TECHNOLOGY COMPANIES IN WHICH THE PRIVATE FUND INVESTS.",""
"629240","TO PROVIDE NON-INVESTMENT ADVISORY TYPE CONSULTING SERVICES TO VARIOUS PRIVATE COMPANIES.",""
"613837","MANAGEMENT SERVICES PROVIDED TO STEEL PARTNERS HOLDINGS L.P.",""
"629803","EXPLORATION, ADMINISTRATION AND MAINTENANCE OF OIL AND GAS PROPERTIES",""
"634098","PRIVATE EQUITY ADVISORS",""
"627877","MAP FOCUSES PRIMARILY ON THE ACQUISITION AND MANAGEMENT OF NATURAL GAS ROYALTY INTERESTS IN THE ONSHORE UNITED STATES, AS WELL AS RENEWABLE ENERGY ROYALTY INTERESTS PRIMARILY ASSOCIATED WITH US WIND POWER PROJECTS.",""
"631388","REAL ESTATE FUND AND INVESTMENT MANAGEMENT",""
"622654","THE FIRM INVESTS INTO DYNAMIC, GROWTH COMPANIES IN THE UK LOWER-TO-MID MARKET IN COMPANIES VALUED FROM £10M TO £75M IN A VARIETY OF SITUATIONS INCLUDING, INTER ALIA, MINORITY INVESTMENTS, MANAGEMENT BUYOUTS / BUY-INS, DEVELOPMENT AND REPLACEMENT CAPITAL.",""
"635630","PROVISION OF TECHNICAL SERVICES",""
"634060","PRIVATE EQUITY ADVISORY",""
"633329","GENERAL PARTNER TO A VENTURE CAPITAL FUND",""
"634885","PLACEMENT AGENT",""
