"FilingID","Other Products and Services","Business Name"
"611605","AULDBRASS PARTNERS, LP PROVIDES PORTFOLIO MONITORING SERVICES. SUCH SERVICES ARE ADMINISTRATIVE AND INCLUDE ATTENDING MEETINGS AND CATEGORIZING INFORMATION WITH RESPECT TO INVESTMENTS IN THE CLIENT'S PORTFOLIO.",""
"608408","OUR CLIENTS ARE PRIVATE FUNDS AND IN ADDITION TO PROVIDING THEM WITH INVESTMENT ADVICE, WE PROVIDE BOOKKEEPING, ACCOUNTING AND GENERAL ADMINISTRATION SERVICES TO THEM.",""
"597512","BROAD MANAGEMENT, ADMINISTRATION AND DISTRIBUTION SERVICES TO A NUMBER OF PRIVATE FUND CLIENTS ALTHOUGH THE MAJORITY OF SUCH SERVICES ARE OUTSOURCED TO OTHER ENTITIES.",""
"621374","SERVICING COMMERCIAL REAL ESTATE LOANS MANAGING FORECLOSED REAL ESTATE ADMINISTRATIVE SUPPORT SERVICES (ACCOUNTING, REPORTING, MANAGING DAY TO DAY OPERATIONS OF PRIVATE FUND CLIENTS)","DCR LOAN SERVICING, LLC"
"625974","REPORTING AND ADMINISTRATIVE SERVICES",""
"614510","GROWTH CAPITAL- PROVIDE EQUITY AND/OR MEZZANINE CAPITAL FOR LOWER-MIDDLE MARKET COMPANIES. STRATEGIC ADVISORS- PROVIDE WIDE RANGE OF ACCOUNTING AND CORPORATE FINANCE CONSULTING. REAL ESTATE- OFFER COMPREHENSIVE REAL ESTATE SERVICES.",""
"618905","MERRILL LYNCH INTERNATIONAL (""MLI"") ACTS AS DISTRIBUTOR OF THE FUNDS IT ADVISES.  IN THAT CONNECTION, IT IDENTIFIES AND REFERS POTENTIAL INVESTORS TO PURCHASE SHARES OF THOSE FUNDS. MLI MAY ALSO ENTER INTO FINANCIAL DERIVATIVES CONTRACTS WITH THOSE FUNDS.",""
"631252","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
"624436","LLOYDS TSB BANK PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO CANCARA AND ARGENTO THE PRIVATE FUNDS DESCRIBED IN SECTION 7B(1)",""
"613359","SAME AS 6.B.(2)",""
"625247","'BANK OF SCOTLAND PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO GRAMPIAN'THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"605736","ORBIS ASSET MANAGEMENT LIMITED SERVES AS GENERAL PARTNER OF FOUR POOLED INVESTMENT VEHICLES THAT ARE ITS ADVISORY CLIENTS.",""
"632035","COMMODITY BROKERAGE","GLOBAL MARKETS LLC"
"627610","THE COMPANY ALSO PROVIDES FUND ADMINISTRATION SERVICES TO THE FUNDS IT ADVISES AND TO PRIVATE FUNDS ADVISED BY SCOTTISH WIDOWS INVESTMENT PARTNERSHIP (SWIP).  THESE PRIVATE FUNDS ARE REPORTED ON THE ADV 1 OF SWIP.",""
