"FilingID","ReferenceID","Foreign Regulatory Authority"
"604188","106213","Cayman Islands - Cayman Islands Stock Exchange Authority"
"605790","105003","United Kingdom - Financial Services Authority"
"592012","101556","Mauritius, Republic of - Financial Services Commission"
"592308","101642","United Kingdom - Financial Services Authority"
"592308","101643","United Kingdom - Financial Services Authority"
"592308","101644","United Kingdom - Financial Services Authority"
"605921","105075","Hong Kong - Securities and Futures Commission"
"605921","105084","Singapore - Monetary Authority of Singapore"
"605921","105091","United Kingdom - Financial Services Authority"
"605921","105098","Guernsey - Guernsey Financial Services Commission"
"605921","105101","Guernsey - Guernsey Financial Services Commission"
"605921","105107","Guernsey - Guernsey Financial Services Commission"
"605921","105108","Guernsey - Guernsey Financial Services Commission"
"605921","105110","Guernsey - Guernsey Financial Services Commission"
"605921","105113","Guernsey - Guernsey Financial Services Commission"
"607899","106221","Hong Kong - Securities and Futures Commission"
"607899","106222","Singapore - Monetary Authority of Singapore"
"607899","106228","Guernsey - Guernsey Financial Services Commission"
"607899","106229","Guernsey - Guernsey Financial Services Commission"
"607899","106230","Guernsey - Guernsey Financial Services Commission"
"607899","106231","Guernsey - Guernsey Financial Services Commission"
"607899","106232","Guernsey - Guernsey Financial Services Commission"
"607899","106233","Guernsey - Guernsey Financial Services Commission"
"608454","106602","Singapore - Monetary Authority of Singapore"
"608454","106608","United Kingdom - Financial Services Authority"
"608454","106613","Guernsey - Guernsey Financial Services Commission"
"608454","106614","Guernsey - Guernsey Financial Services Commission"
"608454","106615","Guernsey - Guernsey Financial Services Commission"
"608454","106616","Guernsey - Guernsey Financial Services Commission"
"608454","106618","Guernsey - Guernsey Financial Services Commission"
"608454","106622","Guernsey - Guernsey Financial Services Commission"
"608023","106328","Guernsey - Guernsey Financial Services Commission"
"608023","106329","Guernsey - Guernsey Financial Services Commission"
"608023","106331","Guernsey - Guernsey Financial Services Commission"
"608023","106313","Hong Kong - Securities and Futures Commission"
"608023","106314","Singapore - Monetary Authority of Singapore"
"608023","106318","United Kingdom - Financial Services Authority"
"608023","106333","Guernsey - Guernsey Financial Services Commission"
"608023","106334","Guernsey - Guernsey Financial Services Commission"
