"FilingID","ReferenceID","Name of Adviser","SEC File Number","CRD Number"
"600005","3817","EIM MANAGEMENT (USA) INC.","",""
"607953","8670","COGNETAS SRL","",""
"608958","8854","EQT PARTNERS GMBH","","160722"
"608958","8854","EQT PARTNERS AS","","160718"
"608958","8854","EQT PARTNERS A/S","","160719"
"608958","8854","EQT PARTNERS OY","","160720"
"608958","8854","EQT PARTNERS AB","","160716"
"608958","8848","EQT PARTNERS GMBH","","160722"
"608958","8848","EQT PARTNERS AS","","160718"
"608958","8848","EQT PARTNERS A/S","","160719"
"608958","8848","EQT PARTNERS OY","","160720"
"608958","8848","EQT PARTNERS AB","","160716"
"608958","8844","EQT PARTNERS GMBH","","160722"
"608958","8844","EQT PARTNERS AS","","160718"
"608958","8844","EQT PARTNERS A/S","","160719"
"608958","8844","EQT PARTNERS OY","","160720"
"608958","8844","EQT PARTNERS AB","","160716"
"608958","8839","EQT PARTNERS GMBH","","160722"
"608958","8839","EQT PARTNERS AS","","160718"
"608958","8839","EQT PARTNERS A/S","","160719"
"608958","8839","EQT PARTNERS OY","","160720"
"608958","8839","EQT PARTNERS AB","","160716"
"608958","8827","EQT PARTNERS GMBH","","160722"
"608958","8827","EQT PARTNERS AS","","160718"
"608958","8827","EQT PARTNERS A/S","","160719"
"608958","8827","EQT PARTNERS OY","","160720"
"608958","8827","EQT PARTNERS AB","","160716"
"608958","8816","EQT PARTNERS GMBH","","160722"
"608958","8816","EQT PARTNERS AS","","160718"
"608958","8816","EQT PARTNERS A/S","","160719"
"608958","8816","EQT PARTNERS OY","","160720"
"608958","8816","EQT PARTNERS AB","","160716"
"608958","8812","EQT PARTNERS GMBH","","160722"
"608958","8812","EQT PARTNERS AS","","160718"
"608958","8812","EQT PARTNERS A/S","","160719"
"608958","8812","EQT PARTNERS OY","","160720"
"608958","8812","EQT PARTNERS AB","","160716"
"608608","8733","EQT PARTNERS GMBH","","160722"
"608608","8733","EQT PARTNERS AS","","160718"
"608608","8733","EQT PARTNERS A/S","","160719"
"608608","8733","EQT PARTNERS OY","","160720"
"608608","8733","EQT PARTNERS AB","","160716"
"608608","8732","EQT PARTNERS GMBH","","160722"
