"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
"590860","1380","SS&C TECHNOLOGIES, INC.","WINDSOR","Connecticut","UNITED STATES","N","Yes (provided to all investors)",""
"592835","1863","LACROSSE GLOBAL FUND SERVICES LLC","DELAWARE","Delaware","UNITED STATES","N","Yes (provided to all investors)",""
"600005","3817","DAIWA EUROPE FUND MANAGERS IRELAND LIMITED","DUBLIN","","IRELAND ","Y","Yes (provided to all investors)",""
"594996","2285","CITCO FUND SERVICES (CAYMAN ISLAND) LTD","GRAND CAYMAN","","CAYMAN ISLANDS","N","Yes (provided to all investors)",""
"599612","4128","GLOBEOP FINANCIAL SERVICES (CAYMAN) LIMITED","CAMANA BAY","","CAYMAN ISLANDS","N","Yes (provided to all investors)",""
"606928","7173","MILESTONE MANAGEMENT SERVICES, LLC","NEW YORK","New York","UNITED STATES","N","Yes (provided to all investors)",""
"606928","7198","MILESTONE MANAGEMENT SERVICES LLC","NEW YORK","New York","UNITED STATES","N","Yes (provided to all investors)",""
"601030","4393","CITI PRIVATE EQUITY SERVICES, INC.","NEW YORK","New York","UNITED STATES","N","Yes (provided to all investors)",""
"601030","4415","CITI PRIVATE EQUITY SERVICES, INC.","NEW YORK","New York","UNITED STATES","N","Yes (provided to all investors)",""
"601030","4416","CITI PRIVATE EQUITY SERVICES, INC.","NEW YORK","New York","UNITED STATES","N","Yes (provided to all investors)",""
"601030","4420","CITI PRIVATE EQUITY SERVICES, INC.","NEW YORK","New York","UNITED STATES","N","Yes (provided to all investors)",""
"595962","2450","PHOENIX FINANCIAL SERVICES LIMITED","DUBLIN","","IRELAND ","N","Yes (provided to all investors)",""
"595962","4300","PHOENIX FINANCIAL SERVICES LIMITED","DUBLIN","","IRELAND ","N","Yes (provided to all investors)",""
"595962","4914","PHOENIX FINANCIAL SERVICES LIMITED","DUBLIN","","IRELAND ","N","Yes (provided to all investors)",""
"595962","7879","CITCO FUND SERVICES (CURACAO) B.V.","WILLEMSTAD","","OTHER","N","Yes (provided to all investors)",""
"604188","5624","KAUFMAN ROSSIN FUND SERVICES","MIAMI","Florida","UNITED STATES","N","Yes (provided to all investors)",""
"604188","5634","KAUFMAN ROSSIN FUND SERVICES","MIAMI","Florida","UNITED STATES","N","Yes (provided to all investors)",""
"604188","5646","KAUFMAN ROSSIN FUND SERVICES","MIAMI","Florida","UNITED STATES","N","Yes (provided to all investors)",""
