"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
"605921","EQT VI (NO.1) LIMITED PARTNERSHIP","805-7254159782","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"605921","EQT VI (NO.2) LIMITED PARTNERSHIP","805-4420470903","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"605921","EQT VI EXECUTIVE CO-INVESTMENT LIMITED PARTNERSHIP","805-2876598364","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"605921","EQT INFRASTRUCTURE (NO.2) LIMITED PARTNERSHIP","805-3174792308","EQT INFRASTRUCTURE (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT INFRASTRUCTURE LIMITED)","-","N"
"605921","EQT III UK NO.1 LIMITED PARTNERSHIP","805-3277306983","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"605921","EQT III UK NO. 2 LIMITED PARTNERSHIP","805-4825002727","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"605921","EQT III UK NO. 6 LIMITED PARTNERSHIP","805-2992472036","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"605921","EQT III UK NO. 7 LIMITED PARTNERSHIP","805-6735444070","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"605921","EQT III US NO. 1 LIMITED PARTNERSHIP","805-8313990642","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"605921","EQT III US NO. 2 LIMITED PARTNERSHIP","805-9567172313","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"605921","EQT III US NO. 3 LIMITED PARTNERSHIP","805-7213990041","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"605921","EQT KNIGHTRIDER CO-INVESTMENT LIMITED PARTNERSHIP","805-7755651810","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"605921","EQT V (NO.1) LIMITED PARTNERSHIP","805-5940460051","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"605921","EQT V (NO.2) LIMITED PARTNERSHIP","805-1913833354","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"605921","EQT DOMETIC CO-INVESTMENT LIMITED PARTNERSHIP","805-2178497581","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"605921","EQT SCANDIC CO-INVESTMENT LIMITED PARTNERSHIP","805-3140128638","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"605921","EQT SCANDIC II CO-INVESTMENT LIMITED PARTNERSHIP","805-9202550961","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"605921","EQT EXPANSION CAPITAL I LIMITED PARTNERSHIP","805-2713687346","EQT EXPANSION CAPITAL I (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT EXPANSION CAPITAL I LIMITED)","-","N"
"605921","EQT EXPANSION CAPITAL II (NO.1) LIMITED PARTNERSHIP","805-1068121850","EQT EXPANSION CAPITAL II (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT EXPANSION CAPITAL II LIMITED)","-","N"
"605921","EQT EXPANSION CAPITAL II (NO.2) LIMITED PARTNERSHIP","805-1675524249","EQT EXPANSION CAPITAL II (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT EXPANSION CAPITAL II LIMITED)","-","N"
