"FilingID","Miscellaneous"
599612,"WE HAVE SET IN SCHEDULE D, SECTION 2.B. THE AMOUNT TO $1 WHEN IN FACT IT IS $0. WE HAVE BEEN INSTRUCTED TO DO SO BY THE OFFICE OF INVESTMENT ADVISER REGULATION AS THERE IS AN KNOWN ISSUE WITH THAT ENTRY."
592308,"BOX 2B. THE NUMBER OF ASSETS UNDER MANAGEMENT FROM A PLACE IN THE US SHOULD READ $0 BUT WE HAVE USED $1 TO ALLOW THE SYSTEM TO ACCEPT THE FILING."
607953,"COGNETAS SA DOES NOT MANAGE ANY ASSETS, IT MERELY ADVISES A FUND WHICH MANAGES ASSETS.  THE FORM ADV REQUIRES THAT SOME NUMBER BE REPORTED IN SCHEDULE D, SECTION 2.B SO $1 HAS BEEN REPORTED."
608023,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS GMBH PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNERS OF THE PRIVATE FUNDS BUT IT IS THE GENERAL PARTNERS THAT ARE RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUNDS.  WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
606885,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS SP. Z O.O. PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNERS OF THE PRIVATE FUNDS BUT IT IS THE GENERAL PARTNERS THAT ARE RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUNDS.  WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
605921,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS AB PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNERS OF THE PRIVATE FUNDS BUT IT IS THE GENERAL PARTNERS THAT ARE RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUNDS.  WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
606393,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS A/S PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNERS OF THE PRIVATE FUNDS BUT IT IS THE GENERAL PARTNERS THAT ARE RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUNDS.  WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
607899,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS UK ADVISORS LLP PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNERS OF THE PRIVATE FUNDS BUT IT IS THE GENERAL PARTNERS THAT ARE RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUNDS.  WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
594996,"ELSWORTHY SERVICES LIMITED, AN ENGLISH LIMITED LIABILITY COMPANY (""ESL""), IS THE CORPORATE PARTNER OF ELSWORTHY CAPITAL LLP, AN ENGLISH LIMITED LIABILITY PARTNERSHIP (""THE APPLICANT""). THE APPLICANT IS REGISTERED WITH THE FINANCIAL SERVICES AUTHORITY IN THE UNITED KINGDOM.   ELSWORTHY CAPITAL MANAGEMENT LTD, A CAYMAN ISLAND LIMITED LIABILITY COMPANY (""ECM""), OWNS 100% OF THE SHARE CAPITAL OF ESL AND SERVES AS MANAGER TO THE FUND.  CHEYNE TRUST A, A JERSEY BASED TRUST OF WHICH RICHARD WOOLF (DIRECT OWNER/PARTNER IN THE APPLICANT) IS THE PRINCIPLE BENEFICIARY, OWNS 68.5% OF THE SHARE CAPITAL OF ECM.  THE CONTROLLING BENEFICIAL OWNERS OF THE APPLICANT ALSO HOLD CONTROLLING EQUITY INTERESTS IN ECM."
606602,"KALO CAPITAL MANAGEMENT, LP IS MANAGED BY STEVEN FRIEDMAN, WHO ALSO MANAGES KALO CAPITAL MANAGEMENT, LLC."
