"FilingID","Full Legal Name","CIK Number"
"1007421","BOSTON PRIVATE FINANCIAL HOLDINGS, INC.","821127"
"1006427","VALLEY NATIONAL BANCORP","714310"
"1000475","STIFEL FINANCIAL CORP.","720672"
"1007493","HILLTOP HOLDINGS INC.","1265131"
"1007486","VOYA FINANCIAL, INC.","1535929"
"1007195","MANULIFE FINANCIAL CORPORATION","1086888"
"1007509","ORIX CORPORATION","1070304"
"1007573","DEUTSCHE BANK AG","948046"
"1007660","DEUTSCHE BANK AG","948046"
"1007659","DST SYSTEMS, INC.","714603"
"1007735","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"1007772","STATE STREET CORPORATION","93751"
"1007801","BPCE","1485022"
"1007801","NATIXIS","1274981"
"1007801","NATIXIS GLOBAL ASSET MANAGEMENT","1053187"
"1007872","HSBC HOLDINGS PLC","108913"
"1007868","THE BANK OF NEW YORK MELLON CORPORATION","1497973"
"1007903","ZAIS GROUP HOLDINGS, INC.","1562214"
"1007739","MANULIFE FINANCIAL CORPORATION","1086888"
"1008054","AON CORPORATION","315293"
"1008043","THE CARLYLE GROUP, L.P.","1527166"
"1008007","PRUDENTIAL FINANCIAL, INC.","1137774"
"1008077","EVERCORE PARTNERS, INC.","1360901"
"1008174","GREAT-WEST LIFE & ANNUITY INSURANCE COMPANY","744455"
"1008225","B. RILEY FINANCIAL, INC.","1464790"
"1008239","T ROWE PRICE GROUP INC","1113169"
"1008252","T ROWE PRICE GROUP INC","1113169"
"1006231","LEGG MASON INC","704051"
"1008258","T ROWE PRICE GROUP INC","1113169"
"1008266","VIRTUS INVESTMENT PARTNERS, INC.","883237"
"1006821","LEGG MASON, INC.","704051"
"1007827","PRUDENTIAL FINANCIAL, INC.","1137774"
"1008311","LADENBURG THALMANN FINANCIAL SERVICES, INC","1029730"
"1008310","THE BANK OF NEW YORK MELLON CORPORATION","1497973"
"1008374","GREAT-WEST LIFE & ANNUITY INSURANCE COMPANY","744455"
"1007813","THE RMR GROUP INC.","1644378"
"1008384","THE BANK OF NEW YORK MELLON CORPORATION","1390777"
"1008726","CITIZENS FINANCIAL GROUP","759944"
"1008781","JEFFERIES GROUP LLC","1084580"
"1008396","FRANKLIN RESOURCES, INC.","38777"
"1008762","CNO FINANCIAL GROUP, INC.","122460"
"1008839","STIFEL FINANCIAL CORP.","720672"
"1008870","DEUTSCHE BANK AG","948046"
"1008896","MITSUBISHI UFJ FINANCIAL GROUP, INC.","67088"
"1008896","MUFG AMERICAS HOLDINGS CORP.","1011659"
"1008925","MITSUBISHI UFJ FINANCIAL GROUP, INC.","67088"
"1008925","MUFG AMERICAS HOLDINGS CORP.","1011659"
"1009041","THE BANK OF NOVA SCOTIA","9631"
"1009059","BANCO SANTANDER, S.A.","891478"
"996635","FRANKLIN RESOURCES, INC.","38777"
"1009108","BANK OF AMERICA CORPORATION","70858"
"1009149","BANK OF AMERICA CORPORATION","70858"
"1009167","BANK OF AMERICA CORPORATION","70858"
"1009214","MORGAN STANLEY","895421"
"1009220","MORGAN STANLEY","895421"
"1009224","MORGAN STANLEY","895421"
"1008069","THE ALLSTATE CORPORATION","899051"
"1009264","FORTRESS INVESTMENT GROUP LLC","1380393"
"1009268","CBOE HOLDINGS, INC.","1374310"
"1009272","HSBC HOLDINGS PLC","108913"
"1009347","CREDIT SUISSE ASSET MANAGEMENT, LLC","1159510"
"1009369","BANCO SANTANDER, S.A.","891478"
"1009145","ROYAL BANK OF CANADA","1000275"
"1009426","WELLS FARGO AND COMPANY","105598"
"1009415","RCS CAPITAL CORPORATION","1568832"
"1009535","TD AMERITRADE HOLDING CORPORATION","1173431"
"1008891","JANUS CAPITAL GROUP INC.","1065865"
"1009553","CULLEN/FROST BANKERS, INC.","39263"
"1009557","WELLS FARGO & COMPANY","72971"
"1009547","LINCOLN NATIONAL CORPORATION","59558"
"1009558","AMERICAN INTERNATIONAL GROUP, INC.","5272"
"1009564","WELLS FARGO & COMPANY","72971"
"1009573","LINCOLN NATIONAL CORPORATION","59558"
"1009582","AMERICAN INTERNATIONAL GROUP, INC.","5272"
"1009589","AMERICAN INTERNATIONAL GROUP","5272"
"1009591","AMERICAN INTERNATIONAL GROUP, INC.","5272"
"1008620","CAPITAL ONE FINANCIAL CORPORATION","927628"
"1009657","HSBC HOLDINGS PLC","1089113"
"1009681","COWEN GROUP, INC.","6211"
"1009709","WELLS FARGO AND COMPANY","105598"
"1009808","LPL FINANCIAL HOLDINGS INC.","1397911"
"1008912","AMERIPRISE FINANCIAL, INC.","820027"
"1009910","UMB FINANCIAL CORP","101382"
"1009982","JPMORGAN CHASE & CO.","19617"
