"FilingID","Representation 1","Representation 2"
"966255","Y","Y"
"964271","Y","Y"
"966401","Y","Y"
"966460","Y","Y"
"966413","Y","Y"
"966885","Y","Y"
"965153","Y","Y"
"965206","Y","Y"
"964915","Y","Y"
"964943","Y","Y"
"965627","Y","Y"
"966073","Y","Y"
"963746","Y","Y"
"966692","Y","Y"
"966903","Y","Y"
"967167","Y","Y"
"966076","Y","Y"
"967250","Y","Y"
"966927","Y","Y"
"963248","Y","Y"
"964921","Y","Y"
"965012","Y","Y"
"964468","Y","Y"
"965264","Y","Y"
"965284","Y","Y"
"965770","Y","Y"
"964523","Y","Y"
"966292","Y","Y"
"966397","Y","Y"
"965329","Y","Y"
"962254","Y","Y"
"965438","Y","Y"
"965651","Y","Y"
"966843","Y","Y"
"966887","Y","Y"
"967247","Y","Y"
"966832","Y","Y"
"967502","Y","Y"
"971451","Y","Y"
"972824","Y","Y"
"988514","Y","Y"
"992334","Y","Y"
"978987","Y","Y"
"981297","Y","Y"
"984639","Y","Y"
"986881","Y","Y"
"987515","Y","Y"
"987765","Y","Y"
"969334","Y","Y"
"968774","Y","Y"
"965198","Y","Y"
"975861","Y","Y"
"975170","Y","Y"
"986902","Y","Y"
"986970","Y","Y"
"977654","Y","Y"
"980060","Y","Y"
"997072","Y","Y"
"968880","Y","Y"
"1004268","Y","Y"
"971795","Y","Y"
"981133","Y","Y"
"980637","Y","Y"
"987766","Y","Y"
"950884","Y","Y"
"976332","Y","Y"
"979674","Y","Y"
"984153","Y","Y"
"984198","Y","Y"
"974207","Y","Y"
"983884","Y","Y"
"985822","Y","Y"
"977459","Y","Y"
"980491","Y","Y"
"979184","Y","Y"
"981854","Y","Y"
"1000590","Y","Y"
"971157","Y","Y"
"976075","Y","Y"
"983808","Y","Y"
"982268","Y","Y"
"991081","Y","Y"
"978368","Y","Y"
"978536","Y","Y"
"978125","Y","Y"
"977634","Y","Y"
"983250","Y","Y"
"955298","Y","Y"
"1003933","Y","Y"
"969329","Y","Y"
"969442","Y","Y"
"964239","Y","Y"
"967254","Y","Y"
"977531","Y","Y"
"997062","Y","Y"
"997612","Y","Y"
"965885","Y","Y"
"985858","Y","Y"
"1001920","Y","Y"
"985740","Y","Y"
"964350","Y","Y"
"969490","Y","Y"
"971502","Y","Y"
"982039","Y","Y"
"986184","Y","Y"
"981263","Y","Y"
"991274","Y","Y"
"988858","Y","Y"
"990977","Y","Y"
"1005124","Y","Y"
"967947","Y","Y"
"967787","Y","Y"
"969760","Y","Y"
"971163","Y","Y"
"971246","Y","Y"
"976645","Y","Y"
"976681","Y","Y"
"955763","Y","Y"
"975091","Y","Y"
"990182","Y","Y"
"961220","Y","Y"
"975664","Y","Y"
"977201","Y","Y"
"985174","Y","Y"
"983193","Y","Y"
"983670","Y","Y"
"966667","Y","Y"
"965662","Y","Y"
"952990","Y","Y"
"980585","Y","Y"
"980684","Y","Y"
"981494","Y","Y"
"982282","Y","Y"
"988755","Y","Y"
"976397","Y","Y"
"976483","Y","Y"
"976499","Y","Y"
"977843","Y","Y"
"980405","Y","Y"
"988740","Y","Y"
