"FilingID","Name","CRD Number","SEC Number"
1030851,"KESTRA ADVISORY SERVICES, LLC",283330,"801-56126"
1031277,"CREDIT SUISSE ASSET MANAGEMENT, LLC",106012,"801-37170"
1030903,"CENTURION ASSET MANAGEMENT, LLC",155426,"801-71975"
1027633,"INDEPENDENT SOLUTIONS WEALTH MANAGEMENT, LLC",144733,"801-69708"
1034785,"INVESCO GLOBAL REAL ESTATE ASIA PACIFIC, INC.",161544,"801-74650"
1035523,"FOCUSPOINT SOLUTIONS, INC.",131195,"801-63028"
1038545,"PRINCIPAL MANAGEMENT CORP",105641,"801-8144"
1038553,"ALLSTATE INVESTMENT MANAGEMENT COMPANY",107775,"801-30535"
1036420,"INLAND INVESTMENT ADVISORS, INC.",109933,"801-60053"
1038593,"INLAND INVESTMENT ADVISORS, INC.",109933,"801-60053"
1031528,"OSPRAIE MANAGEMENT, LLC",135782,"801-71068"
1033714,"WAMBOLT & ASSOCIATES, LLC",153454,"801-71476"
1031495,"SAGEVIEW ADVISORY GROUP, LLC",126777,"801-64265"
1031674,"SICA WEALTH MANAGEMENT, LLC",153625,"801-71359"
1032513,"INDEPENDENT SOLUTIONS WEALTH MANAGEMENT, LLC",144733,"801-69708"
1033077,"BOSTON MANAGEMENT AND RESEARCH",104853,"801-43127"
1031899,"INDEPENDENT SOLUTIONS WEALTH MANAGEMENT, LLC",144733,"801-69708"
1031890,"STRATOS WEALTH PARTNERS, LTD",153184,"801-71457"
1031966,"MML INVESTORS SERVICES, LLC",10409,"801-44264"
1032183,"KAHN BROTHERS ADVISORS LLC",144368,"801-14146"
1032202,"SCOUT INVESTMENTS, INC.",111787,"801-60188"
1032217,"KAHN BROTHERS ADVISORS LLC",144368,"801-14146"
1029178,"BALDWIN INVESTMENT MANAGEMENT, LLC",108922,"801-56558"
1009266,"KESTRA ADVISORY SERVICES, LLC",283330,"801-56126"
1030092,"WARREN AVERETT ASSET MANAGEMENT, LLC",115332,"801-60741"
1029827,"LANDMARK EQUITY ADVISORS LLC",108543,"801-55668"
1029796,"RETIREMENT WEALTH ADVISORS, INC.",137658,"801-67628"
1030887,"EAGLE POINT CREDIT MANAGEMENT LLC",166370,"801-77721"
1036332,"CHILTON INVESTMENT SERVICES, LLC",159306,"801-72833"
1030212,"THE MUTUAL FUND STORE",109238,"801-57511"
1019674,"MICHAELSON CAPITAL SPECIAL FINANCE, LLC",170985,"801-79720"
1031785,"SUMMIT EQUITIES INC",11039,"801-39162"
1031829,"MML INVESTORS SERVICES, LLC",10409,"801-44264"
1022108,"CITY NATIONAL ROCHDALE",117198,"801-27265"
1029659,"FUSION CAPITAL MANAGEMENT",156549,"801-72171"
1038015,"WINTHROP FINANCIAL, INC.",158852,"801-72751"
