"FilingID","Wrap Fee Program","Sponsor"
"880143","MERRILL LYNCH CONSULTS(R)","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED & MANAGED ACCOUNT ADVISORS LLC"
"880143","MERRILL LYNCH UNIFIED MANAGED ACCOUNT","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED & MANAGED ACCOUNT ADVISORS LLC"
"880143","MERRILL LYNCH INVESTMENT ADVISORY PROGRAM","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED & MANAGED ACCOUNT ADVISORS LLC"
"880143","MERRILL EDGE ADVISORY ACCOUNT","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED & MANAGED ACCOUNT ADVISORS LLC"
"883584","INVESTMENT MANAGEMENT SERVICES (IMS)","MORGAN STANLEY WEALTH MANAGEMENT"
"883584","PREMIER","SUNTRUST"
"883584","MANAGED ACCOUNT PROGRAM (MAP)","RBC DAIN RAUSCHER, INC"
"883584","SCHWAB INSTITUTIONAL MARKETPLACE","CHARLES SCHWAB & CO INC"
"883584","AMC ADVANTAGE","SUNTRUST"
"883584","MAC","UBS"
"883584","PRIVATE ADVISOR NETWORK","WELLS FARGO ADVISORS"
"883584","CONSULTING AND EVALUATION SERVICES (CES)","MORGAN STANLEY WEALTH MANAGEMENT"
"883584","FIDUCIARY SERVICES","MORGAN STANLEY WEALTH MANAGEMENT"
"883584","SELECT UMA PROGRAM","MORGAN STANLEY WEALTH MANAGEMENT"
"883584","ACCESS","UBS"
"883584","STRATEGIC WEALTH PORTFOLIO","UBS"
"883584","UMA","FOLIODYNAMIX"
"883584","MASTERS PROGRAM AND DIVERSIFIED MANAGED ALLOCATIONS PROGRAM","WELLS FARGO ADVISORS, LLC"
"883584","DIRECT ACCESS PROGRAM","SOUTHWEST SECURITIES, INC"
"883584","MANAGED ACCOUNT SELECT","CHARLES SCHWAB & CO INC"
"883584","SUNTRUST PERSONAL ASSET MANAGEMENT MODELS","SUNTRUST BANK"
"883584","WRAP PLATFORM","HIGHTOWER ADVISORS LLC"
"883584","SEPARATE ACCOUNT NETWORK","FIDELITY INVESTMENTS"
"880175","MERRILL LYNCH PERSONAL INVESTMENT ADVISORY(R)","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED"
"880175","MERRILL LYNCH INVESTMENT ADVISORY PROGRAM","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED AND MANAGED ACCOUNT ADVISORS LLC"
"880175","MERRILL LYNCH UNIFIED MANAGED ACCOUNT","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED AND MANAGED ACCOUNT ADVISORS LLC"
"880175","MERRILL EDGE ADVISORY ACCOUNT","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED AND MANAGED ACCOUNT ADVISORS LLC"
"891288","GAS ACCOUNTS","G.A. REPPLE & COMPANY"
"891288","MAS PROGRAM","ENVESTNET VIA NFS"
"891333","SPARK ADVISORS WRAP PROGRAM","SPARK ADVISORS LLC"
"888981","LPL MANAGER SELECT PROGRAM","LPL ADVISORY SERVICES"
"888981","PERSHING MANAGED ACCOUNT SOLUTIONS","LOCKWOOD ADVISORS INC."
"890937","MEASURED WEALTH PRIVATE CLIENT GROUP WRAP FEE PROGRAM","MEASURED WEALTH PRIVATE CLIENT GROUP, LLC."
"889087","BAYHAWK WRAP PROGRAM","BAYHAWK ASSET MANAGEMENT, LLC"
"891532","PRIVATE ACCESS PROGRAM","PROEQUITIES, INC."
"891532","DEFINED SOLUTIONS","PROEQUITIES, INC."
"891532","PROTRADE","PROEQUITIES, INC."
"891532","INVESTMENT ADVISORY SERVICES","PROEQUITIES, INC."
"891532","CAPITAL ASSET MANAGMENT","PROEQUITIES, INC."
"891532","ADVISORS CHOICE SMA AND STRATEGISTS PROGRAM","PROEQUITIES, INC."
"891532","PROEQUITIES UNIFIED MANAGED ACCOUNT","PROEQUITIES,INC."
"891554","WELLS FARGO ADVISORS MASTERS NETWORK PROGRAM - MASTERS","WELLS FARGO ADVISORS"
"891554","LOCKWOOD MANAGED ACCOUNTS WRAP PROGRAM","LOCKWOOD ADVISORS/PERSHING"
"891554","LPL MANAGER ACCESS SELECT","LPL FINANCIAL CORPORATION"
"891554","UBS ACCESS ADVISORY PROGRAM","UBS FINANCIAL SERVICES, INC."
"891554","WELLS FARGO ADVISORS MASTERS NETWORK PROGRAM - DMA","WELLS FARGO ADVISORS"
"891554","MORGAN STANLEY SMITH BARNEY FIDUCIARY SERVICES ACCESS PROGRAM","MORGAN STANLEY SMITH BARNEY"
"891554","WELLS MANAGED DIVERSIFIED PORTFOLIOS","WELLS FARGO BANK, N.A."
"891554","CHARLES SCHWAB MANAGED ACCOUNT ACCESS PROGRAM","CHARLES SCHWAB & CO., INC."
"891554","MORGAN STANLEY SMITH BARNEY FIDUCIARY SERVICES SELECT UMA","MORGAN STANLEY SMITH BARNEY"
"891554","UBS STRATEGIC WEALTH PORTFOLIO","UBS FINANCIAL SERVICES, INC."
"891554","PRUDENTIAL WEALTH MANAGEMENT SOLUTIONS","ENVESTNET, INC."
"891554","STIFEL MANAGED ASSETS PROGRAM","STIFEL, NICOLAUS & COMPANY, INC.."
"891554","EDWARD JONES MANAGED ACCOUNT PROGRAM","EDWARD D. JONES & CO., L.P."
"891609","VISION2020 WEALTH MANAGEMENT PLATFORM - ADVISOR MANAGED PORTFOLIOS PROGRAM","ROYAL ALLIANCE ASSOCIATES, INC."
"891649","VISION2020 WEALTH MANAGEMENT PLATFORM - ADVISOR MANAGED PORTFOLIOS PROGRAM","ROYAL ALLIANCE ASSOCIATES, INC."
"885983","INVESTMENT CONSULTING","DB ALEX BROWN"
"891707","MEIXLER INVESTMENT MANAGEMENT'S WRAP FEE PROGRAM","MEIXLER INVESTMENT MANAGEMENT, LTD."
"875458","MAC PROGRAM","UBS FINANCIAL SERVICES, INC."
"875458","IMS FEE + FEE","MORGAN STANLEY SMITH BARNEY"
"875458","NETWORK PROGRAM","WELLS FARGO ADVISERS"
"875458","MANAGED ACCOUNT PROGRAM","RBC WEALTH MANAGEMENT"
