"FilingID","ReferenceID","Foreign Regulatory Authority"
1027400,79714,"United Kingdom - Financial Conduct Authority"
1010987,167506,"Other-RESERVE BANK OF INDIA(RBI)"
1010987,167506,"India - Securities and Exchange Board of India"
1010987,9703,"India - Securities and Exchange Board of India"
1010987,125969,"China, People's Republic of - China Securities Regulatory Commission "
1010987,125969,"India - Securities and Exchange Board of India"
1010987,125969,"United Kingdom - Financial Conduct Authority"
1010987,125969,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1010987,125969,"Other-SAUDI ARABIA - CAPITAL MARKET AUTHORITY"
1028683,70332,"Japan - Financial Services Agency"
1028683,120049,"Japan - Financial Services Agency"
1028683,120046,"Japan - Financial Services Agency"
1028683,120057,"Japan - Financial Services Agency"
1028683,120066,"Japan - Financial Services Agency"
1028683,120098,"Japan - Financial Services Agency"
1028683,120431,"Japan - Financial Services Agency"
1028683,169708,"Other-JAPAN - FINANCIAL SERVICES AGENCY"
1028683,206593,"Japan - Financial Services Agency"
1011667,174096,"Guernsey - Guernsey Financial Services Commission"
1011667,174105,"United Kingdom - Financial Conduct Authority"
1011667,174101,"United Kingdom - Financial Conduct Authority"
1011667,174106,"United Kingdom - Financial Conduct Authority"
1011667,174119,"Other-CANADA-INVESTMENT INDUSTRY REGULATORY ORGANIZATION OF CANADA"
1011667,174257,"Other-BRAZIL-BRAZILIAN CENTRAL BANK"
1011667,174124,"Ireland -  Central Bank of Ireland"
1011667,173783,"Cayman Islands - Cayman Islands Monetary Authority"
1011667,173792,"Hong Kong - Securities and Futures Commission"
1011667,173792,"Ireland -  Central Bank of Ireland"
1011667,173789,"Hong Kong - Securities and Futures Commission"
1011667,173789,"Ireland -  Central Bank of Ireland"
1011667,173789,"Other-KOREA-FINANCIAL SERVICES COMMISSION"
1011667,198714,"Singapore - Monetary Authority of Singapore"
1011667,173889,"United Kingdom - Financial Conduct Authority"
1011667,173889,"Canada - Ontario Securities Commission"
1011667,173889,"Canada - British Columbia Securities Commission"
1011667,173889,"Canada - Alberta Securities Commission"
1011667,174156,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1011667,174156,"Other-BANK OF ITALY"
1011667,167392,"United Kingdom - Financial Conduct Authority"
1011667,167392,"United Kingdom - Prudential Regulation Authority"
1011667,174760,"Singapore - Monetary Authority of Singapore"
1011667,175016,"United Kingdom - Prudential Regulation Authority"
1011667,175016,"Ireland -  Central Bank of Ireland"
1011667,173758,"United Kingdom - Financial Conduct Authority"
1011667,207121,"Other-EUROPEAN CENTRAL BANK"
1011667,207121,"Other-NATIONAL BANK OF BELGIUM"
1011667,173769,"Brazil - Securities and Exchange Commission"
1011667,173769,"Ireland -  Central Bank of Ireland"
1011667,173775,"Japan - Financial Services Agency"
1011667,173878,"Canada - Alberta Securities Commission"
1011667,173878,"Canada - British Columbia Securities Commission"
1011667,173878,"Canada - Ontario Securities Commission"
1011667,173878,"Canada - Quebec, Financial Markets Authority"
1011667,173878,"Other-JAPAN-KANTO LOCAL FINANCIAL BUEAU"
1011667,174130,"United Kingdom - Financial Conduct Authority"
1011667,174133,"Singapore - Monetary Authority of Singapore"
1011667,174134,"Jersey - Jersey Financial Services Commission"
1011667,174139,"Japan - Financial Services Agency"
1011667,174237,"United Kingdom - Financial Conduct Authority"
1011667,174237,"United Kingdom - Prudential Regulation Authority"
1011667,173896,"United Kingdom - Financial Conduct Authority"
1011667,173896,"Japan - Financial Services Agency"
1011667,173896,"Canada - Ontario Securities Commission"
1011667,173896,"Canada - Alberta Securities Commission"
1011667,173896,"Canada - British Columbia Securities Commission"
