"FilingID","ReferenceID","Form D File Number"
"948033","57583","021-208656"
"948246","23170","021-108508"
"948246","23113","021-108511"
"948246","23031","021-127964"
"948246","22845","021-127774"
"948246","77598","021-224156"
"949362","14790","021-172624"
"949362","14790","021-74175"
"949506","63161","021-211155"
"949506","63160","021-211154"
"949506","63155","021-211158"
"949506","63134","021-211152"
"949506","63150","021-211156"
"949506","39008","021-102979"
"949426","66780","021-222092"
"949426","6756","021-172570"
"949426","6756","021-172572"
"949426","66780","021-222091"
"949517","53071","021-85378"
"949517","53059","021-80440"
"949517","53067","021-85378"
"949517","27634","021-80440"
"949517","27620","021-83119"
"949517","27614","021-70136"
"949517","27596","021-116400"
"949517","27585","021-135070"
"949517","27564","021-86764"
"949517","27518","021-75084"
"949517","27577","021-116321"
"949517","27493","021-167038"
"949517","27488","021-80426"
"949517","27569","021-79299"
"949517","27447","021-130425"
"949517","27409","021-148789"
"949517","22262","021-147632"
"949517","22179","021-92816"
"949517","22163","021-80440"
"949517","25003","021-148800"
"949517","24965","021-146248"
"949517","59729","021-204143"
"949517","59723","021-198137"
"949517","59721","021-199160"
"949517","59720","021-210596"
"949517","59728","021-194512"
"949517","73981","021-85378"
"949517","73980","021-75084"
"949537","5939","021-192516"
"949537","5964","021-192515"
"949361","59275","021-204635"
"949361","57808","021-202936"
"949549","59275","021-204635"
"949549","57808","021-202936"
"949547","26811","021-121662"
"949547","24785","021-129145"
"949563","69587","021-228881"
"949563","69586","021-228887"
"949563","69581","021-228883"
"949563","61991","021-203304"
"949563","62003","021-203306"
"949563","2734","021-1070842"
"949563","2747","021-999999999"
"949563","2754","021-110698"
"949563","2743","021-1129674"
"949563","2750","021-115849"
"949563","2744","021-61909"
"949563","2751","021-121829"
"949563","2753","021-81266"
"949574","59229","021-140342"
"949574","59231","021-205173"
"949574","59230","021-205120"
"949574","29668","021-175640"
"949574","51139","021-174456"
"949574","29514","021-175636"
"949574","29663","021-175512"
"949574","29007","021-58524"
"949574","29033","021-58574"
"949574","59226","021-56854"
"949574","59226","021-56862"
"949574","69724","021-107141"
"949574","70264","021-222003"
"949574","29033","021-174456"
"949574","70264","021-222020"
"934543","52559","021-193476"
"943823","43953","021-1503872"
"945057","13046","021-98210"
"945057","8317","021-165679"
"945057","8287","021-127973"
"945057","8287","021-110616"
"945057","8280","021-40119"
"945057","8280","021-45276"
"945057","68752","021-173138"
"945057","67807","021-221944"
"945057","67809","021-177797"
"941383","18583","021-127270"
"949704","33809","021-1043997"
"949716","67540","021-1628652"
"949736","48129","021-182174"
"949736","68082","021-182174"
"949755","4626","021-98023"
"949755","4176","021-109600"
"949755","4933","021-87644"
"949755","45689","021-176108"
"949760","5132","021-105110"
"949760","5138","021-100962"
"949760","5107","021-42983"
"946731","6130","021-65684"
