"FilingID","ReferenceID","Name of Auditing Firm","City","State","Country","Independent","PCAOB Registered","PCAOB Inspected"
1042027,179053,"KPMG LLP","SHORT HILLS","New Jersey","United States","Y","Y","Y"
1042027,179048,"KPMG LLP","SHORT HILLS","New Jersey","United States","Y","Y","Y"
1042027,179052,"KPMG LLP","SHORT HILLS","New Jersey","United States","Y","Y","Y"
1042045,179709,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,177413,"PRICEWATERHOUSE COOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,167263,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,166592,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,72986,"KPMG","DUBLIN","","Ireland","Y","Y","Y"
1042045,33545,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,63949,"PRICEWATERHOUSE COOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,63948,"PRICEWATERHOUSE COOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,63946,"PRICEWATERHOUSE COOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,63947,"PRICEWATERHOUSE COOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,53865,"PRICEWATERHOUSECOOPERS LLP","SAN FRANCISCO","California","United States","Y","Y","Y"
1042045,53862,"PRICEWATERHOUSECOOPERS LLP","SAN FRANCISCO","California","United States","Y","Y","Y"
1042045,33461,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,47425,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,47426,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,33572,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,33550,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,33538,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,172328,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,172318,"PRICEWATERHOUSECOOPERS LLP","NEW YORK","New York","United States","Y","Y","Y"
1042045,179284,"PRICEWATERHOUSECOOPERS AARATA","TOKYO","","Japan","Y","Y","Y"
1045184,65609,"KPMG LLP","ROSELAND","New Jersey","United States","Y","Y","Y"
1045572,179900,"PRICEWATERHOUSECOOPERS","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
1045572,179901,"PRICEWATERHOUSECOOPERS","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
1045043,5912,"ERNST & YOUNG LLP","NEW YORK","New York","United States","Y","Y","Y"
1045043,65011,"ERNST & YOUNG LLP","NEW YORK","New York","United States","Y","Y","Y"
1046893,178803,"COHEN FUND AUDIT SERVICES LTD.","CLEVELAND","Ohio","United States","Y","Y","Y"
1046888,158958,"ERNST & YOUNG LLP","MINNEAPOLIS","Minnesota","United States","Y","Y","Y"
1046921,45175,"RSM CAYMAN LTD","GEORGETOWN","","Cayman Islands","Y","Y","Y"
1046921,45187,"RSM US, LLC","CHICAGO","Illinois","United States","Y","Y","Y"
1046921,45192,"RSM US, LLC","CHICAGO","Illinois","United States","Y","Y","Y"
1046921,45158,"RSM US, LLC","CHICAGO","Illinois","United States","Y","Y","Y"
1046923,54902,"RSM US, LLC","CHICAGO","Illinois","United States","Y","Y","Y"
1046929,180104,"SANVILLE & COMPANY","ABINGTON","Pennsylvania","United States","Y","Y","Y"
1048022,17020,"BDO USA, LLP","SAN FRANCISCO","California","United States","Y","Y","Y"
1048022,17070,"BDO USA, LLP","SAN FRANCISCO","California","United States","Y","Y","Y"
1048023,16101,"MAYER HOFFMAN MCCANN P.C.","ATLANTA","Georgia","United States","Y","Y","Y"
1048033,68117,"KPMG","DALLAS","Texas","United States","Y","Y","Y"
1048033,68113,"KPMG","DALLAS","Texas","United States","Y","Y","Y"
1047236,56404,"MCGLADREY & PULLEN, LLP","CHICAGO","Illinois","United States","Y","Y","Y"
1048042,52120,"DELOITTE S.A.R.L","LUXEMBOURG","","Luxembourg","Y","Y","Y"
1048042,45008,"DELOITTE S.A.","LUXEMBOURG","","Luxembourg","Y","Y","Y"
1048042,45001,"DELOITTE S.A.","LUXEMBOURG","","Luxembourg","Y","Y","Y"
1048042,47955,"DELOITTE S.A.","LUXEMBOURG","","Luxembourg","Y","Y","Y"
1048042,44999,"DELOITTE S.A.","LUXEMBOURG","","Luxembourg","Y","Y","Y"
1048042,44995,"DELOITTE S.A.","LUXEMBOURG","","Luxembourg","Y","Y","Y"
1048042,44959,"DELOITTE S.A.","LUXEMBOURG","","Luxembourg","Y","Y","Y"
1048906,37783,"WEISERMAZARS, LLP","EDISON","New Jersey","United States","Y","Y","Y"
1048906,37711,"EISNERAMPER LLP","NEW YORK","New York","United States","Y","Y","Y"
1048906,37684,"EISNERAMPER LLP","NEW YORK","New York","United States","Y","Y","Y"
1048906,37586,"EISNERAMPER LTD.","GEORGE TOWN","","Cayman Islands","Y","Y","Y"
1048906,36369,"EISNERAMPER LTD.","GEORGE TOWN","","Cayman Islands","Y","Y","Y"
1048561,43651,"RITCH, GREENBERG & HASSAN","SHELTON","Connecticut","United States","Y","N",""
1048900,65186,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1048900,60988,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1048900,10208,"KPMG LLP","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
1048900,28605,"KPMG LLP","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
1048900,28598,"KPMG LLP","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
1048900,28586,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1048900,10164,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1048900,69932,"KPMG LLP","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
1048900,10172,"KPMG LLP","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
1048900,10217,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1048900,10204,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1048900,10285,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1048900,10284,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1048900,10281,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1048900,10246,"KPMG LLP","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
1048900,65159,"KPMG LLP","NEW YORK","New York","United States","Y","Y","Y"
1050373,76615,"LARRY D. LIBERFARB, P.C.","NORWOOD","Massachusetts","United States","Y","Y","Y"
