"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"963726","44822","FIRST SOUTHWEST COMPANY, LLC","8-1523","316","DALLAS","Texas","United States","Y"
"963726","44822","C. L. KING & ASSOCIATES, INC.","8-17025","6183","NEW YORK","New York","United States","Y"
"963726","44822","WEDBUSH SECURITIES INC.","8-12987","877","NEW YORK","New York","United States","Y"
"963417","55768","JEFFERIES LLC","8-15074","2347","DALLAS","Texas","United States","Y"
"961316","45126","PERSHING LLC","8-17574","7560","JERSEY CITY","New Jersey","United States","Y"
"962888","35785","MAXIM GROUP LLC","8-65337","120708","NEW YORK","New York","United States","N"
"962888","36560","BTIG, LLC","8-65473","122225","SAN FRANCISCO","California","United States","N"
"965764","72722","CHARLES SCHWAB & CO., INC.","8-16514","5393","NEW YORK","New York","United States","Y"
"965764","30575","CHARLES SCHWAB & CO., INC.","8-16514","5393","NEW YORK","New York","United States","Y"
"965764","48893","CHARLES SCHWAB & CO., INC.","8-16514","5393","NEW YORK","New York","United States","Y"
"964003","47102","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"964003","47100","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"964003","47098","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"964003","47102","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"964003","47100","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"964003","47098","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"965848","63721","PERSHING, LLC","","","JERSEY CITY","New Jersey","United States","N"
"965848","120279","UBS (LUXEMBOURG) SA","","","LUXEMBOURG","","Luxembourg","Y"
"965848","14597","PERSHING, LLC","","","JERSEY CITY","New Jersey","United States","N"
"966050","4424","J.P. MORGAN SECURITIES LLC","8-35008","79","NEW YORK","New York","United States","Y"
"966050","4424","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"966050","4424","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"966050","4424","UBS SECURITIES LLC","8-22651","7654","NEW YORK","New York","United States","Y"
"966050","4424","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"966050","4424","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"966050","4386","J.P. MORGAN SECURITIES LLC","8-35008","79","NEW YORK","New York","United States","Y"
"966050","4386","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"966050","4386","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"966050","4386","UBS SECURITIES LLC","8-22651","7654","NEW YORK","New York","United States","Y"
"966050","4386","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"966050","4386","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"966050","4424","NATIONAL FINANCIAL SERVICES LLC","8-26740","13041","BOSTON","Massachusetts","United States","Y"
"966050","4386","NATIONAL FINANCIAL SERVICES LLC","8-26740","13041","BOSTON","Massachusetts","United States","Y"
"966050","4424","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"966050","4386","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"966130","43144","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"966121","32800","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"966197","36247","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"966197","36247","J.P. MORGAN SECURITIES LLC","8-35008","79","NEW YORK","New York","United States","Y"
"965431","71476","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"965431","70447","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"965431","42767","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"965431","42767","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"965431","70448","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"964939","5706","UBS SECURITIES LLC","8-22651","7654","NEW YORK","New York","United States","Y"
"964939","5693","UBS SECURITIES LLC","8-22651","7654","NEW YORK","New York","United States","Y"
"947997","16604","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"947997","16587","UBS AG","","","LONDON","","United Kingdom","Y"
"947997","16587","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"947997","16587","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"947997","16587","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"947997","16587","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"947997","16587","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"947997","16587","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"947997","16587","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"947997","16587","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"947997","16587","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"947997","16587","BARCLAYS CAPITAL SECURITIES LIMITED","","","LONDON","","United Kingdom","Y"
"947997","46768","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
