"FilingID","ReferenceID","Foreign Regulatory Authority"
"964003","47100","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"965848","120279","Cayman Islands - Cayman Islands Monetary Authority"
"965848","120278","Cayman Islands - Cayman Islands Monetary Authority"
"965848","120272","Cayman Islands - Cayman Islands Monetary Authority"
"965767","70380","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"965767","72992","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"965767","72472","Cayman Islands - Cayman Islands Monetary Authority"
"965767","74065","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"965767","74072","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"966050","4386","Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
"966050","4424","Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
"966197","36263","Cayman Islands - Cayman Islands Monetary Authority"
"966197","36247","Cayman Islands - Cayman Islands Monetary Authority"
"966220","47364","Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY; IRELAND - IRISH STOCK EXCHANGE AND CENTRAL BANK OF IRELAND"
"966220","33204","Other - IRISH STOCK EXCHANGE"
"966220","33204","Ireland -  Central Bank of Ireland"
"966220","33176","Other - IRISH STOCK EXCHANGE"
"966220","33176","Ireland -  Central Bank of Ireland"
"966220","33149","Other - IRISH STOCK EXCHANGE"
"966220","33149","Ireland -  Central Bank of Ireland"
"966220","33104","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"966220","33091","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"965431","42425","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"965431","42620","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"965431","42258","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"965431","42553","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"965431","42574","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"965431","42553","Other - IRELAND/IRISH STOCK EXCHANGE (CLASS A AND CLASS D SHARES ONLY)"
"965431","42655","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"964939","5706","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"966451","73214","Other - NETHERLANDS - DE NEDERLANDSCHE BANK (DUTCH CENTRAL BANK)"
"966451","73214","Finland - Financial Supervision Authority"
