"FilingID","ReferenceID","Private Fund Name","Fund ID"
1025283,169787,"TELEIOS GLOBAL OPPORTUNITIES, LP",805-5084120322
1025283,169787,"TELEIOS GLOBAL OPPORTUNITIES FUND, LTD.",805-3008220131
1010249,177287,"THIRD FRIDAY TOTAL RETURN FUND INTERNATIONAL, LTD.",805-7619741109
1030186,177634,"C2W PARTNERS FUND LIMITED",805-7440045675
1030186,177634,"C2W PARTNERS FUND LP",805-3037854901
1029486,24723,"HUIZENGA MANAGERS FUND, LTD",805-1593873837
1029417,172275,"HONEYCOMB INTERMEDIATE FUND LP",805-5351032744
1029417,172275,"HONEYCOMB PARTNERS LP",805-3871655239
1029417,172275,"HONEYCOMB OFFSHORE FUND LTD.",805-6547573444
1030694,59269,"IVORY LONG FUND, L.P.",805-7384750916
1030694,59269,"IVORY OFFSHORE LONG FUND, LTD.",805-7259495618
1030694,23134,"IVORY FLAGSHIP FUND, L.P.",805-9038921514
1030694,20742,"IVORY OPTIMAL FUND, L.P.",805-6636639650
1030694,20742,"IVORY OFFSHORE OPTIMAL FUND, LTD.",805-8660533188
1030694,23134,"IVORY OFFSHORE FLAGSHIP FUND, LTD",805-5440268512
1028859,2054,"CRIMSON PHYSICAL COMMODITIES FUND, LTD.",805-3803615113
1028859,2054,"CRIMSON PHYSICAL COMMODITIES FUND, LP",805-1125056888
1028859,2052,"CELADON COMMODITIES FUND, LP",805-4836393887
1028859,2052,"CELADON COMMODITIES FUND, LTD.",805-5524658473
1028859,2050,"VIRIDIAN FUND, LTD.",805-9908195509
1028859,58876,"AERIS METALS FUND, LTD.",805-5680946866
1028859,2050,"VIRIDIAN FUND, LP",805-3951892659
1028859,58876,"AERIS METALS FUNDS, LP",805-2318647244
1011018,6659,"OXAM QUANT FUND (INTERNATIONAL) LIMITED",805-5764069068
1011018,6659,"OXAM QUANT FUND (US) LLC",805-1540978118
1031406,173533,"CARDINAL ADVISOR SERIES- INTERNATIONAL GROWTH EQUITY L.P.",805-7360862783
1031406,173533,"CARDINAL ADVISOR SERIES-INTERNATIONAL GROWTH EQUITY LTD",805-5762263001
1031406,173570,"CARDINAL ADVISOR SERIES- INTERNATIONAL VALUE EQUITY L.P.",805-4005925210
1031406,173570,"CARDINAL ADVISOR SERIES-INTERNATIONAL VALUE EQUITY LTD",805-2753815875
1031406,173580,"CARDINAL ADVISOR SERIES- LOCAL CURRENCY EMERGING MARKET DEBT FUND L.P.",805-7292557069
1031406,173580,"CARDINAL ADVISOR SERIES-LOCAL CURRENCY EMERGING MARKET DEBT FUND LTD",805-6561528679
1031406,173595,"CARDINAL ADVISOR SERIES-STRATEGIC COMMODITIES FUND L.P.",805-4246066296
1031406,173595,"CARDINAL ADVISOR SERIES-STRATEGIC COMMODITIES FUND LTD",805-4150408350
1024622,1179,"NCH AGRIBUSINESS INVESTORS CORP.",805-9557446011
1024622,1182,"NCH NEW EUROPE PROPERTY  INVESTORS CORP.",805-5646805695
1024622,1179,"NCH AGRIBUSINESS INVESTORS CORP. II",805-1785239869
1024622,1184,"NCH NEW EUROPE  PROPERTY INVESTORS II CORP.",805-6822139170
1024622,73502,"NCH AGRIBUISNESS PARTNERS II OFFSHORE FEEDER LP",805-8032837910
1024622,73460,"NCH EMERGING MARKETS NAVIGATOR FUND LLC",805-3197991885
1023865,19356,"PROTEGE TACTICAL INTERNATIONAL FUND, LP",805-3136705342
1023865,19317,"PROTEGE PARTNERS FUND, LTD.",805-6638430935
1029742,55725,"JANUS GLOBAL DIVERSIFIED RISK PREMIA FUND LTD.",805-8914878460
1029742,169828,"JANUS VELOCITY OFFSHORE LONG/SHORT VOLATILITY FUND LTD.",805-2812559536
1029742,169828,"JANUS VELOCITY LONG/SHORT VOLATILITY FUND LLC",805-8245165303
1020876,56589,"TEMPLETON EMERGING MARKETS LOCAL CURRENCY BOND (CAYMAN) FUND, LTD.",805-7010368852
1020876,56589,"TEMPLETON EMERGING MARKETS LOCAL CURRENCY BOND FUND, L.P.",805-8854443649
1020876,3112,"TEMPLETON GLOBAL BOND PLUS FUND, L.P.",805-4500835300
1020876,3112,"TEMPLETON GLOBAL BOND PLUS (CAYMAN) FUND, LTD.",805-9399415394
1020876,3107,"FRANKLIN TEMPLETON GLOBAL MULTISECTOR PLUS FUND, L.P.",805-8405990681
1020876,3107,"FRANKLIN TEMPLETON GLOBAL MULTISECTOR PLUS (CAYMAN) FUND, LTD.",805-3512086159
1020876,2697,"TEMPLETON GLOBAL SUMMITS FUND, L.P.",805-8016800930
1020876,2697,"TEMPLETON GLOBAL SUMMITS (CAYMAN) FUND, LTD.",805-5618808048
1030785,65609,"VERGER FUND I LLC",805-7037746790
1030785,65609,"VERGER FUND II LLC",805-8264856528
1030785,65609,"VERGER OFFSHORE FUND LTD.",805-9349447459
1030794,16905,"1798 FUNDAMENTAL EQUITIES FUND LP",805-4566843647
1030794,16905,"1798 FUNDAMENTAL EQUITIES FUND LTD",805-9686215910
1030794,16905,"1798 FUNDAMENTAL STRATEGIES FUND LTD",805-9866464920
1028795,24951,"SANKATY CREDIT OPPORTUNITIES (OFFSHORE PLAN ASSETS) II, L.P.",805-9675112754
1028795,60440,"SANKATY MIDDLE MARKET OPPORTUNITIES FUND II-A, L.P.",805-3598603877
1028795,25134,"SANKATY MIDDLE MARKET OPPORTUNITIES FUND (OFFSHORE), L.P.",805-6382102231
1028795,25107,"SANKATY HIGH INCOME FEEDER, LTD.",805-9372735182
1028795,24951,"SANKATY CREDIT OPPORTUNITIES (OFFSHORE) II, L.P.",805-2897418329
1028795,55583,"SANKATY CLO PARTNERS FEEDER, L.P.",805-3731063752
1028795,24828,"SANKATY BEACON INVESTMENT PARTNERS II (PLAN ASSETS), L.P.",805-9636335051
1028795,24988,"SANKATY CREDIT OPPORTUNITIES (OFFSHORE PLAN ASSETS) III, L.P.",805-2225483974
