"FilingID","ReferenceID","SubreferenceID","Foreign  
Regulatory Authority"
"891276","50691","9519","Other  
- CAYMAN ISLAND MONETARY AUTHORITY"
"891276","57899","11672","Cayman Islands - Cayman Islands Monetary Authority"
"887985","26566","10599","Other  
- CIMA"
"887985","26578","10598","Other  
- CIMA"
"891326","50691","9519","Other  
- CAYMAN ISLAND MONETARY AUTHORITY"
"891326","57899","11672","Cayman Islands - Cayman Islands Monetary Authority"
"891279","59806","12137","Cayman Islands - Cayman Islands Monetary Authority"
"891279","60045","12142","Cayman Islands - Cayman Islands Monetary Authority"
"891279","60047","12144","Cayman Islands - Cayman Islands Monetary Authority"
"891505","64479","13079","Cayman Islands - Cayman Islands Monetary Authority"
"891529","55636","10987","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"892704","57401","11444","Other  
- JAPAN - KANTO LOCAL FINANCE BUREAU"
"889871","53922","10570","Cayman Islands - Cayman Islands Monetary Authority"
"875312","23109","9874","Other  
- MALTA FINANCIAL SERVICES AUTHORITY"
"875312","20555","9876","Other  
- MALTA FINANCIAL SERVICES AUTHORITY"
"875312","68130","13927","Other  
- MALTA FINANCIAL SERVICES AUTHORITY"
"878609","49356","11806","Cayman Islands - Cayman Islands Monetary Authority"
"883607","3718","1399","Cayman Islands - Cayman Islands Monetary Authority"
"887490","16014","3244","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"861187","19630","3851","Other  
- REGISTRAR OF COMPANIES, CAYMAN ISLANDS"
"886364","57800","14313","Cayman Islands - Cayman Islands Monetary Authority"
"886364","57800","14317","Cayman Islands - Cayman Islands Monetary Authority"
"886364","18174","14318","Cayman Islands - Cayman Islands Monetary Authority"
"886364","17890","14330","Cayman Islands - Cayman Islands Monetary Authority"
"886067","3614","1390","Cayman Islands - Cayman Islands Monetary Authority"
"886067","3646","1392","Cayman Islands - Cayman Islands Monetary Authority"
"884931","21604","4181","Cayman Islands - Cayman Islands Monetary Authority"
"884987","54597","10753","Cayman Islands - Cayman Islands Monetary Authority"
"884987","54597","10754","Cayman Islands - Cayman Islands Monetary Authority"
"891818","65260","13391","Cayman Islands - Cayman Islands Monetary Authority"
"884328","1748","1098","British Virgin Islands - British Virgin Islands Financial Services Commission"
"866670","69344","14217","Cayman Islands - Cayman Islands Monetary Authority"
"889788","6665","2193","Cayman Islands - Cayman Islands Monetary Authority"
"889788","6682","4898","Cayman Islands - Cayman Islands Monetary Authority"
"892335","19630","3851","Other  
- REGISTRAR OF COMPANIES, CAYMAN ISLANDS"
"892526","19630","3851","Other  
- REGISTRAR OF COMPANIES, CAYMAN ISLANDS"
"881650","69899","14307","Cayman Islands - Cayman Islands Monetary Authority"
"881650","57401","11444","Cayman Islands - Cayman Islands Monetary Authority"
"881650","57401","11444","Other  
- JAPAN - KANTO LOCAL FINANCE BUREAU"
"881650","68915","14099","Cayman Islands - Cayman Islands Monetary Authority"
"892704","69899","14307","Cayman Islands - Cayman Islands Monetary Authority"
"892704","57401","11444","Cayman Islands - Cayman Islands Monetary Authority"
"892704","68915","14099","Cayman Islands - Cayman Islands Monetary Authority"
"888466","2074","1173","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"881441","55326","10909","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"888078","45335","8158","Cayman Islands - Cayman Islands Monetary Authority"
"893256","56932","11315","Cayman Islands - Cayman Islands Monetary Authority"
"893256","56932","11316","Cayman Islands - Cayman Islands Monetary Authority"
"887672","66765","13667","Cayman Islands - Cayman Islands Monetary Authority"
"879802","2537","7189","Bermuda - Bermuda Monetary Authority"
"881918","17408","3429","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"880300","25103","4668","Ireland -  Central Bank of Ireland"
"889176","5568","2549","Cayman Islands - Cayman Islands Monetary Authority"
"874510","44275","7994","Cayman Islands - Cayman Islands Monetary Authority"
"893444","6292","10102","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"893444","50461","10104","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"893444","62351","12664","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"892664","56683","11260","Cayman Islands - Cayman Islands Monetary Authority"
"886270","17360","3426","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"886270","17358","8935","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"886270","17134","11725","Cayman Islands - Cayman Islands Monetary Authority"
"886270","17134","11729","Cayman Islands - Cayman Islands Monetary Authority"
"886205","10198","2468","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"886205","10589","2510","British Virgin Islands - British Virgin Islands Financial Services Commission"
"886205","10640","2527","British Virgin Islands - British Virgin Islands Financial Services Commission"
"886205","10774","2540","British Virgin Islands - British Virgin Islands Financial Services Commission"
"886205","10798","2544","British Virgin Islands - British Virgin Islands Financial Services Commission"
"885980","1874","12443","Cayman Islands - Cayman Islands Monetary Authority"
"884807","55237","10908","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY (CIMA)"
"884807","68562","14000","Cayman Islands - Cayman Islands Monetary Authority"
"884807","68562","14002","Cayman Islands - Cayman Islands Monetary Authority"
"881881","38512","7129","Other  
- CAYMAN ISLANDS/ CAYMAN ISLANDS MONETARY AUTHORITY"
"891875","42235","7644","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY (CIMA)"
"891875","42514","7698","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY (CIMA)"
"886685","53420","10479","Other  
- CAYMAN ISLAND MONETARY AUTHORITY"
"891595","55596","10978","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"891801","44804","8125","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"884988","26793","4911","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
