"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
1031756,40596,7407,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1030447,6366,1851,"Cayman Islands - Cayman Islands Monetary Authority"
1030447,51725,10376,"Cayman Islands - Cayman Islands Monetary Authority"
1042535,52255,10098,"Cayman Islands - Cayman Islands Monetary Authority"
1023865,19317,3862,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029742,55725,13874,"Cayman Islands - Cayman Islands Monetary Authority"
1020876,3112,1332,"Cayman Islands - Cayman Islands Monetary Authority"
1020876,3107,1331,"Cayman Islands - Cayman Islands Monetary Authority"
1020876,56589,11216,"Cayman Islands - Cayman Islands Monetary Authority"
1030794,16905,46409,"Cayman Islands - Cayman Islands Monetary Authority"
1030794,16905,117496,"Cayman Islands - Cayman Islands Monetary Authority"
1032786,173580,117185,"Cayman Islands - Cayman Islands Monetary Authority"
1032786,173533,117177,"Cayman Islands - Cayman Islands Monetary Authority"
1032786,173570,117180,"Cayman Islands - Cayman Islands Monetary Authority"
1032786,173595,117191,"Cayman Islands - Cayman Islands Monetary Authority"
1031894,178806,118082,"Cayman Islands - Cayman Islands Monetary Authority"
1031894,4872,2618,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1036883,173580,117185,"Cayman Islands - Cayman Islands Monetary Authority"
1036883,173533,117177,"Cayman Islands - Cayman Islands Monetary Authority"
1036883,173570,117180,"Cayman Islands - Cayman Islands Monetary Authority"
1036883,173595,117191,"Cayman Islands - Cayman Islands Monetary Authority"
1032901,169565,116438,"Cayman Islands - Cayman Islands Monetary Authority"
1038732,11239,2628,"Other - CAYMAN ISLANDS / CAYMAN ISLANDS MONETARY AUTHORITY"
1038732,11239,2629,"Other - CAYMAN ISLANDS / CAYMAN ISLANDS MONETARY AUTHORITY"
1040039,48509,11908,"Cayman Islands - Cayman Islands Monetary Authority"
1040039,3222,5562,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1040039,6661,1907,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1040039,3222,10264,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1042025,61022,12347,"Bermuda - Bermuda Monetary Authority"
1042025,29875,5425,"Bermuda - Bermuda Monetary Authority"
1042025,29897,5434,"Bermuda - Bermuda Monetary Authority"
1042025,77505,59364,"Bermuda - Bermuda Monetary Authority"
1042025,166606,115646,"Bermuda - Bermuda Monetary Authority"
1035295,168157,116006,"Cayman Islands - Cayman Islands Monetary Authority"
1027344,11367,116214,"Cayman Islands - Cayman Islands Monetary Authority"
1027344,10745,116222,"Cayman Islands - Cayman Islands Monetary Authority"
1027084,168582,116061,"Cayman Islands - Cayman Islands Monetary Authority"
1034851,65440,13340,"Bermuda - Bermuda Monetary Authority"
1034851,162157,109570,"Bermuda - Bermuda Monetary Authority"
1036016,179162,118155,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,166712,115678,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,166711,115676,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,166714,115682,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,166715,115684,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,166713,115680,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,69899,14307,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,57401,11444,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,57401,11444,"Other - JAPAN - KANTO LOCAL FINANCE BUREAU"
1036016,68915,14099,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,167772,115929,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,167774,115931,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,167769,115927,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,177808,117911,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,177809,117912,"Cayman Islands - Cayman Islands Monetary Authority"
1036016,177777,117904,"Cayman Islands - Cayman Islands Monetary Authority"
1037484,52429,10150,"Cayman Islands - Cayman Islands Monetary Authority"
1037484,52424,10147,"Cayman Islands - Cayman Islands Monetary Authority"
1037484,2352,1217,"Cayman Islands - Cayman Islands Monetary Authority"
1037484,167764,115920,"Cayman Islands - Cayman Islands Monetary Authority"
1037484,177920,117940,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,40637,7821,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,41995,7828,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,41995,7830,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,41029,7865,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,41122,10043,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1037263,49255,12480,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,66502,13598,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,49255,9062,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,40715,7418,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1037263,40738,7422,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1037263,41995,7832,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,40987,7842,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,41995,50364,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,40900,46433,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,49255,47365,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,49255,47364,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,41995,7831,"Cayman Islands - Cayman Islands Monetary Authority"
1037263,40987,7843,"Cayman Islands - Cayman Islands Monetary Authority"
1038039,11302,9459,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1037437,11520,2673,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1037437,170402,117189,"Cayman Islands - Cayman Islands Monetary Authority"
1036332,18662,4137,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1036332,19557,4119,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1036332,19549,4114,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1036332,19518,4161,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1036332,19178,4192,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1036332,49849,9207,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1037521,179300,118188,"Cayman Islands - Cayman Islands Monetary Authority"
1043081,18045,4646,"British Virgin Islands - British Virgin Islands Financial Services Commission"
