"FilingID","Country/Authority"
"880175","Canada - British Columbia Securities Commission"
"880175","Canada - Alberta Securities Commission"
"880175","Canada - Quebec, Financial Markets Authority"
"880175","Canada - Ontario Securities Commission"
"880175","Other: DUBAI - DUBAI MERCANTILE EXCHANGE"
"891295","United Kingdom - Financial Conduct Authority"
"882529","United Kingdom - Financial Conduct Authority"
"875312","Spain - National Commission of Securities Markets"
"875312","Other: MALTA FINANCIAL SERVICES AUTHORITY (MFSA)"
"856363","Other: THE SWISS ASSOCIATION OF ASSET MANAGERS"
"856363","Canada - Ontario Securities Commission"
"891279","United Kingdom - Financial Conduct Authority"
"869907","Canada - Alberta Securities Commission"
"869907","Canada - Nova Scotia Securities Commission"
"869907","Canada - British Columbia Securities Commission"
"869907","Australia - Australian Securities and Investments Commission"
"869907","Ireland -  Central Bank of Ireland"
"869907","Germany - German Federal Financial Supervisory Agency"
"869907","Canada - Ontario Securities Commission"
"869907","Canada - Manitoba Securities Commission"
"869907","Canada - Quebec, Financial Markets Authority"
"869907","France - Financial Markets Authority"
"887970","United Kingdom - Financial Conduct Authority"
"887680","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"861187","Australia - Australian Securities and Investments Commission"
"864143","Other: POLYREG, A SWISS SELF REGULATORY ORGANIZATION SUPERVISED BY FINMA"
"890051","Canada - Ontario Securities Commission"
"890051","Ireland -  Central Bank of Ireland"
"891529","Canada - Yukon Territories, Registrar of Securities"
"891529","Canada - Alberta Securities Commission"
"891529","Canada - New Brunswick Securities Commission"
"891529","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"891529","Canada - Nova Scotia Securities Commission"
"891529","Canada - Nunavut, Registrar of Securities"
"891529","Canada - Ontario Securities Commission"
"891529","Canada - Prince Edward Island, Securities Office"
"891529","Canada - Quebec, Financial Markets Authority"
"891529","Canada - Saskatchewan Financial Services Commission"
"891529","Canada - Manitoba Securities Commission"
"891529","Canada - Northwest Territories, Office of the Registrar of Securities"
"891529","Canada - British Columbia Securities Commission"
"891529","Netherlands - The Netherlands Authority for the Financial Markets"
"891529","United Kingdom - Financial Conduct Authority"
"891529","Finland - Financial Supervision Authority"
"891529","Sweden - Swedish Financial Supervisory Authority"
"884419","Hong Kong - Securities and Futures Commission"
"892119","Hong Kong - Securities and Futures Commission"
"876783","Hong Kong - Securities and Futures Commission"
"888206","Switzerland - Swiss Financial Market Supervisory Authority"
"876257","Canada - Ontario Securities Commission"
"876257","Canada - Quebec, Financial Markets Authority"
"876257","Ireland -  Central Bank of Ireland"
"884191","Other: SWITZERLAND / ASSOCIATION OF SWISS ROMANDE FINANCIAL INTERMEDIARIES"
"892215","United Kingdom - Financial Conduct Authority"
"892269","Other: THE SWISS ASSOCIATION OF ASSET MANAGERS"
"892269","Canada - Ontario Securities Commission"
"883694","Other: SWITZERLAND/ASSOCIATION ROMANDE DES INTERMÉDIAIRES FINANCIERS"
"885935","Switzerland - Swiss Financial Market Supervisory Authority"
"892429","Switzerland - Swiss Financial Market Supervisory Authority"
"892436","Switzerland - Swiss Financial Market Supervisory Authority"
"886920","United Kingdom - Financial Conduct Authority"
"892335","Australia - Australian Securities and Investments Commission"
"892526","Australia - Australian Securities and Investments Commission"
"879248","India - Securities and Exchange Board of India"
"891800","Switzerland - Swiss Financial Market Supervisory Authority"
"892691","Canada - Alberta Securities Commission"
"892691","Canada - British Columbia Securities Commission"
"892691","Canada - Quebec, Financial Markets Authority"
"892691","Canada - Manitoba Securities Commission"
"892691","Canada - Ontario Securities Commission"
"892691","Canada - Nova Scotia Securities Commission"
"868707","United Kingdom - Financial Conduct Authority"
"892519","United Kingdom - Financial Conduct Authority"
"889137","Canada - Quebec, Financial Markets Authority"
"889137","Canada - Alberta Securities Commission"
"889137","Canada - Ontario Securities Commission"
"889137","Canada - British Columbia Securities Commission"
"892815","Canada - Nova Scotia Securities Commission"
"892815","Canada - Yukon Territories, Registrar of Securities"
"892815","Canada - Alberta Securities Commission"
"892815","Canada - British Columbia Securities Commission"
"892815","Canada - Quebec, Financial Markets Authority"
"892815","Canada - Ontario Securities Commission"
"892896","Canada - Nova Scotia Securities Commission"
"892896","Canada - Yukon Territories, Registrar of Securities"
"892896","Canada - Alberta Securities Commission"
"892896","Canada - British Columbia Securities Commission"
"892896","Canada - Quebec, Financial Markets Authority"
"892896","Canada - Ontario Securities Commission"
"890971","United Kingdom - Financial Conduct Authority"
"893024","Isle of Man - Financial Supervision Commission"
"893033","Isle of Man - Financial Supervision Commission"
"875750","United Kingdom - Financial Conduct Authority"
"887579","France - Financial Markets Authority"
"878550","United Kingdom - Financial Conduct Authority"
"889589","Canada - Ontario Securities Commission"
"889589","Canada - Manitoba Securities Commission"
"889589","Canada - Saskatchewan Financial Services Commission"
"889589","Canada - New Brunswick Securities Commission"
"889589","Canada - Quebec, Financial Markets Authority"
"889589","Canada - Alberta Securities Commission"
"889589","Canada - British Columbia Securities Commission"
"890623","United Kingdom - Financial Conduct Authority"
"890339","Japan - Financial Services Agency"
"893256","Hong Kong - Securities and Futures Commission"
"893378","Canada - Ontario Securities Commission"
"890284","United Kingdom - Financial Conduct Authority"
"883813","India - Securities and Exchange Board of India"
"893444","Canada - Ontario Securities Commission"
"881832","Brazil - Securities and Exchange Commission"
"881832","Other: BRAZIL - CENTRAL BANK OF BRAZIL"
"880300","Ireland -  Central Bank of Ireland"
"893861","United Kingdom - Financial Conduct Authority"
"893886","Canada - British Columbia Securities Commission"
"893886","Mexico - National Commission for Banking and Securities"
"893886","Canada - Manitoba Securities Commission"
"893886","Canada - Saskatchewan Financial Services Commission"
"893886","Canada - New Brunswick Securities Commission"
"893886","Canada - Ontario Securities Commission"
"893886","Canada - Prince Edward Island, Securities Office"
"893886","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"893886","Canada - Yukon Territories, Registrar of Securities"
"893886","Canada - Alberta Securities Commission"
"893886","Canada - Quebec, Financial Markets Authority"
"893886","Australia - Australian Securities and Investments Commission"
"893886","Dubai - Dubai Financial Services Authority"
"893886","Other: CANADA - INVESTMENT INDUSTRY REGULATORY ORGANIZATION OF CANADA"
"893886","India - Securities and Exchange Board of India"
"893886","Other: SWISS FEDERAL BANKING COMMISSION"
"893886","Other: SWISS NATIONAL BANK"
"893886","Singapore - Monetary Authority of Singapore"
"893886","China, People's Republic of - China Securities Regulatory Commission "
"893886","Taiwan - Financial Supervisory Commission"
"893886","Other: THE CENTRAL BANK OF REPUBLIC OF CHINA"
"893886","Other: SUPERINTENDENCIA FINANCIERA DE COLOMBIA"
"893886","Canada - Nova Scotia Securities Commission"
"893953","Other: SOUTH KOREA FINANCIAL SERVICES COMMISSION"
"891312","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"891312","India - Securities and Exchange Board of India"
"892182","United Kingdom - Financial Conduct Authority"
