"FilingID","Full Legal Name","CIK Number"
588887,"KANSAS CITY LIFE INSURANCE COMPANY",54473
588925,"KANSAS CITY LIFE INSURANCE COMPANY",54473
588717,"MERRILL LYNCH & CO., INC.",65100
588717,"BANK OF AMERICA CORPORATION",70858
588747,"THE MCGRAW-HILL COMPANIES, INC.",64040
589230,"TITANIUM ASSET MANAGEMENT CORP.",140716
589057,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
589417,"VALLEY NATIONAL BANCORP",714310
589410,"THE BLACKSTONE GROUP L.P.",1393818
589728,"HSBC HOLDINGS PLC",1089113
589518,"DST SYSTEMS, INC.",714603
589412,"THE CHARLES SCHWAB CORPORATION",316709
588956,"WADDELL & REED FINANCIAL SERVICES, INC.",1052100
589925,"WADDELL & REED FINANCIAL, INC.",1052100
589935,"NOT APPLICABLE",99999
589932,"THE BLACKSTONE GROUP L.P.",1393818
589970,"THE BLACKSTONE GROUP L.P.",1393818
589973,"THE BLACKSTONE GROUP L.P.",1393818
589980,"THE BLACKSTONE GROUP L.P.",1393818
589942,"PACIFIC CAPITAL BANCORP",357264
589984,"THE BLACKSTONE GROUP L.P.",1393818
589920,"CENTURYLINK, INC",18926
589920,"QWEST COMMUNICATIONS INTERNATIONAL INC",1037949
589331,"FEDERATED INVESTORS, INC.",1056288
590190,"THE BLACKSTONE GROUP L.P.",1393818
590124,"THE EDELMAN FINANCIAL GROUP INC.",1071341
590199,"THE BLACKSTONE GROUP L.P.",1393818
590202,"THE BLACKSTONE GROUP L.P.",1393818
589138,"USAA CAPITOL CORPORATION",847940
589138,"UNITED SERVICES AUTOMOBILE ASSOCIATION",1021249
589602,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
589418,"SPROTT INC.",1512920
590489,"THE BLACKSTONE GROUP L.P.",1393818
590055,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
590498,"THE BLACKSTONE GROUP L.P.",1393818
590509,"THE BLACKSTONE GROUP L.P.",1393818
590510,"THE BLACKSTONE GROUP L.P.",1393818
590514,"THE BLACKSTONE GROUP L.P.",1393818
589881,"ING GROEP, NV",1039765
590104,"FRANKLIN RESOURCES, INC.",38777
590731,"FOLGER NOLAN FLEMING DOUGLAS INCORPORATED",37846
590731,"FOLGER NOLAN FLEMING DOUGLAS CAPITAL MANAGEMENT, INC.",885415
590225,"ING GROEP NV",1039765
590748,"HSBC HOLDINGS PLC",1089113
589360,"*CANADIAN IMPERIAL BANK OF COMMERCE",16847
588949,"CANADIAN IMPERIAL BANK OF COMMERCE",16847
591022,"MERRILL LYNCH & CO., INC.",65100
591022,"BANK OF AMERICA CORPORATION",70858
590262,"ASSOCIATED BANC-CORP",7789
590565,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
