"FilingID","Representation 1","Representation 2"
505,"Y","Y"
937,"Y","Y"
768,"Y","Y"
1048,"Y","Y"
1384,"Y","Y"
1665,"Y","Y"
1320,"Y","Y"
2160,"Y","Y"
1853,"Y","Y"
1811,"Y","Y"
3405,"Y","Y"
3415,"Y","Y"
2462,"Y","Y"
3055,"Y","Y"
2601,"Y","Y"
3153,"Y","Y"
1792,"Y","Y"
3409,"Y","Y"
3990,"Y","Y"
3806,"Y","Y"
4199,"Y","Y"
4236,"Y","Y"
2034,"Y","Y"
3823,"Y","Y"
4575,"Y","Y"
4238,"Y","Y"
3666,"Y","Y"
4387,"Y","Y"
4596,"Y","Y"
3772,"Y","Y"
4652,"Y","Y"
3869,"Y","Y"
4108,"Y","Y"
3473,"Y","Y"
4885,"Y","Y"
5072,"Y","Y"
4479,"Y","Y"
3864,"Y","Y"
2909,"Y","Y"
5589,"Y","Y"
2929,"Y","Y"
3856,"Y","Y"
5252,"Y","Y"
6269,"Y","Y"
6114,"Y","Y"
6321,"Y","Y"
4812,"Y","Y"
6705,"Y","Y"
5039,"Y","Y"
4855,"Y","Y"
6680,"Y","Y"
7218,"Y","Y"
6519,"Y","Y"
5838,"Y","Y"
7237,"Y","Y"
5094,"Y","Y"
7129,"Y","Y"
7614,"Y","Y"
7436,"Y","Y"
7184,"Y","Y"
6930,"Y","Y"
7438,"Y","Y"
8041,"Y","Y"
6957,"Y","Y"
7313,"Y","Y"
7241,"Y","Y"
7681,"Y","Y"
8479,"Y","Y"
7943,"Y","Y"
8019,"Y","Y"
8213,"Y","Y"
8555,"Y","Y"
8856,"Y","Y"
8616,"Y","Y"
6673,"Y","Y"
8338,"Y","Y"
8087,"Y","Y"
9786,"Y","Y"
9844,"Y","Y"
8101,"Y","Y"
10041,"Y","Y"
9146,"Y","Y"
8174,"Y","Y"
10104,"Y","Y"
7400,"Y","Y"
8594,"Y","Y"
10175,"Y","Y"
8487,"Y","Y"
10410,"Y","Y"
9061,"Y","Y"
10159,"Y","Y"
9852,"Y","Y"
10771,"Y","Y"
10827,"Y","Y"
10719,"Y","Y"
10871,"Y","Y"
10471,"Y","Y"
11137,"Y","Y"
11240,"Y","Y"
9488,"Y","Y"
10630,"Y","Y"
10877,"Y","Y"
11165,"Y","Y"
10939,"Y","Y"
10916,"Y","Y"
11270,"Y","Y"
9522,"Y","Y"
11244,"Y","Y"
10720,"Y","Y"
7946,"Y","Y"
11843,"Y","Y"
6696,"Y","Y"
11904,"Y","Y"
12193,"Y","Y"
11768,"Y","Y"
12242,"Y","Y"
