"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
589460,"ECIP II","805-1245122131","LONGHORN CAPITAL MANAGEMENT, LLC","801-69992","Y"
589460,"ECIP HY","805-9143102564","LONGHORN CAPITAL MANAGEMENT, LLC","801-69992","Y"
589881,"ING EURO LOANS FUND I, LLC","805-9172560969","ING ALTERNATIVE ASSET MANAGEMENT LLC","801-51125","N"
591086,"1837 PARTNERS L.P.","805-4341718961","RMB CAPITAL MANAGEMENT","801-63939","Y"
591086,"1837 PARTNERS QP L.P.","805-5910480137","RMB CAPITAL MANAGEMENT","801-63939","Y"
591086,"1837 PARTNERS LTD.","805-4376337379","RMB CAPITAL MANAGEMENT","801-63939","Y"
591086,"TWIN LAKE TOTAL RETURN PARTNERS L.P.","805-4157340135","RMB CAPITAL MANAGEMENT","801-63939","Y"
591086,"TWIN LAKE TOTAL RETURN PARTNERS QP L.P.","805-4856706976","RMB CAPITAL MANAGEMENT","801-63939","Y"
591324,"NEW CENTURY HOLDINGS XI, L.P.","805-6302431487","NCH CAPITAL INC.","-","N"
591289,"NEW CENTURY HOLDINGS XI, L.P.","805-6302431487","NCH CAPITAL INC.","-","N"
591670,"FRONTIER TECHNOLOGY FUND","805-3313499769",,"-","N"
589298,"LAKE UNION CAPITAL FUND, LP","805-9163908228","LAKE UNION CAPITAL MANAGEMENT, LLC","801-66733","N"
589298,"LAKE UNION CAPITAL TE FUND, LP","805-5845851832","LAKE UNION CAPITAL MANAGEMENT, LLC","801-66733","N"
590313,"ABANCO INVESTMENTS, LTD.","805-8239738124","BRANDYWINE MANAGERS, LLC","801-66569","N"
591448,"MARLMONT FUND, LP","805-3173595189","GAINESWOOD INVESTMENT MANAGEMENT, INC.","801-69900","Y"
591458,"ALKAB, S.A.R.L.","805-8513015271","TPG GLOBAL ADVISORS, LLC","-","N"
591458,"AQUA INTERNATIONAL PARTNERS II, L.P.","805-4657334721","TPG GLOBAL ADVISORS, LLC","-","N"
